Open,High,Low,Close,Volume
5.02,5.02,4.67,4.67,204210
4.48,4.79,4.48,4.79,253700
4.75,4.95,4.75,4.95,384300
4.87,4.87,4.83,4.83,385751
4.83,4.91,4.79,4.87,370900
4.87,4.87,4.75,4.83,416900
4.79,4.83,4.67,4.67,385700
4.63,4.75,4.63,4.71,86100
4.71,4.79,4.71,4.79,93000
4.75,4.79,4.75,4.79,307300
4.79,4.79,4.75,4.75,157800
4.75,4.79,4.71,4.75,104000
4.28,4.75,4.28,4.67,69500
4.71,4.83,4.71,4.79,550200
4.75,4.83,4.75,4.79,368700
4.75,4.79,4.71,4.71,87000
4.71,4.91,4.71,4.79,358800
4.79,4.83,4.75,4.79,328700
4.87,4.91,4.75,4.83,64500
4.91,4.91,4.79,4.79,72900
4.83,4.83,4.75,4.83,47800
4.83,4.91,4.79,4.79,146410
4.79,4.98,4.79,4.98,285000
5.06,5.3,5.06,5.18,462000
5.21,5.35,5.16,5.16,90906
5.16,5.16,5.01,5.01,146600
5.06,5.06,5.01,5.01,74519
5.01,5.06,4.96,4.96,86800
4.92,5.21,4.92,5.11,231800
5.11,5.21,5.11,5.21,248100
5.21,5.31,5.21,5.26,206750
5.31,5.35,5.26,5.26,315300
5.26,5.26,5.16,5.16,268102
5.26,5.26,5.16,5.21,238710
5.16,5.21,5.16,5.21,262500
5.16,5.26,5.16,5.26,344910
5.21,5.26,5.21,5.26,182200
5.16,5.21,5.16,5.16,80710
5.26,5.26,4.96,4.96,538710
5.01,5.06,4.96,5.06,143000
5.06,5.06,4.96,5.01,62600
5.01,5.06,4.96,5.01,103000
4.96,5.06,4.92,5.06,78480
5.01,5.11,5.01,5.06,134800
5.11,5.11,5.01,5.06,74300
5.06,5.06,4.87,4.92,97400
4.87,4.96,4.87,4.96,30000
4.96,5.06,4.92,5.01,121550
5.06,5.5,5.06,5.5,827530
5.79,5.94,5.6,5.69,839730
5.6,5.65,5.4,5.5,409460
5.5,5.5,5.35,5.35,342700
5.31,5.35,5.21,5.31,411176
5.31,5.55,5.21,5.4,514925
5.4,5.55,5.4,5.5,507060
5.5,5.5,5.4,5.45,333395
5.4,5.4,5.31,5.31,258180
5.21,5.31,4.92,5.16,229400
5.16,5.26,5.16,5.21,255525
5.16,5.16,5.01,5.11,226610
5.11,5.26,5.01,5.11,452487
5.21,5.21,5.11,5.16,215530
5.16,5.45,5.16,5.35,360600
5.26,5.45,5.26,5.45,617830
5.4,5.6,5.4,5.55,669950
5.5,5.6,5.35,5.45,293750
5.45,5.55,5.35,5.5,275850
5.45,5.55,5.45,5.5,210275
5.5,5.5,5.4,5.4,186530
5.35,5.35,5.26,5.26,83800
5.31,5.35,5.31,5.35,20800
5.5,5.5,5.31,5.35,70994
5.35,5.35,5.26,5.26,59110
5.26,5.5,5.26,5.45,221210
5.5,5.65,5.45,5.45,499059
5.45,5.55,5.45,5.55,152805
5.55,5.6,5.4,5.5,132000
5.45,5.5,5.35,5.35,141640
5.35,5.45,5.35,5.4,44200
5.5,5.5,5.35,5.4,61600
5.4,5.45,5.4,5.45,56080
5.45,5.5,5.4,5.45,86300
5.4,5.5,5.4,5.5,51400
5.4,5.45,5.35,5.45,65060
5.35,5.45,5.35,5.35,64050
5.35,5.45,5.31,5.31,84800
5.35,5.35,5.26,5.31,45800
