,ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Convertible bonds (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
0,AAA,2013,1,402140441113,96503117149,0,111203277078,154881323996,39552722890,473817361846,0,435828383571,0,30600000000,7388978275,875957802959,332835204760,320273204760,12562000000,534882291065,534882291065,0,177335613484,0,875957802959,41671567327,0,154881323996,25994612226,10408445862,198000000000,198000000000,0,12562000000,5102591145,260875797874,0,7123035747,1500000000,0,0,0.0,244127568184,17213203559,0.0,2156111356,-5222906057,244127568184,-196489932,243931078252,-195830687906,48100390346,-5329187934,0,-15523150822,-8679192279,20724970667,513181190,0,-1364651,511816539,21236787206,-3903784899,84698070,17417700377,204496818,17213203559,21236787206,12006383839,0,0,0,-2002574977,5222906057,36463502125,-16561848849,40696388461,-38792510462,-1186847821,-5222906057,-5489617221,27080000,-9076110611,857129565,-37428106400,0,0,0,0,0,2002574977,-35425531423,0,242370430736,-214714765209,0,-5192000,27650473527,-6917928331,103421045480,0,96503117149,0.5346967036,0.6222587853,0.8148117648524603,0.13992099830405635,1.216105846,2.3273483864,21.676228546197105,76.6278966104,25.8284619052,124.13258706179711,4.7632783378,0.09797048992794365,0.19718844638692784,0.07056584869115122,0.1269934853,6.528,0.0701197636,142132903690.0,23898047245,0.1102941176,1.2556168768,0.3013149889,0.7720256126,-4.575622648423982,1.6376646181627872,269280000000,19800000,3.0752339521,0.5034378675,0.2722117589,204.6435068425,869.3537151010102,27014.257124495,3.1394185944
1,AAA,2013,2,440894751500,45884372462,0,200967343609,177069168313,16973867116,511470322422,0,439511489713,0,63945437080,8013395629,952365073922,426365339004,379146099004,47219240000,517619756748,517619756748,0,151755445766,0,952365073922,122482786772,0,177069168313,11924418013,13209874449,198000000000,198000000000,0,47219240000,7629760644,285441761848,0,7809819862,1500000000,0,0,0.0,276507520180,13141742046,0.0,1799374307,-4795952169,276507520180,-435239055,276072281125,-231419606297,44652674828,-8088263665,0,-15082913674,-8811398738,14469473058,640649119,1137021975,-17147551,623501568,16229996601,-2886216758,-62366760,13281413083,139671037,13141742046,16229996601,11387760207,0,2131605775,0,-303113766,4796952169,34243200986,-66794431944,-22187844317,84604595037,-1077562928,-4796952169,-5092530101,5600000,-3008715854,15895358710,-94040258488,0,0,0,-33151197105,0,1245895766,-125945559827,0,257671207683,-198448003709,0,0,59223203974,-50826997143,96503117149,208252456,45884372462,0.7338982658,0.8237037583,0.8491010707826855,0.1354052551672189,1.2151033725,2.442489807,21.166112929362672,72.3343244341,25.60086034,119.10129770346266,5.0460138095,0.07519176619763948,0.16174269523198587,0.047602540872437975,0.1222540903,7.488,0.0690098255,141952125819.0,20758362416,0.0961538461,1.1628624233,0.1210202942,0.6958414813,-4.328308891439238,1.8398932063670304,308880000000,19800000,4.0335806892,0.5967314731,0.2945322952,15.1138457698,663.7243457575757,26142.4119569697,4.1961797045
2,AAA,2013,3,352899625524,38081355707,0,137282401637,143977295491,33558572689,596465285533,0,551031522063,0,36336066400,9097697070,949364911057,410005064447,333218175997,76786888450,530809006041,530809006041,0,164944695059,0,949364911057,79148043261,0,143977295491,16291895210,13209874449,198000000000,198000000000,0,76786888450,12216056480,196660739668,0,8999904768,1500000000,0,0,0.0,309420233314,13189249293,0.0,1069569982,-4261851028,309420233314,-383757869,309036475445,-265312830107,43723645338,-4881881136,0,-15794443389,-9410857443,14706033352,647496684,1490629320,-3436759,644059925,16840722597,-3374827439,-105783466,13360111692,170862399,13189249293,16840722597,12412119053,0,0,0,-74482474,4261851028,33440210204,47316916811,33091872822,-18879598379,-1406765319,-6188551713,-2886216758,11104496845,-1280895000,94311469513,-52159813961,0,0,0,0,29100000000,-67123577,-23126937538,0,229005076831,-288218450561,0,-19774175000,-78987548730,-7803016755,45884372462,0,38081355707,0.6598126869,0.7724154258,1.038097537516984,0.13885545899483706,1.2114300284,2.3995519484,19.14628154185959,66.2112803456,31.3071634849,116.6647253723596,5.5126558208,0.0599228439922321,0.1414837691086132,0.04267861673612481,0.1172296558,9.936,0.0669899576,143888235962.0,18518344506,0.0724637681,1.0590647538,0.1142835488,0.6269835953,-4.3451412037483355,1.788524497988021,409860000000,19800000,6.025148538,0.7721421365,0.3679290063,3.935375007,666.1237016666666,26808.5356586364,4.4842183803
3,AAA,2013,4,495025008321,130266723762,0,146942387955,200025997066,17789899538,655544196312,0,605159756298,0,39255796179,11128643835,1150569204633,598551168719,515468247067,83082921652,543446500724,543446500724,0,177582189742,0,1150569204633,55117289723,0,200025997066,5865465303,13209874449,198000000000,198000000000,0,83082921652,11351552129,334296710948,0,10848566137,1500000000,0,0,0.0,328621274434,11391621343,0.0,1584829239,-2826480156,328621274434,-153326387,328467948047,-286409479822,42058468225,-3335810779,0,-16951883981,-9436847848,13918754856,736774193,2221591629,-97842230,638931963,16779278448,-5549247880,182285396,11412315964,20694621,11391621343,16779278447,12939945670,0,-2131605775,2273454179,-214971180,2826480156,32472581497,-5013347648,-56048701575,12170909378,-1761183747,-5122911145,-3685164895,6000000,-557695200,-27539513335,-23528164811,0,0,0,-698138150,0,82827231,-24143475730,0,348297262605,-204365258122,0,-2000000,143930004483,92247015418,38081355707,-61647363,130266723762,0.9209049162,1.1013985147,1.1135590264943895,0.1421613281582876,1.1286906213,2.235125034,20.905329781937827,73.7484140853,48.633092264,143.2868361312378,4.9492589708,0.04770552648795383,0.12804436011206158,0.03468107439624517,0.1034569736,9.1548387096,0.0535681413,136941183028.0,15669736396,0.0465116279,0.9603404499,0.2527153214,0.5722932749,-5.543904620287735,2.117171061181125,425700000000,19800000,7.7490429585,0.7833337769,0.3677729051,5.0967115409,575.3344112626263,27446.7929658586,5.2052486554
4,AAA,2014,1,403306120513,50406413396,0,147410503081,178935556223,26553647813,664481007317,0,612891750948,0,40989575712,10599680657,1067787127830,500924849932,410165764580,90759085352,558109545708,558109545708,0,192245234726,0,1067787127830,69112226534,0,178935556223,10857766629,13209874449,198000000000,198000000000,0,90759085352,11713783029,289173202320,0,10503756060,1500000000,0,0,0.32447849395810946,323341713842,14663044984,-0.14815130526163087,1133703473,-3030038742,323341713842,-128317940,323213395902,-278865870611,44347525291,-3303170182,0,-17719664762,-8836146390,15622247430,1002198535,1733779533,-422868202,579330333,17935357296,-2906962215,-184153099,14844241982,181196998,14663044984,17935357296,12614176572,0,0,0,-299224210,3030038742,33280348400,-23819543040,21090440843,-57795446682,503953460,-5725300806,-4076130445,14435812741,-4840945655,-26946811184,-16252042555,486664091,0,0,0,0,299224210,-15466154254,0,308612799948,-346060144876,0,0,-37447344928,-79860310366,130266723762,0,50406413396,0.8433673579,0.8975385814,1.0981567250753703,0.14599706534123585,1.2007419313,2.2399586521,20.217805379207437,60.1461988804,36.3300981034,116.69410236300743,6.0685464217,0.055046338934524056,0.137208190790602,0.04536645191663378,0.0974623772,8.3458064516,0.0508587962,132053678539.0,17791714139,0.0510204081,0.9832759224,0.1228927856,0.5470241147,-5.87177777379059,1.913221402575079,388080000000,19800000,7.4081345408,0.6953473614,0.3137800018,-14.4017040587,740.5578274747475,28187.3507933333,5.4341982912
5,AAA,2014,2,406776245149,57789248387,0,129994446521,179747992272,39244557969,696792883204,0,648679387271,0,37536174745,10577321188,1103569128353,529062762156,424331751504,104731010652,565521468477,565521468477,0,192209345495,0,1103569128353,39225532858,0,179747992272,18319538031,15400407449,198000000000,198000000000,0,104731010652,11139091214,269104313740,0,10393015759,1500000000,0,0,0.3892002272485897,384124309870,15297841769,0.16406498586359486,1739069197,-2416397337,384124309870,-274024822,383850285048,-335407866981,48442418067,-6340536041,0,-16862841649,-8264977120,18713132454,3516253939,1379509033,-4844477080,-1328223141,18764418346,-3322791878,88380831,15530007299,232165530,15297841769,18764418346,9677758397,0,2190012793,0,-154467024,2416397337,32894119849,5996587232,-812436049,16315702011,-1163977012,-5220699718,-3123868856,23990000,-1271696611,43637720846,-38083419988,2785496364,0,0,0,0,4987377024,-30310546600,0,300117125179,-306214088459,0,0,-6096963280,7230210966,50406413396,152624025,57789248387,0.846239023,0.9355308182,1.1470464401960756,0.1479359660124959,1.2591680615,2.2244834235,20.201109165260057,54.9917595195,39.0803571225,114.27322580726005,6.6373580912,0.06073878333862521,0.12620133409811676,0.039853667861903565,0.09926219,13.5406451612,0.0510775457,130498543642.0,23314599298,0.0628930817,0.9586278747,0.1361888385,0.5350253712,-9.648495692742936,1.9514186284121282,629640000000,39600000,6.5417034045,0.8038079196,0.4682842006,8.1763206941,386.30913558080806,19780.8451635606,7.2467174698
6,AAA,2014,3,441059727571,104024469754,0,145197955192,141326768113,50510534512,701541478555,0,652868586374,0,39172771967,9500120214,1142601206126,571668228902,440352174720,131316054182,561727990497,561727990497,0,187351438895,0,1142601206126,26571394643,0,141326768113,42111508031,15755216989,198000000000,198000000000,0,131316054182,9590207932,318292304630,0,9314846585,1500000000,0,0,0.3236437870317803,409562169408,16361331560,0.24050514146271662,2610326060,-5681141129,409562169408,-255157449,409307011959,-358015776197,51291235762,-7120855415,0,-20554326466,-8460664358,17765715583,879392672,1636597222,-32705267,846687405,20249000210,-3668547843,968200,16581420567,220089007,16361331560,20249000210,18200647536,0,0,0,-5073433767,5681141129,39057355108,-39371795640,38421224159,-25213442699,610944750,-5663241240,-3022791878,13378134850,-1384010689,16812376721,-26916143086,72029545,0,0,0,0,240523767,-26603589774,0,396674358284,-320901323864,0,-19746600000,56026434420,46235221367,57789248387,0,104024469754,1.0341738755,1.0176958217,1.1622504084162897,0.1469436220241593,1.2945055534,2.2937592294,22.234046805957433,50.7494754083,35.3458087641,108.32933097835743,7.1921925707,0.054424293469547004,0.12531237986007873,0.039973250108011595,0.1035780637,11.6670967741,0.0517088094,141114639839.0,22276244938,0.0729927007,1.0016067885,0.2362301714,0.680666468,-3.9210863508192917,2.034082733023613,542520000000,39600000,5.1439828257,0.9658055307,0.3754882964,17.6583599646,413.1649383838384,14185.0502650758,6.2934922278
7,AAA,2014,4,694379188147,336807716067,30000000000,154088536599,137522087909,35960847572,727271546766,0,679968837985,0,39205453451,8097255330,1421650734913,635324911650,507673920248,127650991402,776936974055,776936974055,0,187992781673,0,1421650734913,4571973920,0,137522087909,25204099470,15755216989,396000000000,396000000000,0,127650991402,6541650794,329022191692,0,8061140389,0,0,0,0.36246567588831724,447735206783,641342778,-0.9437004831279705,2848872567,-6059642453,447735206783,-3462290601,444272916182,-405609189336,38663726846,-9132225484,0,-23800951388,-10415257483,-1835834942,778885846,1532681484,-224203863,554681983,251528525,722835421,-149158687,825205259,183862481,641342778,251528525,23707480254,162105381,796521700,0,765316603,6059642453,31742594916,6386489466,3804680204,28701765414,-1492867131,-6077542342,-3968547843,6842469706,-142793700,65796248690,-28039181348,180080590,-30000000000,1500000000,0,0,1179534543,-55179566215,217798900000,312330063494,-308173617836,0,-15031208,221940314450,232556996925,104024469754,226249388,336807716067,0.7520869696000001,0.8177303087,0.8751917603252904,0.20324059862340385,1.2134604705,2.4287742347,23.28860704065594,44.707586536,41.938089093,109.93428266965594,8.1641624672,0.010010778989683085,0.08702697247059078,0.0014435783831064524,0.0711362448,0.0,0.0365159762,138587586797.0,4447517975,0.0807692307,1.36776612,0.722526215,1.0968794693,-0.7339571615810646,1.82981474995726,514800000000,39600000,7.399140779,0.6626020091,0.329863908,3.4994121547,16.1955246969697,19619.6205569444,4.5795260722
8,AAA,2015,1,691350924610,216882657990,30000000000,209994544135,154212536871,80261185614,722531450269,0,671346983470,0,41202585521,9981881278,1413882374879,632482881668,529156466446,103326415222,771794605043,771794605043,0,181340412661,0,1413882374879,104113487342,0,154212536871,47850401253,31389007730,396000000000,396000000000,0,103326415222,6410667577,392790172173,0,10013752455,0,0,0,-0.015122220015785871,318452069305,-6652369012,-1.453682643629541,4001842674,-5532126701,318452069305,-72570356,318379498949,-290659434678,27720064271,-7084720055,0,-21417988011,-11108992506,-7889793627,520532218,1997132069,-238815357,281716861,-5610944697,-757399238,-67986117,-6436330052,216038960,-6652369012,-5610944697,19427680554,0,0,0,-2445384686,5532126701,16903477872,-120587991507,-16690448962,62649206317,-7001994171,-5532126701,-270053548,25433327034,-7459137150,-52555740816,-109496918286,250000000,0,0,0,0,2434196724,-106812721562,0,369959729943,-330516325642,0,0,39443404301,-119925058077,336807716067,0,216882657990,0.0,0.0,0.8698518739096348,0.20189539535564519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015098070892969153,0.08706610935222425,-0.02089446410324811,0.0,0.0,0.0,0.0,-4806916246,0.078358209,0.0,0.0,0.0,0.8689092831389944,1.831941251779321,530640000000,39600000,16.5513710767,0.687540437,0.3410699881,53.7741089477,-167.98911646464646,19489.7627536111,8.1419148663
9,AAA,2015,2,803203987346,252136929527,10000000000,316598003829,203971928011,20497125979,733605657960,0,636891568754,0,38905726444,10491272545,1536809645306,747628868110,578086744318,169542123792,789180777196,789180777196,0,186977437993,9758456625,1536809645306,147314446310,0,203971928011,0,31389007730,396000000000,396000000000,0,169542123792,10520370452,423558698483,0,10482885022,0,0,0,-0.03814073898097805,369473524831,5637025332,-0.6315149929565205,8503423258,-5519155453,369473524831,-365629589,369107895242,-323297008095,45810887147,-12703391558,-2296859076,-22891956537,-10004426099,6417677135,66855460,0,-174801613,-107946153,6309730982,-559395891,40258698,5790593789,153568457,5637025332,6309730982,21746759748,0,1401049891,0,-5361324634,5519155453,29615371440,-45522498687,-49759391140,66365168309,-1786033939,-5519155453,-1057399238,0,6380358430,-1283580278,-75847921997,1227272727,0,20000000000,0,0,951013156,-53669636114,0,403975975520,-314184479925,0,0,89791495595,34838279203,216882657990,415992334,252136929527,0.9663729377000001,0.9473480471,0.8070287406352048,0.20644348117746258,1.1177392432,2.3339992276,25.457063401565286,42.1966282225,34.0721097871,101.72580141116529,8.6499802324,0.03498842662938109,0.12411245529431113,0.01527202588908094,0.0220542257,0.0,0.0115956432,103366468594.0,12914504511,0.0,1.3894177565,0.4361576044,1.0365781005,-2.339942156182641,1.9473480471310565,579149859600,49499988,34.0922678876,0.5944402512,0.3758108755,-14.7202089945,113.87932724347327,19682.381832601,8.9014722556
