Open,High,Low,Close,Volume
3.1,3.3,2.73,2.73,1663746
2.74,2.87,2.65,2.84,729322
2.87,2.95,2.84,2.94,565316
2.95,3.02,2.9,2.97,267961
2.97,3.0,2.95,3.0,559810
3.0,3.02,2.92,2.92,186590
2.94,2.94,2.87,2.9,219234
2.9,2.94,2.87,2.89,131193
2.84,2.9,2.84,2.86,129860
2.86,2.92,2.86,2.89,140700
2.89,3.03,2.87,3.03,301747
3.05,3.11,3.05,3.11,702756
3.06,3.11,3.0,3.06,259986
3.06,3.08,3.02,3.03,161434
3.05,3.1,2.98,3.02,119804
3.03,3.03,2.95,2.98,153480
2.95,3.0,2.95,2.98,95791
3.02,3.1,3.0,3.05,647976
3.08,3.11,3.05,3.08,290102
3.08,3.1,3.06,3.08,139262
3.08,3.11,3.06,3.06,302093
3.1,3.1,3.03,3.08,207733
3.08,3.25,3.06,3.11,989427
3.11,3.14,3.1,3.14,322242
3.14,3.17,3.08,3.08,265140
3.06,3.11,3.0,3.1,299147
3.11,3.13,3.1,3.1,123594
3.08,3.11,2.79,3.1,227369
3.1,3.11,3.1,3.11,158695
3.11,3.13,3.08,3.13,220204
3.14,3.25,3.14,3.22,895315
3.25,3.25,3.17,3.17,188078
3.16,3.3,3.16,3.22,541780
3.27,3.3,3.25,3.29,557772
3.3,3.33,3.27,3.33,479803
3.3,3.32,3.29,3.32,230664
3.3,3.32,3.27,3.32,296896
3.29,3.33,3.27,3.32,371189
3.33,3.35,3.3,3.3,431631
3.24,3.33,3.24,3.3,178784
3.3,3.32,3.25,3.29,149907
3.29,3.32,3.27,3.27,282119
3.25,3.32,3.25,3.32,176203
3.32,3.33,3.3,3.32,175412
3.32,3.35,3.32,3.33,246978
3.3,3.33,3.29,3.33,72424
3.29,3.32,3.29,3.29,78194
3.3,3.32,3.29,3.32,204951
3.3,3.35,3.3,3.32,167701
3.32,3.32,3.25,3.29,49251
3.25,3.3,3.25,3.29,126751
3.3,3.3,3.25,3.25,114262
3.25,3.29,3.25,3.27,130706
3.29,3.3,3.22,3.29,60404
3.3,3.3,3.25,3.25,62807
3.43,3.43,3.22,3.22,59686
3.24,3.24,3.17,3.17,63351
3.19,3.24,3.17,3.24,192162
3.24,3.27,3.22,3.27,89348
3.21,3.25,3.19,3.22,182808
3.19,3.24,3.19,3.21,104666
3.21,3.22,3.19,3.22,106123
3.21,3.22,3.19,3.21,149493
3.21,3.21,3.19,3.19,52888
3.19,3.19,3.16,3.17,137973
2.87,3.21,2.87,3.13,104586
3.1,3.17,3.08,3.13,87977
3.11,3.16,3.11,3.13,125075
3.14,3.16,3.1,3.1,159463
3.14,3.14,3.03,3.1,65564
3.11,3.11,3.05,3.1,70757
3.11,3.11,3.08,3.11,175800
3.1,3.13,3.1,3.1,120400
3.1,3.11,3.06,3.1,93512
3.1,3.11,3.1,3.1,106274
3.1,3.13,3.06,3.13,198616
3.1,3.13,3.1,3.13,19516
3.11,3.11,3.06,3.08,53969
3.11,3.11,3.06,3.1,42621
3.06,3.1,3.03,3.1,10348
3.1,3.1,3.08,3.08,185385
3.1,3.13,3.05,3.08,231288
3.08,3.11,3.08,3.11,65682
3.11,3.11,3.06,3.06,61210
3.03,3.11,3.03,3.1,64500
3.1,3.1,3.08,3.08,3990
3.06,3.1,3.05,3.06,99719
3.05,3.08,3.05,3.06,46337
3.05,3.08,3.05,3.06,42647
3.06,3.1,3.05,3.08,31329
3.06,3.11,3.03,3.1,66664
3.1,3.11,3.06,3.11,23229
3.11,3.16,3.11,3.16,49268
3.16,3.16,3.13,3.14,36439
3.13,3.13,3.08,3.1,47676
3.1,3.11,3.08,3.11,40589
3.08,3.1,3.03,3.05,94027
3.03,3.05,3.03,3.05,84809
3.03,3.05,3.02,3.03,37405
3.03,3.08,3.03,3.03,48154
3.08,3.08,3.03,3.03,81357
3.06,3.06,3.02,3.03,315858
3.03,3.06,3.03,3.05,260588
2.95,3.02,2.95,2.97,325887
3.0,3.02,2.98,3.02,71934
3.02,3.02,2.98,3.02,195341
3.02,3.02,2.95,3.02,91172
2.98,3.0,2.95,2.97,29413
2.98,3.08,2.98,3.05,143015
3.05,3.05,2.98,3.03,43819
3.05,3.05,3.0,3.03,154443
3.33,3.33,2.98,3.03,29261
3.02,3.03,3.0,3.03,85979
3.02,3.03,2.98,3.02,158690
3.0,3.03,2.98,3.03,113430
3.03,3.03,3.02,3.03,80000
3.03,3.03,3.02,3.03,120031
3.02,3.08,3.02,3.05,59764
3.03,3.06,3.0,3.03,25161
3.03,3.11,3.03,3.1,114193
3.1,3.1,3.03,3.06,141492
3.05,3.11,3.05,3.06,65316
3.1,3.1,3.05,3.06,162020
3.03,3.11,3.03,3.06,93741
3.08,3.11,3.06,3.06,268334
2.9,3.22,2.9,3.19,613706
3.3,3.45,3.14,3.16,170309
3.16,3.17,3.14,3.17,54693
3.17,3.17,3.11,3.14,192525
3.14,3.16,3.13,3.13,140511
3.13,3.13,3.1,3.11,187244
3.13,3.13,3.08,3.11,209795
3.1,3.14,3.08,3.14,106154
3.11,3.16,3.11,3.16,168692
3.14,3.14,3.03,3.03,349888
3.1,3.1,3.05,3.1,72850
3.08,3.1,3.06,3.08,127860
3.06,3.11,3.06,3.1,38679
3.06,3.1,3.05,3.05,130070
3.13,3.13,3.05,3.06,75369
3.08,3.08,3.05,3.06,85539
3.08,3.08,3.03,3.05,51939
3.03,3.06,3.03,3.05,49217
3.02,3.08,2.9,3.03,48938
3.0,3.03,2.98,3.02,143433
3.0,3.02,2.97,3.0,349539
3.02,3.02,2.98,2.98,60102
3.03,3.03,2.97,2.97,28280
3.0,3.0,2.95,2.97,28313
2.95,2.97,2.95,2.95,72908
2.98,2.98,2.81,2.82,215414
2.94,2.94,2.87,2.92,104162
2.95,2.98,2.92,2.92,125723
2.95,2.95,2.87,2.92,69304
2.9,2.9,2.87,2.87,59056
2.87,2.87,2.84,2.86,164962
2.87,2.92,2.87,2.9,32738
2.92,2.95,2.9,2.95,51607
2.94,2.94,2.92,2.94,49001
2.94,2.94,2.92,2.92,71515
2.92,2.92,2.87,2.89,94770
2.87,2.9,2.84,2.84,89740
2.92,2.92,2.84,2.86,66580
2.9,2.9,2.82,2.84,27773
2.87,2.87,2.82,2.82,73200
2.82,2.82,2.79,2.82,76583
2.79,2.9,2.79,2.9,126434
2.87,2.92,2.86,2.87,19229
2.87,2.89,2.86,2.87,117712
2.89,2.89,2.84,2.84,241006
2.87,2.87,2.82,2.82,39419
2.82,2.86,2.81,2.86,75474
2.82,2.87,2.81,2.86,48056
2.82,2.86,2.81,2.84,151701
2.86,2.86,2.82,2.84,111028
2.84,2.87,2.82,2.87,233846
2.89,2.89,2.82,2.86,92709
2.86,2.87,2.82,2.86,362991
2.87,3.05,2.87,3.0,569423
3.0,3.06,2.97,2.98,303678
2.97,3.03,2.97,3.03,193462
3.03,3.06,3.0,3.03,266987
3.02,3.16,2.98,3.08,520514
3.08,3.1,3.03,3.1,102855
3.03,3.1,3.02,3.05,50349
3.02,3.02,2.95,2.95,144346
2.95,2.98,2.95,2.95,204898
2.95,2.98,2.94,2.94,174731
2.95,2.97,2.9,2.92,373996
2.92,2.95,2.92,2.95,170308
2.97,2.97,2.94,2.95,90100
3.0,3.0,2.94,2.94,190183
2.98,2.98,2.94,2.95,72389
2.94,2.97,2.94,2.95,49600
2.95,2.98,2.94,2.95,94742
2.95,3.03,2.95,2.98,142834
2.98,2.98,2.97,2.98,28025
2.98,3.02,2.97,3.0,42707
3.0,3.02,2.98,3.02,83647
3.0,3.05,3.0,3.03,82355
3.02,3.06,3.0,3.03,138648
3.03,3.06,3.02,3.05,113252
3.05,3.05,3.03,3.05,51430
3.05,3.06,3.03,3.05,135735
3.03,3.05,3.03,3.05,118867
3.03,3.06,3.03,3.06,49716
3.05,3.06,3.03,3.06,130676
3.03,3.06,3.03,3.06,108886
3.03,3.06,3.03,3.06,62511
3.03,3.06,2.87,3.06,153703
2.94,3.05,2.94,3.05,102503
2.97,3.03,2.97,3.03,18644
2.98,3.03,2.98,3.03,65672
3.03,3.03,3.0,3.03,20698
2.98,3.03,2.97,3.03,160733
2.98,2.98,2.94,2.95,289840
2.95,2.98,2.92,2.95,224536
2.95,2.95,2.92,2.95,119879
2.95,3.02,2.95,2.98,46124
2.98,2.98,2.95,2.98,213318
2.97,2.98,2.95,2.95,256181
2.95,2.95,2.92,2.95,26771
2.95,3.1,2.95,3.03,437147
3.03,3.11,3.03,3.03,855293
3.08,3.08,3.02,3.03,218899
3.0,3.02,2.95,3.02,59135
3.02,3.02,2.89,2.95,465733
2.95,2.95,2.92,2.95,109114
2.97,2.98,2.92,2.92,115206
2.92,2.92,2.89,2.89,70617
2.89,2.92,2.87,2.89,73600
2.89,2.9,2.86,2.86,143345
2.86,2.89,2.86,2.86,59291
2.87,2.87,2.84,2.86,33402
2.86,2.89,2.84,2.89,138157
2.87,2.89,2.84,2.84,39056
2.84,2.84,2.79,2.79,76750
2.79,2.79,2.76,2.76,75348
2.79,2.82,2.78,2.79,110262
2.79,2.82,2.78,2.81,70318
2.81,2.81,2.78,2.81,69544
2.81,2.82,2.79,2.81,32488
2.82,2.82,2.79,2.82,136283
2.82,2.82,2.81,2.82,16038
2.84,2.86,2.81,2.82,48499
2.81,2.82,2.79,2.79,39933
2.79,2.87,2.79,2.84,106540
2.84,2.84,2.81,2.82,117280
2.82,2.87,2.81,2.81,113815
2.81,2.81,2.79,2.81,126316
2.79,2.81,2.79,2.79,64989
2.79,2.81,2.78,2.81,100523
2.81,2.82,2.79,2.79,53493
2.81,2.84,2.79,2.84,86057
2.79,2.86,2.79,2.86,74750
2.86,2.86,2.84,2.84,133815
2.84,2.84,2.84,2.84,55861
2.86,2.87,2.84,2.87,192835
2.87,2.87,2.86,2.86,81398
2.84,2.84,2.82,2.84,78738
2.84,2.86,2.84,2.86,100607
2.84,2.86,2.82,2.84,37441
2.82,2.84,2.81,2.84,38923
2.76,2.84,2.76,2.82,9453
2.81,2.81,2.78,2.81,137291
2.79,2.81,2.78,2.79,76695
2.79,2.79,2.76,2.78,151529
2.76,2.78,2.73,2.76,160591
2.73,2.76,2.71,2.76,120039
2.74,2.76,2.73,2.73,39590
2.73,2.76,2.71,2.73,117888
2.73,2.82,2.73,2.78,181530
2.79,2.79,2.76,2.76,52251
2.74,2.78,2.74,2.78,54315
2.78,2.78,2.74,2.74,55181
2.73,2.78,2.73,2.76,112486
2.74,2.9,2.74,2.9,960835
2.92,2.94,2.9,2.92,413417
2.92,2.94,2.89,2.92,281903
2.94,3.08,2.92,2.97,584999
2.97,3.1,2.97,3.05,728172
3.05,3.14,3.05,3.11,650032
3.13,3.13,3.06,3.11,445683
3.08,3.1,2.98,3.03,474856
3.03,3.08,3.02,3.03,595489
3.03,3.08,3.02,3.03,325562
3.05,3.16,3.03,3.08,742105
3.06,3.11,3.06,3.1,297562
3.1,3.11,3.08,3.08,399942
3.06,3.06,3.05,3.05,379894
3.05,3.06,3.03,3.06,383550
3.06,3.16,3.06,3.13,894546
3.13,3.14,3.08,3.11,176834
3.11,3.11,3.08,3.1,115481
3.08,3.1,3.03,3.03,435877
3.03,3.06,3.0,3.06,228430
3.06,3.06,3.03,3.05,123409
3.05,3.06,3.03,3.06,184931
3.05,3.1,3.03,3.1,109185
3.08,3.1,3.03,3.03,200973
3.03,3.08,3.03,3.06,246218
3.05,3.06,3.03,3.05,74747
3.05,3.05,3.0,3.03,263536
3.03,3.03,3.02,3.03,51973
3.03,3.05,3.02,3.05,140965
3.05,3.05,3.03,3.03,240477
3.03,3.03,2.87,2.98,510554
2.98,3.06,2.98,3.05,149865
3.05,3.06,3.03,3.05,180044
3.05,3.05,3.03,3.03,189722
3.06,3.06,3.03,3.05,147050
3.05,3.05,3.02,3.02,165430
3.03,3.05,3.03,3.03,216720
3.03,3.03,3.02,3.02,232504
3.05,3.06,3.03,3.03,45941
3.05,3.05,3.03,3.05,289066
3.05,3.08,3.05,3.08,184640
3.08,3.1,3.06,3.1,154688
3.05,3.1,3.05,3.1,179786
3.1,3.11,3.05,3.05,110554
3.03,3.05,3.03,3.05,234984
3.03,3.06,3.03,3.05,151350
3.09,3.18,3.09,3.16,381829
3.16,3.16,3.07,3.11,71031
3.12,3.12,3.07,3.07,49063
3.11,3.12,3.0,3.0,239780
3.0,3.0,2.91,2.95,226091
3.02,3.02,2.95,2.95,220042
2.97,3.02,2.95,3.0,103048
3.0,3.0,2.97,2.98,30478
2.98,2.98,2.91,2.91,125191
2.95,2.98,2.91,2.91,93783
2.98,2.98,2.91,2.93,141933
2.98,3.02,2.95,3.02,112809
3.05,3.05,2.98,2.98,232663
3.0,3.0,2.97,2.98,273119
3.0,3.19,3.0,3.14,939567
3.14,3.16,3.07,3.12,430272
3.07,3.12,3.02,3.04,390028
3.05,3.12,3.04,3.12,142239
3.07,3.12,3.05,3.05,320223
3.09,3.09,3.07,3.07,220675
3.05,3.12,3.04,3.09,398898
3.11,3.12,3.07,3.09,132554
3.11,3.33,3.11,3.33,1609757
3.33,3.42,3.33,3.35,739000
3.37,3.39,3.32,3.35,471881
3.35,3.67,3.32,3.53,1409824
3.53,3.67,3.53,3.65,970791
3.65,3.7,3.56,3.69,942499
3.65,3.83,3.65,3.79,1447461
3.77,3.9,3.74,3.79,1158392
3.76,3.86,3.72,3.77,1230784
3.77,3.83,3.74,3.83,575469
3.86,4.09,3.84,4.04,1398174
4.04,4.16,4.02,4.05,1360520
4.05,4.11,3.98,4.04,542576
4.04,4.16,4.04,4.05,614473
4.05,4.05,3.93,4.02,867359
4.02,4.18,3.97,4.12,722901
4.11,4.14,4.05,4.14,437171
4.14,4.19,4.02,4.18,693910
4.18,4.3,4.18,4.25,1124649
4.25,4.26,4.12,4.14,1767267
4.18,4.25,4.11,4.16,820988
4.16,4.19,4.09,4.16,627023
4.16,4.16,4.12,4.16,480866
4.16,4.23,4.16,4.19,2354611
4.23,4.23,4.09,4.12,1102014
4.12,4.14,4.07,4.12,630201
4.12,4.16,4.07,4.09,1719050
4.11,4.12,3.98,3.98,1657991
3.95,4.04,3.95,3.98,886909
3.98,4.05,3.97,3.98,1208009
3.98,4.02,3.97,3.98,992334
3.98,3.98,3.88,3.97,890701
3.97,3.97,3.91,3.97,599354
3.98,4.14,3.97,3.98,2041146
3.98,4.04,3.98,4.02,652055
4.04,4.05,3.98,4.02,493768
4.0,4.0,3.9,3.97,947826
3.97,3.97,3.9,3.95,356057
3.95,4.0,3.86,4.0,658085
4.02,4.05,3.97,3.97,767074
4.0,4.0,3.93,3.95,342874
3.95,4.21,3.91,4.09,3300268
4.09,4.19,4.09,4.11,2499511
4.09,4.21,4.09,4.16,3996520
4.16,4.16,4.02,4.02,3149747
4.02,4.07,3.98,4.0,1043292
4.0,4.11,3.91,4.05,1841218
4.07,4.11,4.05,4.07,1849057
4.11,4.28,4.04,4.11,5329369
4.12,4.21,4.11,4.19,5125254
4.23,4.4,4.21,4.39,10618307
4.39,4.49,4.37,4.39,4597625
4.39,4.4,4.32,4.37,3086794
4.37,4.55,4.35,4.48,7262960
4.48,4.55,4.37,4.42,4647682
4.42,4.44,4.32,4.33,3883267
4.35,4.37,4.26,4.32,4693967
4.32,4.39,4.3,4.33,2636139
4.35,4.39,4.28,4.3,2374460
4.3,4.39,4.23,4.39,4561999
4.4,4.51,4.37,4.44,4282474
4.44,4.51,4.4,4.42,2922560
4.42,4.42,4.32,4.35,2654414
4.35,4.39,4.25,4.28,4172644
