ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company,EPS_basis,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND)
ACB,2008,3,110665578000000,7484047000000,6157310000000,28539669000000,0,0,0,0,36497471000000,36743117000000,-245646000000,15281787000000,13281787000000,2000000000000,0,673657000000,673657000000,0,0,697936000000,697936000000,0,0,15333701000000,110665578000000,103319229000000,0,5617304000000,64044505000000,0,318837000000,17882417000000,15456166000000,7346349000000,2630060000000,3576351000000,-64363000000,1204301000000,2630060000000,0,3201321000000,0.0,298434000000,0.0,3201321000000,0,3201321000000,0,0,0,0,0,0,0,0,0,0,3201321000000,-2852986000000,348335000000,0,348335000000,-49901000000,-49901000000,0,298434000000,298434000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09500447092834821,0.14301810639687654,0.09322214173461518,0.0,0.0,0.0,0.0,15.064024047863775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,2013,1,175909974000000,5806521000000,2091513000000,17601408000000,937382000000,1176713000000,-239331000000,981000000,105467202000000,107139670000000,-1672468000000,28132195000000,8130323000000,20299769000000,-297897000000,1414477000000,1576000000,1462954000000,-50053000000,1677570000000,1643170000000,34400000000,0,12780725000000,175909974000000,162986200000000,0,11176110000000,135305348000000,0,296040000000,12689408000000,3519294000000,12923774000000,9376965000000,2567911000000,6745000000,972153000000,9376965000000,0,4183337000000,0.0,307030000000,0.0,4183337000000,-2951522000000,1231815000000,221399000000,-50123000000,171276000000,-83960000000,29885000000,49736000000,14746000000,-17499000000,-2753000000,45376000000,1441375000000,-844465000000,596910000000,-202015000000,394895000000,-87865000000,-87865000000,0,307030000000,307030000000,0,-2909000000.0,-214919000000.0,-872365000000.0,-14453000000.0,-74257000000.0,17845000000.0,-55602000000.0,0.0,0.0,-942420000000.0,16668138000000.0,6745000000.0,15732463000000.0,-886818000000.0,0.0,0.0,810000000.0,0.0,12.6113471188,0.12980496254422277,0.25159894867248844,0.24925009031388642,0.030586347,10.8534033055,0.0019351526,0.0,13.611347118883385,14652094462500.0,921515375.0,36.8100559212,1.1337318698,2.7675230398,-16.5291146759,333.17946539958706,14024.4800581868
ACB,2013,2,168793839000000,2762881000000,2218649000000,12838471000000,1029276000000,1258889000000,-229613000000,3987000000,108786829000000,110477427000000,-1690598000000,27783829000000,7445564000000,20656071000000,-317806000000,1098401000000,1576000000,1193322000000,-96497000000,1612510000000,1561841000000,50669000000,0,10659006000000,168793839000000,156359059000000,0,7140823000000,141994173000000,0,296226000000,3400000000000,3527837000000,12434780000000,9148761000000,1911998000000,-8476000000,1382497000000,9376965000000,0,3915141000000,0.0,409731000000,0.0,3915141000000,-2836059000000,1079082000000,250184000000,-53727000000,196457000000,30294000000,52722000000,236694000000,25071000000,-25257000000,-186000000,14577000000,1609640000000,-1001974000000,607666000000,-56928000000,550738000000,-141007000000,-141007000000,0,409731000000,409731000000,0,-197000000.0,1588858000000.0,-7119474000000.0,-12978000000.0,-127334000000.0,14429000000.0,319643000000.0,0.0,-870526000000.0,-7683335000000.0,15732463000000.0,-15221000000.0,8033907000000.0,-7132452000000.0,239000000.0,433119000000.0,-810000000.0,-642322000000.0,12.5743325575,0.1296774048274276,0.24207925447889184,0.37970330336341446,0.0029368057,10.7168825092,0.0002039866,0.0,13.574332557552285,14467791387500.0,921515375.0,40.7097330924,1.163493957,3.1187776895,-2.0293840721,444.6274160102863,13493.8388846741
ACB,2013,3,160477468000000,2701543000000,1936786000000,9932272000000,1144071000000,1387229000000,-243158000000,6795000000,102699889000000,104457272000000,-1757383000000,29492465000000,5798625000000,23978509000000,-284669000000,1101641000000,1576000000,1179205000000,-79140000000,1710467000000,1619470000000,90997000000,0,9751539000000,160477468000000,147666497000000,0,7077005000000,133674054000000,0,324472000000,3300000000000,3290966000000,12810971000000,9117544000000,1903269000000,6837000000,1783321000000,9376965000000,0,3855297000000,0.204283169354151,400823000000,0.3430875838543866,3855297000000,-2666673000000,1188624000000,253061000000,-57312000000,195749000000,10136000000,-20410000000,184598000000,212434000000,-200558000000,11876000000,470000000,1571043000000,-954914000000,616129000000,-82197000000,533932000000,-133109000000,-133109000000,0,400823000000,400823000000,0,-521000000.0,1138669000000.0,2009156000000.0,-8729000000.0,143438000000.0,470000000.0,140552000000.0,0.0,-31217000000.0,2109762000000.0,8033907000000.0,15313000000.0,10158982000000.0,2000427000000.0,3516000000.0,0.0,-6872000000.0,0.0,11.5265655507,0.13351579673390876,0.2494029093261564,0.3372159741011455,0.0753162715,11.0581845,0.0056231882,0.0,12.526565550729917,14928549075000.0,921515375.0,15.7799720057,1.1652941119,2.6563675252,7.5650786821,434.96072976536067,13902.0697294389
ACB,2013,4,166737706000000,2043490000000,3065322000000,7215518000000,1436444000000,1663592000000,-227148000000,150000000,105642038000000,107190021000000,-1547983000000,33482828000000,7232001000000,26502417000000,-251590000000,922976000000,1578000000,1009334000000,-87936000000,2552768000000,2279114000000,273654000000,0,10376172000000,166737706000000,154235538000000,1583146000000,7793776000000,138110836000000,0,363345000000,3500000000000,2884435000000,12502168000000,9117544000000,2034331000000,0,1350293000000,9376965000000,0,3251298000000,0.0,-293126000000,0.0,3251298000000,-2364406000000,886892000000,271999000000,-65061000000,206938000000,-34086000000,7335000000,-74633000000,-175512000000,198376000000,22864000000,11759000000,1027069000000,-1333952000000,-306883000000,-137583000000,-444466000000,151340000000,141558000000,9782000000,-293126000000,-293126000000,0,-57560000000.0,-289620000000.0,-105907000000.0,-8840000000.0,-296348000000.0,11757000000.0,-274948000000.0,0.0,0.0,-389695000000.0,10158982000000.0,-6837000000.0,9762450000000.0,-114747000000.0,3170000000.0,432720000000.0,-426247000000.0,0.0,12.3234403123,0.20418602597565477,0.2433911584129239,-0.33050923900542567,0.0657809208,0.0,0.0048205138,0.0,13.336703362168866,15389306762500.0,921515375.0,18.7932448787,1.2307308185,2.7239702233,-2.5323648747,-318.0912743859537,13569.1734931715
ACB,2014,1,173390522000000,2257901000000,3077563000000,7267026000000,2395869000000,2426022000000,-30153000000,11506000000,105250187000000,106910379000000,-1660192000000,38767898000000,9599608000000,29394741000000,-226451000000,928397000000,1578000000,1009334000000,-82515000000,2506809000000,2235857000000,270952000000,9015000000,10918351000000,173390522000000,160628787000000,0,9198469000000,144409345000000,0,361792000000,3600000000000,3059181000000,12761735000000,9112716000000,2032658000000,15747000000,1600614000000,9376965000000,0,3384086000000,-0.19105584847694557,250018000000,-0.18568869491580628,3384086000000,-2329110000000,1054976000000,256962000000,-56446000000,200516000000,51249000000,105614000000,9680000000,15756000000,-2785000000,12971000000,4732000000,1439738000000,-951191000000,488547000000,-170294000000,318253000000,-68235000000,-80207000000,11972000000,250018000000,250018000000,0,473000000.0,224943000000.0,-675308000000.0,-3404000000.0,-33829000000.0,4732000000.0,-28971000000.0,0.0,-4828000000.0,-712511000000.0,9762451000000.0,15747000000.0,9065687000000.0,-678712000000.0,126000000.0,0.0,0.0,0.0,12.5867514879,0.19643167641390455,0.2484443870062181,0.2369892774811939,0.0607761834,15.2051906584,0.0045858771,0.0,13.586751487944234,14101597920500.0,909780511.0,18.4674396158,1.1049906553,2.4969673112,-20.8818507164,274.8113385339379,14027.2679461695
ACB,2014,2,177294676000000,2369171000000,2251783000000,8451262000000,2437773000000,2454338000000,-16565000000,9513000000,108810216000000,110751759000000,-1941543000000,38994956000000,10600809000000,28747455000000,-353308000000,937320000000,1578000000,1009334000000,-73592000000,2667352000000,2315499000000,351853000000,9015000000,10356315000000,177294676000000,165022482000000,0,11375646000000,147173237000000,0,344284000000,3300000000000,2829315000000,12272194000000,8920769000000,2039910000000,44489000000,1267026000000,9376965000000,0,3616264000000,-0.07633875765904727,323258000000,-0.2110482243227874,3616264000000,-2248411000000,1367853000000,182507000000,-63264000000,119243000000,42672000000,-2210000000,96702000000,40754000000,-2885000000,37869000000,10944000000,1673073000000,-852357000000,820716000000,-408430000000,412286000000,-89028000000,-86943000000,-2085000000,323258000000,323258000000,0,16355000000.0,1929222000000.0,632505000000.0,-10487000000.0,-114783000000.0,51595000000.0,-62937000000.0,0.0,-828794000000.0,-269713000000.0,9065687000000.0,28742000000.0,8824716000000.0,622018000000.0,251000000.0,0.0,0.0,-636847000000.0,13.4468606021,0.217349236819431,0.23891404386248324,0.23632510218568809,0.0541022964,14.8127986415,0.0040181302,0.0,14.446860602105867,13737685716100.0,909780511.0,20.388517882,1.1194156249,2.4055105831,22.3209459978,355.3142720596265,13489.1810185193
ACB,2014,3,179381374000000,2365114000000,1304900000000,6133165000000,1641837000000,1643570000000,-1733000000,17298000000,111268690000000,113163118000000,-1894428000000,42857409000000,15087555000000,28104627000000,-334773000000,903163000000,1578000000,972780000000,-71195000000,2639078000000,2292957000000,346121000000,8745000000,10241975000000,179381374000000,166873974000000,0,10034007000000,150182864000000,0,335219000000,3000000000000,3321884000000,12507400000000,8920769000000,2039910000000,15501000000,1531220000000,9376965000000,0,3577301000000,-0.07210754450305644,264194000000,-0.3408711575932519,3577301000000,-2579458000000,997843000000,246585000000,-62474000000,184111000000,39873000000,39558000000,74958000000,30581000000,-36698000000,-6117000000,6165000000,1336391000000,-910257000000,426134000000,-85669000000,340465000000,-76271000000,-76271000000,0,264194000000,264194000000,0,-32275000000.0,654435000000.0,2667384000000.0,-11051000000.0,-122222000000.0,1065000000.0,-84263000000.0,0.0,0.0,2572070000000.0,8824716000000.0,-28988000000.0,11367798000000.0,2656333000000.0,340000000.0,36554000000.0,0.0,0.0,13.3420194444,0.21100132721428913,0.24349301455026076,0.2647650983170699,0.0435096691,15.3660207653,0.0031248028,0.0,14.342019444488862,14250754978200.0,896273898.0,26.3701131051,1.1393858818,2.6022735138,5.4038453944,294.769267061708,13954.8859203752
ACB,2014,4,179609771000000,2496287000000,3357730000000,4559007000000,1105122000000,1108232000000,-3110000000,14403000000,114745251000000,116324055000000,-1578804000000,39676852000000,23683261000000,16386318000000,-392727000000,886568000000,1607000000,948030000000,-63069000000,2804555000000,2384923000000,419632000000,8654000000,9955342000000,179609771000000,167212468000000,0,6145238000000,154613588000000,0,188155000000,3078000000000,3187487000000,12397303000000,8711841000000,2207666000000,0,1477796000000,9376965000000,0,3474648000000,0.06869564094094112,114332000000,1.3900438719185606,3474648000000,-2129687000000,1344961000000,258628000000,-68058000000,190570000000,49840000000,-32589000000,49307000000,19507000000,-15171000000,4336000000,670000000,1607095000000,-1149802000000,457293000000,-312896000000,144397000000,-30065000000,-27672000000,-2393000000,114332000000,114332000000,0,-26904000000.0,56221000000.0,-1371100000000.0,10144000000.0,-184017000000.0,6342000000.0,-141058000000.0,0.0,-208928000000.0,-1710942000000.0,11367798000000.0,-15501000000.0,9641355000000.0,-1360956000000.0,11867000000.0,24750000000.0,0.0,0.0,13.4878100502,0.2262229938237373,0.24134965538505138,0.08500766936736455,0.0764453393,0.0,0.0054984281,0.0,14.487810050298844,14788519317000.0,896273898.0,15.6031138245,1.2480127532,2.4418418246,12.1423776279,127.56368366313843,13221.0187411385
ACB,2015,1,187311237000000,2598743000000,5317249000000,3973911000000,2451428000000,2476450000000,-25022000000,4919000000,117524968000000,119200874000000,-1675906000000,42217474000000,25644273000000,17069507000000,-496306000000,884425000000,1607000000,927930000000,-45112000000,2559810000000,2122640000000,437170000000,8564000000,9769746000000,187311237000000,174631371000000,199681000000,10870605000000,156733708000000,0,172489000000,3078000000000,3576888000000,12679866000000,8711240000000,2207666000000,2450000000,1758510000000,9376965000000,0,3399672000000,0.004605674914881005,280714000000,0.12277516018846643,3399672000000,-2010084000000,1389588000000,222390000000,-54196000000,168194000000,20837000000,37519000000,-30117000000,20127000000,-1089000000,19038000000,4759000000,1609818000000,-1003078000000,606740000000,-247475000000,359265000000,-78551000000,-78551000000,0,280714000000,280714000000,0,3327000000.0,1278097000000.0,2943342000000.0,-4291000000.0,-49419000000.0,4759000000.0,210695000000.0,0.0,-601000000.0,3149145000000.0,9641355000000.0,2450000000.0,12792950000000.0,2939051000000.0,235255000000.0,0.0,20100000000.0,0.0,0.0,0.20187989368341905,0.246850568178307,0.20201239504083224,0.0,0.0,0.0,0.0,14.772335685566393,17746223180400.0,896273898.0,18.2849985195,1.4642418697,2.8501684335,3.6992019422,313.2011326296596,13522.3561141585
