Open,High,Low,Close,Volume
3.69,3.96,3.62,3.95,3900
3.92,3.96,3.92,3.96,43900
3.95,4.1,3.95,4.08,1400
4.06,4.06,4.0,4.06,50800
3.96,4.06,3.96,4.06,8700
4.0,4.01,3.93,4.0,8700
4.1,4.1,4.1,4.1,166
4.01,4.01,3.9,3.9,33833
4.14,4.14,4.01,4.01,2900
3.93,3.93,3.93,3.93,500
3.93,3.98,3.87,3.92,4920
3.87,4.08,3.85,4.01,4900
4.01,4.01,4.0,4.0,300
3.87,3.95,3.85,3.93,7031
4.08,4.26,4.01,4.01,3700
4.0,4.08,4.0,4.0,12100
3.95,4.0,3.93,4.0,17433
3.78,4.0,3.78,4.0,5300
4.08,4.08,3.92,3.96,46740
3.93,3.95,3.9,3.95,10600
3.98,4.03,3.98,4.03,11200
3.95,3.95,3.95,3.95,8800
4.06,4.08,3.96,3.96,9310
3.98,4.05,3.98,4.03,29033
4.03,4.03,4.01,4.01,28000
4.01,4.01,3.96,3.96,13000
4.0,4.03,4.0,4.03,7600
4.01,4.03,4.0,4.03,19299
3.98,4.24,3.98,4.21,73000
4.21,4.21,4.13,4.21,22100
4.24,4.34,4.13,4.23,5630
4.23,4.23,4.1,4.11,34744
4.1,4.18,4.1,4.18,10200
4.18,4.18,4.18,4.18,5000
4.13,4.19,4.13,4.14,30705
4.13,4.13,4.1,4.1,16000
4.1,4.14,4.1,4.13,5400
4.13,4.14,4.11,4.11,27000
4.18,4.18,4.13,4.13,29100
4.05,4.19,4.05,4.14,51300
4.11,4.21,4.11,4.16,84440
4.21,4.36,4.19,4.29,283733
4.26,4.46,4.23,4.42,154110
4.42,4.42,4.37,4.41,86744
4.42,4.67,4.34,4.42,272722
4.42,4.6,4.42,4.52,175830
4.55,4.69,4.55,4.6,238164
4.6,4.72,4.6,4.65,398550
4.67,4.67,4.6,4.6,115000
4.6,4.62,4.46,4.46,142400
4.42,4.54,4.42,4.51,48320
4.52,4.55,4.39,4.42,70600
4.42,4.51,4.42,4.47,102900
4.47,4.47,4.39,4.44,104700
4.51,4.51,4.42,4.44,77520
4.44,4.44,4.39,4.39,80502
4.39,4.41,4.34,4.37,53400
4.42,4.44,4.41,4.41,33600
4.49,4.49,4.41,4.41,68090
4.41,4.46,4.36,4.42,31910
4.47,4.47,4.39,4.39,65833
4.42,4.42,4.32,4.34,81250
4.27,4.34,4.24,4.24,19400
4.29,4.47,4.26,4.42,48010
4.46,4.51,4.37,4.37,29630
4.37,4.37,4.34,4.36,25510
4.34,4.37,4.27,4.36,14800
4.34,4.37,4.29,4.36,15000
4.34,4.39,4.34,4.36,7300
4.27,4.34,4.27,4.34,14634
4.42,4.42,4.34,4.34,3000
4.27,4.34,4.17,4.34,113110
4.26,4.42,4.26,4.39,141110
4.34,4.37,4.26,4.29,160360
4.26,4.29,4.24,4.26,182000
4.21,4.31,4.19,4.27,105113
4.26,4.32,4.26,4.26,67503
4.26,4.26,4.17,4.17,58010
