Symbol,Year,Quarter,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
DBC,2020,3,4866892733564,310493270977,497706875088,469730196780,3477060657396,111901733323,5347385207919,4526360111700,0,101483458082,0,90318825532,10214277941483,6270723810445,4396389342449,1874334467996,3943554131038,3943554131038,0,979744106178,0,0,10214277941483,162258551923,3477060657396,6873894794,1497737922639,1047639110000,1047639110000,1523220254258,660941007904,2563914127833,0,90318825532,0,14103866468,14103866468,0.4040023509074374,2646542821623,386812304699,18.956012949087384,5772736902,-71174981967,2646542821623,-96998018398,2549544803225,-1870199971818,679344831407,-81338101540,0,-95594948823,-81279733664,426904784282,871096296,-3885008,867211288,427771995570,-40959690871,0,386812304699,386812304699,427771995570.0,117016578108.0,0.0,0.0,-5426845535.0,71174981967.0,610536710110.0,-58329973843.0,164447268326.0,301327736555.0,13890024410.0,-74239190765.0,-9563125966.0,0.0,-2595250000.0,945474198827.0,-226259961040.0,-1698405680.0,-24275345693.0,29626845345.0,-15000000000.0,0.0,2584437517.0,-235022429551.0,0.0,960960975047.0,-1348877179665.0,-38251086945.0,-157145866500.0,-583313158063.0,127138611213.0,183354659764.0,0.0,310493270977.0,1.4226645432,1.5901198772,1.1477869863824075,1.0246546321555043,0.9282189216,2.0422290077,7.5679368070149735,183.0264801582,43.7137909794,234.308207944615,1.994246951,0.1970822980966679,0.26645730271053686,0.15171818287315794,0.3969387651,0.2238593889,0.1401509761,2218727701516.0,502470148920,0.0255972696,1.1070204103,0.0706246073,0.3161303442,-7.0596456090845,2.5901198771663507,6139165184600,104763911.0,4.4008294314,1.5567594562,0.6644551862,3.7134162891,3692.2285642715265,37642.2958382873,4.4691407102
DBC,2020,4,4649530739493,244248606243,525714556478,450942177264,3345333151332,83292248176,5451740555748,4455469171562,0,102412820589,0,97264415268,10101271295241,5894311104553,4254585526684,1639725577869,4206960190688,4206960190688,0,1243150165828,0,0,10101271295241,163264413730,3345333151332,6403972916,1497737922639,1047639110000,1047639110000,1243519425591,551700415109,2157941495382,0,97264415268,0,14103866468,14103866468,0.3710635032158818,2969456849809,263406059650,0.020326447365592536,9063763647,-61447457261,2969456849809,-102418084005,2867038765804,-2278314126307,588724639497,-62184426393,929362507,-111594402291,-101684104091,323254832876,375858466,-480121715,-104263249,323150569627,-59744509977,0,263406059650,263406059650,323150569627.0,124060280937.0,0.0,-68753654.0,-8949935331.0,63882363410.0,502074524989.0,27116329731.0,133769105129.0,276789346357.0,13335585196.0,-69686185524.0,-28092867028.0,0.0,-7391200000.0,847914638850.0,-208567487554.0,-32635338.0,-62800659456.0,34792978066.0,-3998088414.0,3068725907.0,8982570669.0,-228554596120.0,0.0,2028670614608.0,-2685170119411.0,-29173956315.0,0.0,-685673461118.0,-66313418388.0,310493270977.0,68753654.0,244248606243.0,1.1041179702,1.4010855433,1.059070913345952,1.0930954929094963,1.0177711525,2.2229811172,7.725287684177344,158.3725699041,47.0356607613,213.13351834957734,2.3046920323,0.1309525834087263,0.20534240642954987,0.09187390934218267,0.387200877,0.241588942,0.1422111492,2304022800002.0,375446133115,0.0,1.0936647717,0.0546713434,0.306539281,-6.110035302523273,2.4010855433336187,6076306838000,104763911.0,4.3393016175,1.4443461698,0.6063220283,2.8013464751,2514.28241973517,40156.5782580225,4.2764107843
DBC,2021,1,5127333993524,300005062732,518714556478,476309246761,3735449151061,96855976492,5379168961360,4348941143023,0,102412820589,0,80255656722,10506502954884,5977442763690,4381747526018,1595695237672,4529060191194,4529060191194,0,1565250166334,0,0,10506502954884,162741125884,3735449151061,5934051038,1497737922639,1047639110000,1047639110000,1260001863882,701667515293,2381669157886,0,80255656722,0,14103866468,14103866468,0.042546784917925795,2572254991101,365022000506,0.046757924812149194,6258636642,-47724311307,2572254991101,-98542326298,2473712664803,-1845196130652,628516534151,-50017362764,0,-96337352682,-84059804948,404360650399,4138402020,-526918872,3611483148,407972133547,-42950133041,0,365022000506,365022000506,407972133547.0,121033583551.0,0.0,0.0,-2359959241.0,47724311307.0,574370069164.0,-31701716389.0,-378873363193.0,-33746128997.0,6047537388.0,-66719325885.0,-114200237921.0,0.0,-39676714000.0,-84499879833.0,-118332532054.0,3387991205.0,-13000000000.0,20000000000.0,0.0,0.0,7990776376.0,-99953764473.0,0.0,2107306944144.0,-1841856648543.0,-25240194806.0,0.0,240210100795.0,55756456489.0,244248606243.0,0.0,300005062732.0,1.0822715263,1.3197975985,0.9602303699736181,1.1767868146383278,0.9883432558,2.2663332467,7.521287643868973,171.6499428438,38.3941239298,217.565354417469,2.1264207488,0.18115255781199918,0.25407822949439174,0.14756038795438248,0.345650305,0.2244621806,0.1385055162,2309232693905.0,448119376521,0.0383877159,1.1701573318,0.0684669897,0.3176551899,-9.389750511816642,2.319797598475758,6003974303000,115239430.0,4.2384241504,1.3256556658,0.5939507772,2.9118861034,3167.509597244624,39301.3067766302,4.0470760208
DBC,2021,2,5309733241345,156179847989,525354335625,406460677422,4129533283008,92205097301,5294224997692,4499755807758,0,102412820589,0,86194722582,10603958239037,5933559237690,4716241677917,1217317559773,4670399001347,4670399001347,0,579915955659,0,0,10603958239037,127323943638,4129533283008,5649615024,2519655753467,1152394300000,1152394300000,899385318913,679391912399,2043407836026,0,86194722582,0,16136866468,16136866468,0.1913525040530915,2681033903917,214893955153,-0.4645867727799661,5988600705,-48677057393,2681033903917,-84621030201,2596412873716,-2126048145118,470364728598,-52136509605,2000000000,-91557878196,-100422285598,234236655904,5021109598,-60805690,4960303908,239196959812,-24303004659,0,214893955153,214893955153,239196959812.0,119324647976.0,0.0,2845408.0,-4437648678.0,48677057393.0,402763861911.0,67795940036.0,-401251317251.0,596215431090.0,-1912200931.0,-40312448616.0,-12232427962.0,0.0,-4827858000.0,606238980277.0,-53281357744.0,114130838.0,-6639779147.0,0.0,0.0,0.0,8623523270.0,-51183482783.0,0.0,1231031011427.0,-1894766350195.0,-35142528061.0,0.0,-698877866829.0,-143822369335.0,300005062732.0,-2845408.0,156179847989.0,0.822666002,1.2704608827,0.9634628232962998,1.2135109121692267,1.0125724393,2.3525293578,7.795169822531966,165.0570153004,41.1397040629,213.99188918583195,2.2113570837,0.1072189125320329,0.18115945016279766,0.08276571007963099,0.2836048871,0.2107421158,0.1187789321,2085855313932.0,278384564804,0.0352112676,1.1258399387,0.0331153191,0.2502416201,-5.719009728883757,2.270460882673769,6545599624000,115239430.0,5.3212067053,1.4015075847,0.6241805276,2.8274027038,1864.7606565999156,40527.7863778656,4.4740461472
DBC,2021,3,5560358465255,174685602659,543895764510,516887656566,4249678421172,75211020348,5231311540980,4459876525464,0,102412820589,0,56714363141,10791670006235,5985520278376,4747387240658,1238133037718,4806149727859,4806149727859,0,715666682171,0,0,10791670006235,295738464538,4249678421172,5175561759,2519655753467,1152394300000,1152394300000,920760585346,967562180868,2043436958327,0,56714363141,0,16136866468,16136866468,0.054518774712481705,2790829093482,138009726512,-0.6432126774783109,4505780168,-40158261533,2790829093482,-108880181557,2681948911925,-2297706723628,384242188297,-46063994264,0,-100552142912,-83657153661,158474677628,11000851214,-636782391,10364068823,168838746451,-30829019939,0,138009726512,138009726512,168838746451.0,125330808247.0,0.0,0.0,-9250944558.0,40161261533.0,325079871673.0,-90657936055.0,-118694929451.0,20771467807.0,26705393305.0,-40206270662.0,-20954568829.0,0.0,-3448180000.0,98594847788.0,-87772049766.0,314216631.0,-18541428885.0,0.0,0.0,0.0,4505780168.0,-101493481852.0,0.0,1874881413046.0,-1824132889343.0,-29344134969.0,0.0,21404388734.0,18505754670.0,156179847989.0,0.0,174685602659.0,0.8083306491,1.2453878088,0.9279520568433779,1.248783056564106,1.0112621917,2.391147877,7.057064773401884,165.0498062658,41.3756413416,213.4825123808019,2.2114536712,0.07458490012042178,0.1432697642332067,0.051458745503448804,0.2155284597,0.1675578865,0.0934525951,1666401478628.0,200032891724,0.0277777778,1.1712460314,0.0367961562,0.2760845024,-4.981114323378347,2.245387808806859,8297238960000,115239430.0,8.4553381149,1.726379624,0.7813495149,6.0580944234,1197.5911935003496,41705.7749058547,6.6531091356
DBC,2021,4,5598671487019,200057089304,577082813041,546504802944,4201860282607,73166499123,5226669443685,4581980825706,0,105317423994,0,53724181978,10825340930704,6128902443970,5123970074565,1004932369405,4696438486734,4696438486734,0,605955441046,0,0,10825340930704,180498156298,4201860282607,4680708927,2519655753467,1152394300000,1152394300000,687234917033,550679636050,2599459320679,0,53724181978,0,16136866468,16136866468,0.04412905257620721,3100496167257,111632252275,-0.576197098793661,8260134174,-45720646033,3100496167257,-39776024560,3060720142697,-2690884564317,369835578380,-50792026381,2904603405,-116788900629,-76341509236,137077879713,26960164092,-361269162,26598894930,163676774643,-52044522368,0,111632252275,111632252275,163676774643.0,126041340418.0,0.0,13982660.0,-4166506407.0,45720646033.0,331286237347.0,-29061542936.0,49228598634.0,-243235810018.0,4463225506.0,-44499391057.0,-53140119934.0,0.0,-4571050000.0,10470147542.0,-60055524690.0,253290136.0,-33187048531.0,0.0,-2904603405.0,0.0,8276007614.0,-87617878876.0,0.0,2073740074013.0,-1719605092011.0,-31638287963.0,-219963493400.0,102533200639.0,25385469305.0,174685602659.0,-13982660.0,200057089304.0,0.8480568401999999,1.3181247352,0.9756288384589071,1.220276758011366,1.0315669292,2.3928861784,8.98686189581935,153.8310867683,48.9797225917,211.79767125581935,2.3727323759,0.05773320012175094,0.12083286322744743,0.03647254471839217,0.1865666973,0.1383788977,0.0791418466,1594489695504.0,176705168515,0.0,1.0900610483,0.0386830511,0.2772830787,-3.864887831800511,2.3050106929500456,7167892546000,230478860.0,8.6407487764,1.5296649907,0.6629084169,12.2243135883,484.34920354517544,20331.2491225182,6.2448848149
DBC,2022,1,5624216063644,228713674893,555327513041,635641288038,4127802111320,76731476352,5434358806073,4503598018977,0,105317423994,0,46203865723,11058574869717,6368979969767,5134273720453,1234706249314,4689594899950,4689594899950,0,601658828425,0,0,11058574869717,259854737170,4127802111320,4264772629,2517108779304,1152394300000,1152394300000,907745420970,664187636134,2844281184958,0,46203865723,0,18961157140,18961157140,0.1355229748465914,2920854639559,8608753979,-0.9764157942067426,6548832994,-46314181169,2920854639559,-115040656773,2805813982786,-2551558241554,254255741232,-52100286875,0,-98612406282,-87155594506,22936286563,2395828991,-57282498,2338546493,25274833056,-16666079077,0,8608753979,8608753979,25274833056.0,127489828781.0,0.0,0.0,-4857923903.0,46314181169.0,194220919103.0,-95270697777.0,75325644550.0,-140486273757.0,7668442038.0,-55717567578.0,-70347491453.0,0.0,-28585009000.0,-113192033874.0,-349693791655.0,309090909.0,-15844700000.0,37600000000.0,0.0,0.0,4145651993.0,-323483748753.0,0.0,2349526192318.0,-1861715325767.0,-22478498335.0,0.0,465332368216.0,28656585589.0,200057089304.0,0.0,228713674893.0,0.9936406292,1.3581087718,0.9603383906411654,1.2184985871873388,1.0300382,2.4704384562,7.534161607710254,157.7336624779,44.8671122535,210.13493633911025,2.314027293,0.024409223442530537,0.09061746173904935,0.00306818414613931,0.1003350835,0.0857193568,0.0437291749,1221796990909.0,68487740444,0.0,1.0954258323,0.0445464514,0.291455819,-1.4787639274909967,2.3581087717906946,6703451494300,242001859.0,14.1680735142,1.4294308223,0.6014817498,13.3134481469,35.573090283575056,19378.342461204,9.3270221983
DBC,2022,2,5893558545408,180439135130,522993277731,648875634443,4442128313261,99122184843,5618170755163,4556042414335,0,104227892920,0,58317265844,11511729300571,6852811452217,5884912849463,967898602754,4658917848354,4658917848354,0,141019365626,0,0,11511729300571,266864439991,4442128313261,3861364003,1794676890507,2304788600000,2304788600000,640901123110,611092846807,3104720842450,0,55101854844,0,19821710390,19821710390,0.1110361932510705,2978725702585,14266578241,-0.9336110770038064,7749517886,-48173008766,2978725702585,-12352971154,2966372731431,-2681532365510,284840365921,-56075123095,-1089531074,-107691521189,-94451834460,33281873989,848009547,-4297683579,-3449674032,29832199957,-18781032716,3215411000,14266578241,14266578241,29832199957.0,131261905770.0,0.0,15431891.0,-8659986812.0,48173008766.0,200622559572.0,5772958803.0,-314011105588.0,301249724199.0,-15649236239.0,-39577779894.0,-9441313996.0,0.0,-4477605001.0,124488201856.0,-207284965287.0,0.0,-55591491270.0,87925726580.0,0.0,0.0,11299752605.0,-163650977372.0,0.0,2150191733507.0,-2137231754858.0,-22056311007.0,0.0,-9096332358.0,-48259107874.0,228713674893.0,-15431889.0,180439135130.0,0.9415326115,1.4709019724,0.9779185988318412,1.2105277613854775,1.0423675429,2.5445089475,7.789912545672607,151.9523962804,46.043233231,205.78554205707258,2.4020680748,0.027878158869167582,0.09602312039309736,0.004809435473106476,0.0578252297,0.0628140056,0.0246692799,1038046694171.0,82697010272,0.0,1.001469129,0.0306613096,0.2466358074,-1.7166669134929906,2.4709019723621237,4283432904300,242001859.0,15.7182492939,0.9194051159,0.3719918851,35.5886808787,58.95234978752787,19251.5787589632,7.5609467077
DBC,2022,3,5607563639431,239178045227,522700416380,574011193175,4167258352509,104415632140,5706636053503,4460403830825,0,104227892920,0,44330235490,11314199692934,6448927537082,5336674123952,1112253413130,4865272155852,4865272155852,0,232143683124,0,0,11314199692934,208807300184,4167258352509,6665716559,1794676890507,2420018590000,2420018590000,794664856431,244297896823,3368887495849,0,44330235490,0,21376950390,21376950390,0.31332400594298154,3665262844954,206354307498,0.49521568307765185,4554313545,-39941106649,3665262844954,-98313958482,3566948886472,-3081344894240,485603992232,-43339965858,0,-107100420659,-90991606526,248726312734,2497225158,-797218815,1700006343,250426319077,-44072011579,0,206354307498,206354307498,250435759078.0,119391586652.0,0.0,218.0,47358269301.0,39957952432.0,457143567681.0,30012422548.0,276251912783.0,-792731588295.0,13163180514.0,-45752667318.0,-18555439380.0,47490604000.0,14724171.0,-32963283296.0,-331282874845.0,0.0,55792861351.0,-55500000000.0,0.0,1089531074.0,980597323.0,-328919885097.0,0.0,2511304460002.0,-2073533225582.0,-17149155710.0,0.0,420622078710.0,58738910317.0,180439135130.0,-220.0,239178045227.0,1.0191037726,1.3255019104,0.9167840334399341,1.2641448514563096,1.1093624503,2.739993052,8.071602251584595,140.4491843473,43.5986397347,192.1194263335846,2.5988046972,0.08060445332912312,0.1361398796808388,0.05785177025682054,0.072101082,0.0681596905,0.0304954664,1119586545899.0,287511965047,0.0,1.0507599882,0.0448178097,0.2698881838,-7.1983975700432525,2.3255019103762082,3763128907450,242001859.0,11.0402000821,0.7734672978,0.3034816683,-336.0895167851,852.6971997268831,20104.2759586901,6.8663769162
DBC,2022,4,6617447262219,627011780110,504883327067,614818480490,4762851684169,107881990383,5908973953895,4301764720167,0,114326245295,0,71802774012,12526421216114,7740292015065,6600444511736,1139847503329,4786129201049,4786129201049,0,153000728321,0,0,12526421216114,235352234346,4771663786625,15896779328,1794676890507,2420018590000,2420018590000,886248583351,207822527853,3704610246721,0,71802774012,0,23415682390,23415682390,-0.01909156353718965,3041302847683,-79142954803,-1.708961372633024,9945040909,-48351517211,3041302847683,-111393725782,2929909121901,-2780098117045,149811004856,-49218248870,1098352375,-89765586620,-70921495324,-49050932674,1691626132,-1230013730,461612402,-48589320272,-30553634531,0,-79142954803,-79142954803,-48589320272.0,120894335535.0,8812102456.0,15255879.0,130001860168.0,48351517211.0,259485750977.0,-45622477400.0,-604405434116.0,873682414215.0,-29101318381.0,-71268147524.0,-12689112692.0,0.0,-8625800000.0,361455875079.0,-409248774623.0,129629632.0,-1135633858.0,18952723171.0,-9008821301.0,-1089531074.0,11011852545.0,-390388555508.0,0.0,2145567978115.0,-1682696045016.0,-35565455307.0,-10524806601.0,416781671191.0,387848990762.0,239178045227.0,-15255879.0,627011780110.0,1.1800988469,1.7954034714,0.8987982855172737,1.2435811181977472,0.9697328009,2.6019643644,9.015399229256934,162.2026159559,60.6438206682,231.86183585335692,2.2502719691,-0.0037120868380188265,0.05113162170668242,-0.027012085191109963,0.0011138636,0.0230549438,0.0004358486,709878739778.0,-10876077088,0.0,0.9794956055,0.0869276696,0.2575931268,0.22493765894745668,2.6172342387598984,3557427327300,242001859.0,684.8434452768,0.7664841256,0.3077999731,11.411059818,-327.034491098682,19178.4793819745,10.5395488203
