Open,High,Low,Close,Volume
11.15,11.15,4.8,4.8,111700
4.86,5.7,4.86,4.86,202103
4.8,5.64,4.8,5.64,202103
6.06,6.06,6.0,6.06,180912
6.96,6.96,6.6,6.96,659560
7.14,7.2,6.36,6.6,222051
6.36,6.6,6.18,6.36,307650
6.3,6.78,6.3,6.6,260098
6.78,6.78,6.36,6.48,201770
6.6,7.5,6.6,7.5,1181703
8.22,8.34,7.8,8.34,1144164
9.47,9.47,7.68,7.92,534081
7.92,8.1,7.5,7.8,626765
7.62,8.4,7.38,7.92,809448
7.86,7.92,7.5,7.5,303639
7.44,7.8,7.38,7.5,282010
7.62,7.8,7.5,7.68,335263
7.74,7.98,7.68,7.86,683387
7.8,7.92,7.68,7.8,478560
7.68,7.68,7.56,7.62,263813
7.56,7.74,7.44,7.56,292594
7.56,7.56,6.9,7.38,469469
7.32,7.5,7.2,7.32,179955
7.26,7.38,7.08,7.2,323882
7.2,7.26,7.14,7.2,296132
7.14,7.2,7.02,7.02,323371
7.08,7.26,7.02,7.14,191987
7.14,7.2,7.02,7.14,147894
7.08,7.26,7.02,7.26,228730
7.08,7.14,6.96,7.08,129963
7.08,7.08,6.9,6.9,108441
6.9,6.96,6.66,6.78,184216
6.78,6.78,6.54,6.72,258661
6.6,7.38,6.6,7.2,323455
6.9,7.26,6.9,7.08,184762
7.02,7.2,6.96,7.08,244318
7.08,7.32,7.08,7.2,162603
7.2,7.2,7.02,7.14,91623
7.08,7.14,7.02,7.08,70471
7.08,7.08,6.9,6.96,121410
6.96,6.96,6.78,6.84,110384
6.9,7.02,6.84,7.02,137456
7.38,7.5,7.08,7.2,278599
7.2,7.2,7.02,7.08,145319
6.96,7.2,6.9,6.9,129474
7.14,7.2,6.9,6.9,313589
6.96,7.08,6.96,7.02,156911
7.02,7.14,6.96,7.14,176065
7.14,7.5,7.08,7.38,729965
7.44,8.04,7.44,7.8,1015920
7.8,7.8,7.56,7.74,354922
7.56,7.62,7.38,7.62,489515
7.56,7.92,7.56,7.8,1033806
7.8,7.86,7.62,7.74,496171
7.2,8.64,7.2,8.28,1478248
8.52,8.58,8.34,8.34,979616
8.52,8.58,8.16,8.28,779444
8.22,8.34,8.16,8.28,400919
8.28,8.52,8.22,8.34,532324
8.34,8.4,8.34,8.4,220878
8.4,8.82,8.4,8.76,919203
8.76,8.76,8.64,8.76,409341
8.7,8.76,8.52,8.52,551343
8.52,8.58,8.34,8.58,330354
8.58,8.58,8.46,8.46,203296
8.4,8.46,8.28,8.28,425055
8.28,8.4,8.28,8.4,310843
8.34,8.52,8.34,8.4,153507
8.4,8.58,8.4,8.52,168181
8.83,8.83,8.52,8.58,284361
8.64,9.01,8.64,8.89,545082
8.89,8.95,8.76,8.83,380642
8.83,8.89,8.52,8.64,652035
8.64,8.64,8.33,8.39,902422
8.39,8.58,8.39,8.45,145450
8.58,8.58,8.33,8.39,165982
8.33,8.39,8.08,8.14,632083
8.27,8.33,8.08,8.08,297646
8.08,8.14,7.71,7.89,391815
7.83,7.96,7.77,7.96,112475
7.89,8.2,7.89,8.2,175334
8.08,8.08,7.96,7.96,125108
8.08,8.08,7.89,7.96,68548
7.89,7.89,7.71,7.89,263954
7.83,7.96,7.83,7.96,89364
7.96,7.96,7.89,7.89,37324
7.96,7.96,7.77,7.77,135650
7.96,7.96,7.77,7.89,179142
7.89,7.89,7.83,7.83,131584
7.89,8.02,7.83,8.02,152123
7.89,8.39,7.89,8.08,232092
8.02,8.08,7.83,7.96,218319
7.89,7.89,7.77,7.83,227165
7.83,7.96,7.71,7.77,205701
7.77,7.83,7.52,7.65,120779
7.71,7.71,7.65,7.71,57228
7.77,7.77,7.65,7.71,80249
7.71,7.71,7.65,7.65,94252
7.65,7.71,7.58,7.71,65450
7.65,7.71,7.52,7.58,150006
7.58,7.58,7.27,7.46,331184
