Meta_ticker,Meta_yearReport,Meta_lengthReport,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
DRI,2025,2,0.0563233937,0.2587501871,0.5831782421425468,0.8927347609426229,0.8323984273,1.6104987928,3.2033259381197436,107.3825362758,9.78247784,120.36834005391975,3.399062945,0.1810457093598784,0.3411003603350475,0.18549282978490952,0.2517375414,0.2627572129,0.2122106708,230955414943.0,20516074521,0.0712589074,1.7383035692,0.6818198365,0.8465407767,-58.324204159729334,1.2587501871125624,924516000000.0,73200000.0,5.952241978,1.4262395223,1.5174575315,5.459441031,287.15876484972677,8855.4550637978,3.6859794888
DRI,2025,1,0.008015258,0.0706097112,0.5647683684141359,0.9227461501325137,0.8233244557,1.5103969148,3.615900033588414,98.0811399531,8.4786218266,110.17566181328843,3.7214086233,0.3206401988767815,0.3949665471873828,0.2727989530946468,0.2492443512,0.2504547207,0.211975198,233023228703.0,65760542457,0.0696001856,4.3094488008,2.1704328207,2.816149467,-217.25599685697654,1.0706097111885489,946549200000.0,73200000.0,6.5838531202,1.4127517825,1.6950954865,5.6396203165,764.3267090437158,9153.0587044945,3.6644166401
DRI,2024,4,0.0517132272,0.2344674365,0.6357188146646987,0.80682322175,0.6869134064,1.2836015581,3.1698314221893114,117.6012939748,3.7724512611,124.54357665808931,3.1037073459,0.3522632532963049,0.5346066313829535,0.2602850249795907,0.1951756943,0.2009467167,0.1589680814,171054651298.0,52013461932,0.0591774337,1.6090070211,0.5858788255,0.7713687965,-46.305482156547505,1.2344674365388217,742174800000.0,73200000.0,6.8078710874,1.2696430124,1.5755031061,5.5776325774,525.0329025409836,7985.7092908607,4.2971098805
DRI,2024,3,0.0645256709,0.1421746512,0.6563227409535162,0.7809336572704918,0.7559192679,1.3255638348,5.091486797655942,82.1331972814,10.9325041144,98.15718819345595,4.4440008679,0.3009220541953056,0.4063468713532381,0.278804503049958,0.1931154633,0.1921127265,0.1633045054,162400333309.0,43088114176,0.0508646999,2.3515881931,0.6205786305,1.4067387774,-46.266479064580004,1.1421746512496997,863467200000.0,73200000.0,8.4869168923,1.5276471302,1.8334653238,6.221722658,545.3711647814208,7721.678499276,5.2729758293
DRI,2024,2,0.0755197988,0.2351345976,0.7045904018494812,0.6722529704098361,0.6936555271,1.2040553953,6.558784759942638,78.7645630807,11.0877239324,96.41107177304264,4.6340636668,0.15468735135956732,0.31941887974350186,0.1515254867182741,0.1441558963,0.1643883805,0.1198236026,125794185358.0,9663506794,0.0506414585,1.5542555463,0.2679223526,0.8602487992,-15.805205208222224,1.2351345976147288,867273600000.0,73200000.0,11.9191015438,1.7790897945,2.0589321803,6.0365103535,129.31668398907104,6659.585163388,6.979997293
DRI,2024,1,0.0500413205,0.1180025904,0.647249275952059,0.7190785859043716,0.6847649403,1.1731721791,9.423205738636481,81.2321008553,7.7826860208,98.43799261473649,4.493297553,0.17026631881760132,0.27601913098522823,0.17783496847220073,0.1554745628,0.1844712588,0.1264221096,141977916843.0,20050409082,0.045882083,2.2903604886,0.4579324669,1.6089181439,-23.814363403773694,1.1180025903727724,957236400000.0,73200000.0,11.9248218396,1.8347924913,2.2015746499,9.4592974872,286.0886131284153,7127.236492459,6.7600999695
DRI,2023,4,0.0843595009,0.1958841827,0.6668807102507992,0.7344610829699454,0.6298268351,1.0459515329,7.4018907402340774,88.4474817644,1.7613930404,97.61076554503407,4.1267427033,0.2989485577171139,0.4480000753089567,0.21291900786974294,0.1340636602,0.1683621155,0.1046208892,140199085129.0,44104157083,0.0405022276,1.7117712341,0.5733100244,1.0903376695,-31.886190888191052,1.1957478111349766,903654000000.0,73200000.0,12.2659954827,1.6967978592,2.0375113955,7.0926869776,429.1275691803279,7275.4688680191,6.8291128873
DRI,2023,3,0.2031610237,0.2253510378,0.7341412335839304,0.6576416388237705,0.6452511299,1.029895062,9.124032219376911,79.5247986025,8.3330000704,96.98183089227692,4.589763274,0.14106811495714974,0.25928565330343983,0.11708856434011017,0.1321662586,0.1876232164,0.1018497951,147560392013.0,13184748623,0.0694251597,1.4240820861,0.3290283904,0.8386104756,-11.949171198021968,1.225351037776106,527186400000.0,73200000.0,7.4018377672,1.1054806173,1.1683445791,2.7515273483,149.5017894535519,6514.8134553005,3.9371525862
DRI,2023,2,0.29871798969999996,0.3349870182,0.7985129527438346,0.7353676154371585,0.636287904,0.9796429978,10.402440178299775,79.3223245925,7.7953245858,97.52008935659977,4.6014788633,0.3237527514608888,0.4550037247709976,0.22323353771016774,0.0985011626,0.1759544312,0.0740721077,162620183556.0,24618973941,0.0664540138,1.3740188811,0.1816606593,0.7398125671,-15.745446264093056,1.334987018192322,550756800000.0,73200000.0,10.1195492416,1.0319761518,1.1780458756,4.1228798999,231.90218540983608,7290.8661570219,3.9843102605
DRI,2023,1,0.3062533501,0.2372153451,0.8214632797165144,0.7978417253278689,0.6549745645,0.9744647181,7.54534221665164,75.432729583,6.9851477724,89.96321957205164,4.8387484056,0.15811287351063602,0.27170215793477037,0.11682604966193345,0.0959279785,0.1917930387,0.070480109,178668540514.0,19996778546,0.0569865512,2.1532228107,0.931716528,1.3966354406,-11.000860030102354,1.2372153451156442,642256800000.0,73200000.0,11.9443410378,1.1085153547,1.2852994656,3.625274161,201.84658972677596,7915.0910836749,3.8671359079
