Symbol,Year,Quarter,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
DRI,2020,3,96395979163,19605276577,0,14788988985,60466866108,1534847493,1097496351411,0,1003415749381,3000000000,21036539261,1193892330574,439865366983,169567035850,270298331133,754026963591,754026963591,-10142803542,4953575663,1193892330574,524119934,0,60466866108,0,26130560205,732000000000,732000000000,270298331133,1067565857,131341612984,21036539261,3000000000,0,0.2771268582093474,144729367578,11551229235,0.6291672429755512,1158287704,-6431707363,144729367578,0,144729367578,-99806292627,44923074951,-19486285196,-10037590920,-4131068441,12426418098,310340882,-708974141,-398633259,12027784839,-655203767,0,11372581072,-178648163,11551229235,12027784839.0,-4818639155.0,6897595494.0,26256432086.0,6431707361.0,0.0,46794880625.0,983591825.0,15226932080.0,13495376577.0,844150448.0,-10514890580.0,-4133348576.0,0.0,183563887.0,62880256286.0,-8230784658.0,0.0,0.0,0.0,0.0,0.0,118430465.0,-8112354193.0,0.0,99229371485.0,-107715615875.0,-29276013325.0,-37762257715.0,17005644378.0,39376804261.0,-36777172062.0,19605276577.0,0.8911329537999999,0.5833549571,1.330742530217094,1.0300914803155738,0.3524787769,0.4249808432,6.048498301983635,73.248941616,14.0871995603,93.38463947828365,4.9830071527,0.21249602692712183,0.3103936381590923,0.07981261459444032,0.017368107,0.0696589694,0.0107624001,133298211842.0,30754415590,0.0330797221,0.5684830113,0.1156196219,0.2118873688,-4.781687638172477,1.5833549570802778,663850800000.0,73200000.0,48.1917232963,0.886229321,1.4714605269,4.5365089833,157.8036780737705,10233.2430044809,7.8833693917
DRI,2020,4,152339681430,32245345772,0,48801720834,69150185302,2142429522,1067897212999,0,979700836962,3000000000,20885971513,1220236894429,440811469629,234312824698,206498644931,779425424800,779425424800,26380939952,5082587131,1220236894429,7112586973,0,69150185302,0,26130560205,732000000000,732000000000,206498644931,2388038329,180380711732,20885971513,3000000000,0,-0.13898250830324532,146624293835,36394732028,0.5248765194661573,994153751,-6579664632,146624293835,0,146624293835,-78587041675,68037252160,-5372964982,-11784878657,-6776481943,45097080329,89110081,-96402362,-7292281,45089788048,-8566044553,0,36523743495,129011467,36394732028,45089788048.0,41512901001.0,3217999289.0,-24685845950.0,6579664632.0,0.0,71714507020.0,-36498555800.0,-8683319194.0,-8759074067.0,150567748.0,-5564038743.0,-1710162778.0,0.0,1125213918.0,11775138104.0,-4680761662.0,0.0,0.0,0.0,0.0,0.0,1275655127.0,-3405106535.0,0.0,36623108666.0,-68738197985.0,149187335.0,-31965901984.0,-23595870415.0,19605276577.0,36235939610.0,32245345772.0,0.7622422903999999,0.5659943639,1.2569526291927038,1.064788831693989,0.3485294439,0.4271838028,20.619012120935093,66.2415946459,2.9855016461,89.8461084129351,5.5101330509,0.3374331106117821,0.46402441492106367,0.2482176116664262,0.030035925,0.0653425531,0.0190296388,150020264313.0,49475891560,0.0323066983,0.6444557263,0.1387767543,0.3584886957,-7.519515708958098,1.5655595206457524,679735200000.0,73200000.0,28.2043172384,0.8877498007,1.5399501506,11.7928879069,497.1957927322404,10460.1544182104,6.5814100909
DRI,2021,1,113482216005,34042694030,0,30813575768,46679487465,1946458742,1044319487097,0,993720680783,3000000000,22924473639,1157801703102,367256188585,159787934696,207468253889,790545514517,790545514517,39687220988,5096771757,1157801703102,7659944790,0,46679487465,0,25703057182,732000000000,732000000000,207468253889,241758471,129087349768,22924473639,3000000000,0,1.3703863781980818,124549362043,16335396906,2.7496789559849786,880952967,-6561436617,124549362043,0,124549362043,-82436103964,42113258079,-11163840758,-6221779752,-4099348535,21509242001,0,-3600000,-3600000,21505642001,-5161685849,0,16343956152,8559246,16335396906,21505642001.0,19924411638.0,3958549225.0,6320738565.0,6561436617.0,0.0,58270778046.0,18174167676.0,19614144414.0,-22466872818.0,-2216136380.0,-6653879405.0,-7318490155.0,0.0,-1395335687.0,56008375691.0,-5367038246.0,0.0,0.0,0.0,0.0,0.0,371106196.0,-4995932050.0,0.0,49852710539.0,-95572570461.0,0.0,-45719859922.0,5292583719.0,32171593506.0,-3421483195.0,34042694030.0,0.6881626010999999,0.4645604609,1.2570062855775408,1.0799802110887977,0.4136486316,0.4982420292,14.229151737927964,69.2737220048,11.5189453245,95.02181906722797,5.2689532111,0.2552572672433596,0.3381250404515169,0.13115600624562246,0.0676917342,0.0992814489,0.0430421421,187194808963.0,31792129792,0.0553464689,0.7102051617,0.2130492149,0.4180711683,-4.84530014503682,1.464560460898172,661288800000.0,73200000.0,12.7233984147,0.841924831,1.3239311841,4.7424849477,223.16115991803278,10730.1740814208,5.1758832777
DRI,2021,2,195155109715,72210633983,0,16159952908,101846860044,4937662780,990952972035,0,945207891511,3000000000,20789072352,1186108081750,406010299396,201993232509,204017066887,780097782354,780097782354,47041612720,5282636473,1186108081750,1494498307,0,101846860044,0,25215672778,732000000000,732000000000,204017066887,86557700,122929318173,20789072352,3000000000,0,0.5264325151429,127588048926,29967138756,3.434941079183117,3395644327,-5814232321,127588048926,0,127588048926,-74505577330,53082471596,-6169105825,-7222217562,-4768338746,38318453790,208142571,-18920000,189222571,38507676361,-8354876426,0,30152799935,185661179,29967138756,38507676361.0,24092325841.0,169522943.0,-6836656282.0,5814232321.0,0.0,61747101184.0,14675122228.0,-50607583668.0,16485956318.0,2135401287.0,-5726408887.0,126717918.0,0.0,225569838.0,39061876218.0,2563821147.0,0.0,0.0,0.0,0.0,0.0,-139829479.0,2423991668.0,0.0,63427876755.0,-70161996193.0,-5291690.0,-6739411128.0,34746456758.0,34042694030.0,3421483195.0,72210633983.0,0.6806370481999999,0.5204607789,1.2116530938708332,1.0657073529426229,0.4569034186,0.5542935386,14.23763137246996,75.6872499767,11.4144320171,101.33931336626996,4.8224767066,0.32206711862043574,0.4160457977281821,0.23487418303089413,0.1214505047,0.138309163,0.0792330594,233825351555.0,41091915288,0.0373162176,0.9661467728,0.3574903629,0.4619375041,-7.067470479220983,1.5204607788665099,980806800000.0,73200000.0,10.4066041582,1.2658590958,1.8046419708,5.7787778181,409.38714147540986,10584.9063644945,5.3066324045
DRI,2021,3,151260068023,35037786404,0,17864085670,96052269945,2305926004,919973778267,22500000000,852900153419,3000000000,18330261389,1071233846290,332400196179,134155314262,198244881917,738833650111,738833650111,40151084966,5221740311,1071233846290,1701266432,0,96052269945,0,25703057182,732000000000,732000000000,198244881917,392293280,102020550763,18330261389,3000000000,22500000000,0.017561278132651414,147271000256,14741724019,0.27620391900221863,4986996404,-4668451671,147271000256,-96669341,147174330915,-88289882914,58884448001,-27527536853,-9460335518,-3807164028,23076408006,33572601,-596157040,-562584439,22513823567,-7638571747,0,14875251820,133527801,14741724019,22513823567.0,14646329869.0,18555873912.0,-4320564376.0,4668451671.0,0.0,56063914643.0,-2085099391.0,1234801188.0,-15051777748.0,2458810963.0,-2437262814.0,-10275349297.0,0.0,1169765849.0,31077803393.0,-3006987734.0,0.0,-22500000000.0,0.0,0.0,0.0,-231276717.0,-25738264451.0,0.0,55845491257.0,-23249851960.0,-41718708310.0,-9123069013.0,-3783530071.0,72210633983.0,-33389317508.0,35037786404.0,0.6747260558,0.4498985612,1.1543872606382546,1.0093355875833334,0.4711035331,0.5790075635,14.45399110760634,88.4067583869,9.9092315957,112.76998109020633,4.1286436315,0.30995179778562,0.400099987782574,0.10016504866948592,0.1261794385,0.1616562731,0.0840828417,268152853444.0,45616948455,0.0350877193,1.1274996362,0.261173302,0.4115215143,-9.771322843153408,1.449898561237785,1043100000000.0,73200000.0,10.7051600361,1.4218689556,1.910663396,7.5629049346,201.3896723907104,10022.0206256831,4.8985098227
DRI,2021,4,203530939682,84916225937,0,27144311172,85985132358,5485270215,899228067405,30000000000,822630395284,3000000000,17518586861,1102759007087,341396413980,186786855540,154609558440,761362593107,761362593107,55935311304,5120871033,1102759007087,1259932577,0,85985132358,0,26038219629,732000000000,732000000000,154609558440,5056271580,123784318052,17518586861,3000000000,30000000000,0.36747959925818385,200505730575,15751567817,-0.5672019839332336,7129887314,-5164430604,200505730575,0,200505730575,-100780297586,99725432989,-48766712104,-12492193874,-7650272922,37946141403,2655371239,-11486775661,-8831404422,29114736981,-13330510642,0,15784226339,32658522,15751567817,29275911981.0,22629959410.0,37656012189.0,8568878429.0,5164430605.0,0.0,103295192614.0,-12459569714.0,10067137587.0,32823295597.0,811674528.0,-6145333150.0,-7604884691.0,0.0,-2742252802.0,118045259969.0,875474983.0,0.0,-7500000000.0,0.0,0.0,0.0,807380069.0,-5817144948.0,0.0,31228835401.0,-121996674483.0,214181051.0,-90553658031.0,21674456990.0,35037786404.0,28203982543.0,84916225937.0,0.5606044479,0.4437076496,1.0804712534233865,1.040112832113388,0.5243212031,0.6777485894,19.63549693012233,76.5667428188,2.8448483975,99.04708814642233,4.7670827642,0.3969111803676437,0.49736949015378534,0.07855919016293682,0.1134331995,0.1826582883,0.0752556677,251730856636.0,79582966193,0.0277454081,1.1209044072,0.4674686193,0.6440204739,-15.40982390805304,1.4484018745743934,1319137200000.0,73200000.0,15.6931345333,1.8679850853,2.2524309741,5.9454461583,215.18535269125684,9647.2933012568,5.7199420607
DRI,2022,1,134202402634,60714710247,0,14141064622,55768693981,3577933784,761657969526,30000000000,686748046712,3000000000,17747979987,895860372160,213536665928,76103988467,137432677461,682323706232,682323706232,83671141855,5025679845,895860372160,3189645221,0,55768693981,0,26038219629,732000000000,732000000000,137432677461,4557000001,39005067793,17747979987,3000000000,30000000000,0.07759278155646844,134213493485,20929020378,0.2812067253972115,4662022954,-3236974716,134213493485,0,134213493485,-88390552527,45822940958,-10135970093,-7446308649,-4418701471,28483983699,0,-752515777,-752515777,27731467922,-6897638732,0,20833829190,-95191188,20929020378,27731467923.0,17212116676.0,2974203644.0,752515777.0,3236974716.0,0.0,51907278736.0,12908725632.0,26959802635.0,-21885385498.0,-1327768622.0,-3400767625.0,-11168008916.0,548875967.0,0.0,54542752309.0,-6104610957.0,0.0,0.0,0.0,0.0,0.0,200000000.0,-5904610957.0,0.0,11225456836.0,-78426036059.0,0.0,-67200579223.0,-18562437871.0,81095154177.0,-1818006059.0,60714710247.0,0.4600022245,0.3129550739,1.006484225067355,0.9321362106994535,0.5728262641,0.7370933865,8.25746044817636,88.057667319,9.359672693,105.67480046017636,4.1450110037,0.25301428311152047,0.34141828640442384,0.15593827293035237,0.1098885625,0.2331843848,0.0764945403,278830492570.0,33957930838,0.0576796309,1.7634082699,0.7977861801,1.0306123271,-10.490638271021947,1.3129550739299602,888355200000.0,73200000.0,10.9148690575,1.3116164013,1.4575586766,3.6598840169,285.9155789344262,9252.7052785109,3.6190586817
DRI,2022,2,180595624022,64110277440,10000000000,13332392296,87886136384,5266817902,650670204099,30000000000,572055572379,3000000000,14578530112,831265828121,260484880677,112477550081,148007330596,570780947444,570780947444,49424050409,5084883480,831265828121,1146037623,0,87886136384,0,38731219629,732000000000,732000000000,148007330596,20934812,40185465823,14578530112,3000000000,30000000000,-0.1516410658510927,108240461197,16321009366,-0.45536978024863256,18291214721,-2151429269,108240461197,-20934812,108219526385,-57776073197,50443453188,-33650513569,-6510185491,-4493123740,24080845109,0,-412894698,-412894698,23667950411,-7275830394,0,16392120017,71110651,16321009366,23667950410.0,12177746917.0,25573907836.0,-1954261687.0,2151429269.0,0.0,61616772745.0,-5880211793.0,-32131331292.0,-21717089733.0,3169449875.0,-1980207214.0,-2454623109.0,-548875967.0,-2640306315.0,-2566422803.0,-8490970176.0,0.0,-5000000000.0,0.0,0.0,0.0,1635514127.0,-11855456049.0,0.0,17644784075.0,-1629710931.0,-51252144.0,15963821000.0,1541942148.0,60714710247.0,1853625045.0,64110277440.0,0.0,0.0,1.002233124530011,0.7797553926830602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36444572688932675,0.46612154823652807,0.15081390495035663,0.0,0.0,0.0,0.0,39440143957,0.1017293998,0.0,0.0,0.0,-18.332066280446238,1.4563657596552073,503689200000.0,73200000.0,7.435259864,0.8903883765,0.8535469148,2.504677875,222.96460882513662,7728.0883055191,2.385760084
DRI,2022,3,126148594618,37362893361,10000000000,18884045033,55822440806,4079215418,605551337930,50000000000,509831098202,3000000000,12836229372,731699932548,195441046749,51636334368,143804712381,536258885799,536258885799,43628710315,4826440599,731699932548,1605337241,0,55822440806,0,38731219629,732000000000,732000000000,143804712381,4854528000,18008507271,12836229372,3000000000,50000000000,-0.2546069172262063,109774784884,-5855153367,-1.3971824027809456,3188253895,-2155958459,109774784884,-18903654,109755881230,-74001276332,35754604898,-27065786183,-8367484561,-3901926474,-392338425,-14769818,-2181000360,-2195770178,-2588108603,-3267044764,0,-5855153367,0,-5855153367,-2567173791.0,11053695019.0,30756975684.0,4562926564.0,2155958459.0,0.0,45962381935.0,570873047.0,32077584467.0,-78238405393.0,1742300740.0,-3084803565.0,-6083290630.0,0.0,1830011291.0,-5223348108.0,-10188316074.0,0.0,-20000000000.0,40347484800.0,0.0,0.0,56090953892.0,66250122618.0,0.0,19268676641.0,-75628425731.0,-29204356477.0,-85564105567.0,-24537331057.0,64110277440.0,-2210053022.0,37362893361.0,0.5699074461,0.3644527894,0.9507182290180164,0.7325941062827869,0.6207288159,0.853165705,8.771995809343752,81.1608987091,6.0177186869,95.95061320534374,4.4972395058,0.21397663250304896,0.32576482004708335,-0.05334705804721459,0.0739341532,0.2527908413,0.0529499561,239539752873.0,23485193863,0.1081749343,2.4430199425,0.7235775703,1.3619509338,-10.893156946026297,1.3644527893608742,473677200000.0,73200000.0,10.046933721,0.8913215674,0.857032388,2.8742855268,-79.98843397540983,7260.0060819672,2.5171352966
DRI,2022,4,164277121621,66551192559,5000000000,19183913845,70776441613,2765573604,601885105308,60000000000,489516169318,3000000000,13330337262,766162226929,195860430286,110373476860,85486953426,570301796643,570301796643,71518724380,4682778355,766162226929,1596580107,0,70776441613,0,38731219629,732000000000,732000000000,85486953426,0,56217463141,13330337262,3000000000,60000000000,-0.22562844740778054,155265933889,28529775887,0.8112340446650029,8920310766,-2496766250,155265933889,-18594170,155247339719,-85483445785,69763893934,-23072086756,-12579540246,-9903505213,33129072485,66908583,-12947322,53961261,33183033746,-5311923334,0,27871110412,-658665475,28529775887,33201937398.0,12040408090.0,-17373958330.0,-53961262.0,2656881154.0,0.0,30471307050.0,1078849702.0,-14954000807.0,117012588171.0,-494107890.0,-2763312633.0,-7679209368.0,2257621576.0,810295024.0,125740030825.0,-2801264446.0,104964728.0,-5000000000.0,-40347484800.0,0.0,0.0,-54486468019.0,-102530252537.0,0.0,13244184434.0,-3041940049.0,-8379788.0,10193864597.0,33403642885.0,37362893361.0,-4215343687.0,66551192559.0,0.3977646625,0.3408619789,0.8583458305750866,0.7791008150860655,0.5542426856,0.7964366558,13.331493225138644,96.4311045339,2.5202114329,112.28280919193864,3.7850857539,0.30455174665523443,0.44937255646553226,0.18376982136144374,0.1259685255,0.2043984468,0.0901124514,187883688997.0,47280848475,0.0932463035,1.5122771693,0.6094247801,0.8497901217,-18.93683418501832,1.3434329532870217,549512400000.0,73200000.0,6.8029476012,0.9700339123,1.1060683365,3.3545157834,389.75103670765026,7738.9046965437,3.6128158358
