Open,High,Low,Close,Volume
25.49,25.49,25.49,25.49,7232660
25.7,26.16,24.59,25.53,3217540
25.49,25.53,24.81,25.53,2391160
25.49,25.49,25.06,25.06,520260
25.06,25.27,25.06,25.23,1056370
25.19,25.23,25.06,25.1,637040
25.06,25.15,24.98,25.15,787010
25.1,25.19,24.93,25.19,1110630
25.15,25.15,25.02,25.06,802560
25.02,25.1,24.93,25.1,1077670
25.06,25.1,24.93,24.98,904360
24.98,25.06,24.85,25.06,967870
25.02,25.15,24.93,25.15,1332640
25.1,25.15,24.98,24.98,1127570
24.93,25.06,24.93,25.02,1179580
24.98,25.06,24.64,24.68,1368300
24.68,24.85,24.59,24.72,975810
24.72,24.81,24.55,24.55,1087390
24.55,24.72,24.47,24.59,1201640
24.64,25.74,24.64,25.74,1636490
25.78,25.87,25.66,25.87,1363250
25.83,25.87,25.61,25.87,1185700
25.83,25.83,25.44,25.44,1119780
25.36,25.4,25.15,25.27,1226190
25.27,25.49,25.1,25.1,1262530
25.1,25.36,24.98,24.98,1679120
25.06,25.32,24.98,24.98,1606250
25.02,25.27,25.02,25.15,1257830
25.15,25.32,25.15,25.15,1291960
25.15,25.49,25.15,25.27,1404110
25.4,25.74,25.32,25.61,1493510
25.61,26.08,25.61,25.83,1384350
25.91,26.97,25.91,26.8,1026640
26.97,28.46,26.8,28.03,876160
28.08,28.88,28.03,28.12,866880
28.08,28.29,27.57,27.99,1538930
27.99,27.99,27.4,27.74,1235090
27.65,28.42,27.65,28.25,1041880
28.25,29.52,28.25,28.46,1508740
28.46,29.22,28.46,29.22,1218430
29.22,29.52,29.18,29.22,1299640
29.22,29.31,28.8,29.27,1150650
29.22,29.31,29.01,29.27,929730
29.22,29.73,29.01,29.14,910580
29.14,29.14,28.25,28.88,1049060
28.88,28.93,28.67,28.88,1011710
28.88,29.18,28.84,28.88,1068090
30.88,30.88,29.73,30.88,3354340
30.88,32.07,30.84,32.07,845370
32.2,32.71,31.05,31.13,938030
31.01,31.13,30.84,30.84,1000630
30.45,30.58,28.71,28.71,2375730
28.8,29.73,28.8,29.22,1155350
29.22,29.35,29.1,29.18,690130
29.14,29.14,28.71,28.71,637610
28.71,28.8,28.2,28.37,563610
28.37,29.44,28.37,29.31,1446360
29.31,29.44,29.18,29.35,532530
29.35,29.44,29.01,29.1,406850
29.1,29.31,28.97,29.1,517550
29.1,29.27,29.05,29.18,560350
29.22,29.52,29.18,29.39,793980
29.39,29.73,29.27,29.52,755190
29.52,30.03,29.52,29.9,427440
30.03,30.16,29.73,29.9,303140
29.9,29.95,29.65,29.9,172000
29.95,30.12,29.86,29.95,499710
29.95,30.12,29.95,30.03,491060
30.07,30.12,29.86,30.03,485270
30.03,30.07,29.9,29.95,302580
29.99,29.99,29.61,29.73,407240
29.73,29.78,29.61,29.61,212430
29.65,29.65,29.27,29.56,376040
29.61,29.95,29.52,29.82,316870
29.82,30.16,29.78,30.07,531930
30.12,31.01,30.07,30.79,294460
30.92,31.64,30.84,31.05,293990
31.01,31.13,30.88,31.01,265790
31.01,31.22,30.92,30.92,457960
30.96,31.13,30.33,30.79,600290
30.79,30.79,29.82,30.03,577350
30.03,30.16,29.78,29.78,633660
29.78,29.78,29.44,29.52,447240
29.56,29.69,29.48,29.52,358060
29.52,29.56,28.93,28.93,338780
28.93,29.31,28.76,29.14,418830
29.14,29.39,28.97,29.31,503660
29.31,29.35,29.18,29.35,536880
29.31,29.35,29.1,29.31,1218300
29.05,29.1,28.67,28.8,931490
28.76,28.84,28.54,28.71,533430
28.71,28.97,28.63,28.8,820250
28.8,28.84,28.59,28.67,606820
28.67,28.93,28.63,28.93,266530
28.88,29.22,28.88,29.22,274610
29.18,29.18,29.05,29.14,129260
29.14,29.14,28.8,28.8,408530
28.8,28.8,28.46,28.54,444160
28.59,28.67,28.46,28.5,688640
28.5,28.67,28.46,28.46,148310
28.46,28.46,27.91,27.99,556900
27.99,28.46,27.91,28.46,825980
28.46,28.97,28.42,28.63,343890
28.63,28.88,28.46,28.88,385120
28.97,29.31,28.97,29.31,999300
29.31,29.48,29.27,29.48,633010
29.48,29.61,29.39,29.61,511210
29.52,29.52,29.18,29.35,964850
