ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
NVL,2015,4,18133289908529,3859710163282,818888056357,6058945996358,7158828473488,236917219044,8437118726515,0,87792452983,1082785523673,1581877669261,1119884733917,186263593828,26570408635044,20475199219618,13354623721526,7120575498092,6095209415426,6095209415426,550370777697,979282422321,26570408635044,283928585866,1267616016535,7201718027433,0,3504657610000,3682957610000,5480587851378,8146870114590,2513142521645,0,160651074570,55643750000,3309216386210,3309363386210,0.0,4368696237591,472073240288,0.0,57163690709,0,4368696237591,-19192626026,4349503611565,-3342618740091,1006884871474,-122454923890,992746135,-91416631466,-176325210071,674844542891,10265035508,-21165576290,-10900540782,663944002109,-170562251165,37879802792,531261553736,59188313448,472073240288,663944002109,81271945354,59155432742,17798236991,-56091012170,213932004726,980010609752,-6024438243392,1603774397078,-1730234152192,-70064597569,-435008801021,18271113479,-74966215032,392986214112,-5339669674785,94770320604,4053369703,-3236402353214,3881501152509,-275410321120,-2589627195,113116649409,579039190696,338689480000,0,2591143214810,843384350920,0,3773217045730,-987413438359,4847123601641,0,3859710163282,0.0,0.0,0.014403517090128413,0.3125580858181665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16993732985338253,0.231494202877949,0.10853496914746619,0.0,0.0,0.0,0.0,739143029937,0.0328407225,0.0,0.0,0.0,0.0,4.359228178083356,35892586350600.0,589369234.0,53.9913052126,4.3841931042,5.3784274831,-9.7121129111,800.9804602185936,13890.8115021856,53.7715362636
NVL,2016,2,25002490481056,3373940292154,136591798449,6632935482540,14504950004631,354072903282,6892220998723,780000000000,88039356925,1472871800861,232524027251,0,2928075623462,31894711479779,22558478652519,14756039537753,7802439114766,9336232827260,9336232827260,1860038604577,1893598437283,31894711479779,1172395806627,1394889408814,14524400855744,0,4521697180000,4699997180000,4607849468539,5923786865174,5316195130401,2773464128249,127135160542,50583750000,1124481270050,1904481270050,0.0,2771820889685,1396394545300,0.0,1355318546072,-132880597750,2771820889685,0,2771820889685,-1971710622747,800110266938,-142855708278,521333251,-73078136841,-165811506185,1774204794957,21332033898,-18876753723,2455280175,1776660075132,-177596135513,-214987697563,1384076242056,-12318303244,1396394545300,1776660075232,68464846593,-8577291500,-6005044533,-1347318698950,172636714269,655860601111,5231164041315,406540214259,-2380102755935,62270172077,-144082579074,-32731090019,0,0,3798918603734,-17513582646,7567746213,-2789702665057,4577313769532,-3049923303350,3000000000,-14712603870,-1283970639178,309020000000,0,-202232276356,-2692832338995,-33000000000,-2619044615351,-104096650795,3478031898417,5044532,3373940292154,0.0,0.0,0.009429858761441987,0.47875550491437296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024736251900386,0.2886587188643807,0.5037823874177857,0.0,0.0,0.0,0.0,561220623912,0.0,0.0,0.0,0.0,-4.2234956300232325,3.416229229700934,0.0,360000000.0,0.0,0.0,0.0,0.0,3878.8737369444443,0.0,0.0
NVL,2016,3,24464171862762,3317908760347,6186675000,6820478332306,13909521617105,410076478004,8016273636259,1170000000000,88380010572,1843267537164,642308576410,0,2679010909939,32480445499021,24862361813597,12225603423089,12636758390508,7618083685424,7618083685424,788626333029,1246861566995,32480445499021,1069139588588,1560708593511,13919125352570,6225719,5041692340000,5219992340000,8577946301829,5569907544663,3472587828858,2495794699821,128259831885,0,1303191257492,2474309745883,0.0,2218562775248,11720072216,0.0,461702482824,-268180013076,2218562775248,-8586360388,2209976414860,-2038106739040,171869675820,-362232270124,1849073328,-26767167526,-228033376610,18388417712,14716058744,-16254942127,-1538883383,16849534329,-41980774404,46949378578,21818138503,10098066287,11720072216,16849534329,62880914831,-19165275436,6913872314,-332576137142,284950013084,19852921980,-2460488684975,729764809520,275053523179,-16936434312,-409142536602,-210876247925,0,0,-2072772649135,-332165561828,6251671142,-1900553253638,267618996396,-1170260672131,1280185244758,106183630807,-1742739944494,-309020000000,0,8846697103109,-4759575077640,-17762743932,3760339281537,-55173312092,3373940292154,-858219715,3317908760347,0.0,0.0,0.011601344146573395,0.39065001578002584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03752568025539476,0.07776991404267443,0.00530325669414099,0.0,0.0,0.0,0.0,-82930868316,0.0,0.0,0.0,0.0,0.3092358276994269,4.2635978863250354,0.0,360000000.0,0.0,0.0,0.0,0.0,32.55575615555556,0.0,0.0
NVL,2016,4,27267744945837,3336969432791,964822616829,6762177825133,15636281555418,567493515666,9124846262027,1170000000000,148768215155,1940783531384,350498434891,0,2466789875204,36392591207864,26349803078956,13627959141611,12721843937345,10042788128908,10042788128908,952887369322,953881974186,36392591207864,882436602406,2143658593511,15641814417970,0,5893692340000,5961992340000,9090293558081,5954806119381,4405269743653,2217606029052,189523509827,0,2770055055507,3941008805597,-0.9578962612215337,183938445190,96361096108,-0.7958768091806845,630325329977,-275542998454,183938445190,-887416113,183051029077,-4687482179,178363546898,-435774197157,9867102479,-26443270867,-169293398930,187045112400,10255151933,-5778759116,4476392817,191521505217,-44539036128,-52603991209,94378477880,-1982618228,96361096108,191521505217,55681001784,1384361544,-82064008,-425709063826,306087456221,128883196932,2819763251363,-1618086134779,-1462454279407,-37058875729,-308349989283,-77913341317,0,0,-555216172220,-57423506874,-505669220,-3784608571829,1455931913600,208288704457,1065100979670,19797502538,-1093418647658,2553423000000,0,3514925318520,-4396802761608,-3876476000,1667669080912,19034261034,3317908760347,26411410,3336969432791,2.1310830086,2.6356599122,0.014813437587792293,0.5149871677755155,0.2332638455,62.2036653678,18.70226424981144,726.5987221429,73.568041953,818.8690283457115,0.5023405476,-0.09490863278180225,0.974392483873837,0.5264165768085681,0.2063024766,0.0329506789,0.052777938,1002324620538.0,-17373122899,0.03003003,2.0177388392,0.2222982922,0.965883103,0.06305049664290535,3.623753756500003,41480397280800.0,622828788.0,23.8468585496,4.368928437,5.6365508237,194.1109900319,154.71522505796568,15244.0125676411,51.5794592876
NVL,2017,1,31343570283811,3209346228643,1000561637904,9884432462871,16764423126619,484806827774,6318563712437,0,270612498268,1943904395213,241634029471,0,2747643059007,37662133996248,26949081556326,14624289614299,12324791942027,10713052439922,10713052439922,1355616327704,1221417326818,37662133996248,1250130452137,3518758593511,16767417771448,0,5893692340000,5961992340000,8216101031574,6469979033611,5212209874256,2374086305577,311557134353,3115200000,814301877750,815255627840,0.0,1931332409706,403351147948,0.0,464513301660,-201824840222,1931332409706,-21445972157,1909886437549,-1451352518821,458533918728,-240511026776,135634596,-35832425204,-83929949244,562909453760,5718684643,-16258642413,-10539957770,552369495990,-134278200777,-9590087604,408501207609,5150059661,403351147948,552369495990,79895925443,-10202519336,137843347,-425163353716,217775655487,414813047215,137317096333,12029193644,194922044158,43205471781,-173938442134,-50809519581,0,-425939394,577112952022,-21877473685,287948296,-388489021075,644150000000,-934888079760,14880614018,82178072537,-603757939669,0,0,3759695480566,-3860672752341,-10000000,-100987271775,-127632259422,3336969432791,9055274,3209346228643,0.0,0.0,0.025260074081180386,0.5493578539594168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17737784698589362,0.24008438916213617,0.21119116823806003,0.0,0.0,0.0,0.0,338771544280,0.0,0.0,0.0,0.0,-1.6785423633055456,3.5155371643566986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVL,2017,2,35408167859009,4712594963976,1013170069469,8992276846230,20030245875398,659880103936,6547852817228,0,274171421074,1901761539916,649529895750,0,2655752739733,41956020676237,29669498308921,16942971784201,12726526524720,12286522367316,12286522367316,1690401520398,1092702061518,41956020676237,1091694148592,3167991193511,20033092002328,0,6228287880000,6296587880000,8772293177711,6905035338336,6348331054221,2312542952652,283401756547,561335240000,659012182099,659965932189,-0.4795795158875029,1442512369283,430955767494,-0.6913796541639928,754283093312,-255696497513,1442512369283,-19127924034,1423384445249,-1072309926637,351074518612,-299051715361,1335176898,-48687995005,-295599781441,463353297015,4627974369,-2665220291,1962754078,465316051093,-100847524141,68199534018,432668060970,1712293476,430955767494,465316051093,230442847155,-148517899,37799109,-769348182826,265274599891,191574596523,789850138811,-1646388112224,1933232185400,15568311909,-266549008549,-138682893311,0,425939394,879031157953,-21675624032,734545454,-258601031565,451010000000,-2829813905760,109440392949,144976297341,-2403929325613,0,0,6364897494707,-3336499432599,-235160000,3028162902108,1503264734448,3209346228643,-15999115,4712594963976,1.9446444401,2.4148003334,0.022314810723279784,0.6300442939288211,0.1542528758,29.2930703148,30.781548767107783,1326.0789958017,116.0675917357,1472.928136304508,0.275247554,0.004768031706861009,0.2466477133312952,0.3027683553325684,0.0927080898,0.0089485527,0.0253856966,674154984444.0,6786742166,0.0327868852,2.0898439961,0.2781445324,0.9076283771,-0.026542178840971226,3.414800333399981,37992556068000.0,622828788.0,36.628987387,3.4312848535,6.6347496935,-29.4567368003,691.9329610274855,17777.5971988785,71.794448536
NVL,2017,3,40410416346203,4452270397492,1003072616829,7613118592223,26541882667547,800072072112,7469159002925,0,271067680229,2591961926829,1040656645654,0,2897490678472,47879575349128,35416291167573,19981870578335,15434420589238,12463284181555,12463284181555,2315985038179,643880357976,47879575349128,1822664815375,3210218184697,26544557431835,0,6228287880000,6296587880000,10661411370669,9443967951296,6246953137355,2518902163941,318764852352,3115200000,261559912466,262513662556,0.09965764334222407,2439659513036,488003508161,40.63826802148776,222982117060,-309507252110,2439659513036,-36221248957,2403438264079,-1552519555488,850918708591,-348440193898,-6153210096,-41859397768,-120440209193,557007814696,4565006018,-3482943795,1082062223,558089876919,-218767987404,163453057973,502774947488,14771439327,488003508161,558089876919,88462813426,-171362642,-1468307881,-203962935401,319415335444,760365419865,1223866837642,-780037379548,-1110042712338,-25014768798,-276245594888,-112464576717,0,0,-319572774782,-952704772026,1592727273,-386500000000,702726861454,-1811820278347,1655908855516,118927867318,-671868738812,85748000000,-405000000000,5345116682982,-4272629206966,-22119501000,731115975016,-260325538578,4712594963976,972094,4452270397492,2.2120795351,2.8416499738,0.021749297880101763,0.6391085164253384,0.1444810195,24.547537115,27.308671482579697,1766.1807068214,129.9027658515,1923.3921441554796,0.2066606201,0.2865141626152314,0.3540422574228562,0.20304391232116936,0.1247028982,0.0346185628,0.0346249006,1471286852985.0,688619101630,0.025,2.0223540228,0.2228154957,0.6940558255,-2.2248884216298177,3.841649973767527,51426303040000.0,642828788.0,33.5621850504,4.2618649631,8.6872274402,81.9012526297,759.1500525035602,18771.1250106129,43.4194032394
NVL,2017,4,40923465853502,6650160994741,512509850676,5998164901016,26886296867411,876333239658,8300996138739,449644400000,326609439362,2944616534199,1042972935246,0,2971362895384,49224461992241,35968071488821,22415696187952,13552375300869,13256390503420,13256390503420,2907218106652,645753611368,49224461992241,1771344474280,625605206171,26893818547663,0,6428287880000,6496587880000,10200873745673,8848256383261,7748878980646,2406227189374,449352171677,0,203803366742,654401516832,31.325431793126054,5945889664123,711171386719,6.380274980703108,254745613557,-438359407275,5945889664123,-50262781827,5895626882296,-4299323073955,1596303808341,-575306566060,16761825195,-131912579053,-176223813880,984368288100,47510950988,-19155638971,28355312017,1012723600117,-356753819197,61729235269,717699016189,6527629470,711171386719,1012723600117,86032142713,4833303955,-3791248976,-65939495755,448694782279,1482553084333,-231984040793,693660736027,-641385089817,-152447950266,-387602471089,-350500058011,0,0,412294210384,-133393271883,5738290118,-432856413073,3120597216829,-791472696462,13225200000,140532881777,1922371207306,201123900000,0,1737616000000,-2029699463839,-45800436000,-136759999839,2197905417851,4452270397492,-14820602,6650160994741,2.1235513893999998,2.7315558846,0.024637886103139345,0.6797784552112047,0.2705381987,48.9336856384,11.357902608754578,935.4626890537,90.5158910953,1037.3364827577545,0.3901812486,0.2184954104331539,0.2707606570447236,0.12062693262604172,0.174523222,0.0744194752,0.0472935535,2807178532221.0,1288167415408,0.0,1.8168244953,0.2934991356,0.6195183796,-2.9386101770136808,3.7132628206404785,52579789572000.0,854955928.0,19.6480810692,3.168278954,4.5201401885,25.7956641725,831.8222769478241,19411.16956314,23.1677048453
NVL,2018,1,42158468449390,5765709949403,114334482780,6695148901795,28598522641785,984752473627,8460711456069,274644400000,371656058859,2950297582481,1409552304213,0,2940276113090,50619179905459,37147829575711,24824107783872,12323721791839,13471350329748,13471350329748,3002392874296,667439050052,50619179905459,1864740850742,672420206171,28605711851139,0,8549559280000,8617859280000,9208042704012,10401233427481,9524124861840,2377954564951,441688200265,0,207549934795,483148084885,-0.0036602124256155896,1924263322822,125869663324,-0.6879402377696292,126312762436,-388141861952,1924263322822,-17216363501,1907046959321,-1356333538150,550713421171,-477969598589,235579368967,-61545696343,-138752220180,234338037462,4048989304,-8390122815,-4341133511,229996903951,-133514104837,31920585393,128403384507,2533721183,125869663324,229996903951,91515944144,-332470898,17217415965,-312817231738,396331820291,421912381715,-245939323914,-178869739566,-169157198563,-18575066199,-421429882402,-245873729761,0,0,-857932558690,-3424339272,264545455,-36193351186,662353719082,-1382624918430,0,132024312352,-627600031999,98209620000,0,4404458256047,-3927073374853,-4620091000,570974410194,-914558180495,6650160994741,107135157,5735709949403,2.0740467426,2.7575431316,0.027588626957335785,0.6908014451145286,0.2452455351,37.4087769531,12.25274252607079,1124.8787273791,83.0783529207,1220.2098228258706,0.3244794226,0.18374770633480608,0.288778112400064,0.06600239323357597,0.1364478624,0.072476205,0.0370309443,2830442511290.0,350415504648,0.0330033003,1.6982873591,0.2322625248,0.546241014,-0.9028026579914087,3.757543131639863,55405727236800.0,914285928.0,29.0309006477,4.0787714079,4.7642412545,447.8848653768,137.66991208028304,14857.4151232787,24.156005494
NVL,2018,2,50630008750611,8840789438874,104352906511,9246326543226,31447674729824,990865132176,8126155668102,0,362817925021,3414304366829,431404428838,0,3396679514518,58756164418713,41289592997732,25403726716267,15885866281465,17466571420981,17466571420981,3635837409310,705279178321,58756164418713,1719714141764,486605206171,31453728725800,0,9074559280000,9142859280000,12795379024940,11278136672701,9406837446380,2830291161328,460391141851,0,207549934795,208503684885,0.6669009347477332,2404525216743,596922458913,0.38511305321215056,777391517087,-325206062421,2404525216743,-21838009254,2382687207489,-1523576910685,859110296804,-450696264025,4851953775,-74731322044,-185455324523,930470857074,9232244677,-3095915911,6136328766,936607185840,-212658748433,-107034577160,616913860247,19991401334,596922458913,936607185840,105701246531,-1135213378,66143230202,-726310070615,338601314582,719607693162,1189152132192,-456340994795,315310647384,-52391815416,-422256858970,-132165221926,0,0,1160915581631,-54045952073,0,-31121107087,1293852083356,-5038170643994,133919017717,98119197537,-3597447404544,3324148227950,-69582000,5599908505987,-3382797719433,0,5541189432504,3104657609591,5735709949403,421879880,8840789438874,0.0,0.0,0.020772131878450964,0.8956735949599128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251364781896058,0.36056360822509104,0.2505248935054585,0.0,0.0,0.0,0.0,598923650237,0.0284900285,0.0,0.0,0.0,-1.8416743088314729,3.363920886507502,64182872145600.0,914285928.0,31.1264222705,3.8292317332,5.0984109405,151.1834291304,652.8837868245085,18332.6591051503,23.513678792
