,ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Net Profit For the Year,Attributable to parent company,Depreciation and Amortisation,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
0,PXL,2013,1,557019570348,682173298,54100000000,420614349473,80767629302,855418275,421699084070,18384424092,0,338887391454,15602268524,978718654418,136919505388,136861519938,57985450,841799149030,841799149030,6318494369,978718654418,2313271133,80767629302,136790459,3938524280,827222120000,827222120000,0,101620000000,15602268524,147882391454,48825000000,48825000000,0.0,58000000,56821475,0.0,4473465879,-2095912500,58000000,0,58000000,0,58000000,-2095912500,-128220086,-2264139018,43194275,18547200,-4920000,13627200,56821475,0,56821475,56821475,0.0,0.0,8456908745.0,0.0,0.0,-54641729401.0,0.0,-2000000000.0,0.0,476511972.0,-56165217429.0,0.0,0.0,0.0,0.0,0.0,-47708308684.0,48390481982.0,682173298.0,0.1207176321,0.162651038,0.021839442476491285,0.47789988902924,0.0297501443,2.0484610468,381.46590578611745,1078.7673616158,3.391067968,1463.6243353699174,0.3383491315,-40.24757075862069,1.0,0.9796806034482759,0.0002613724,23.2613943609,0.0002253579,7270469326.0,-2334359104,0.0,4.0699501992,0.4002744768,3.479808943,1.1137674421045727,1.1626510380127748,247501236000,82500412,1122.3261919356,0.2948050449,8.5016428269,29.2661590024,0.6887417119807838,10176.2166252276,47.9252503625
1,PXL,2013,2,559535600707,2135081934,24400000000,449076873589,83147407496,776237688,405398643326,18321620232,0,323200191454,15051831640,964934244033,138707751950,138707751950,0,826226492083,826226492083,-13243890502,964934244033,1162148933,83147407496,176610438,3938524280,827222120000,827222120000,0,101620000000,15051831640,147882391454,48825000000,48825000000,0.0,16970777950,-15572384871,0.0,4469261165,-2175176671,16970777950,0,16970777950,-16433765000,537012950,-17862376671,-81880846,-2682994191,-15620977593,57985450,-9392728,48592722,-15572384871,0,-15572384871,-15572384871,0.0,0.0,-17664065049.0,0.0,0.0,23678311257.0,0.0,-624588014.0,0.0,563250442.0,23616973685.0,0.0,0.0,-4500000000.0,0.0,-4500000000.0,1452908636.0,682173298.0,2135081934.0,0.1229929092,0.1678810269,0.02217505781714812,0.46905909721395095,0.0257170486,1.7806566569,311.6148874462569,1222.8068927168,3.1888741815,1537.610654344557,0.2984935742,-0.13127636774011295,0.031643390278405,-0.9175999424940917,-0.018376329,17.0583558646,-0.015806347,-6641800767.0,-2227862087,0.0,4.0339173034,0.1913020834,3.4344741841,1.0242212123283663,1.167881026908619,181500906400,82500412,-11.7740930178,0.2202651066,7.2366546549,-10.2751493439,-188.75523762232848,9987.9642009935,-42.3056689478
2,PXL,2013,3,560813617166,564214243,31300000000,444882988938,83463402879,603011106,404793347913,18265508879,0,323200191454,14502647580,965606965079,139335809643,139335809643,0,826271155436,826271155436,-13198866353,965606965079,1162148933,83463402879,192780186,3938524280,827222120000,827222120000,0,101620000000,14502647580,147882391454,48825000000,48825000000,0.0,4743710029,45024149,0.0,4804881742,-2152488333,4743710029,0,4743710029,-4549277996,194432033,-2152488333,-129608304,-2672151355,45065783,1000,-42634,-41634,45024149,0,45024149,45024149,0.0,0.0,15630935100.0,0.0,0.0,-12530323608.0,0.0,0.0,0.0,328520817.0,-12201802791.0,0.0,0.0,-5000000000.0,0.0,-5000000000.0,-1570867691.0,2135081934.0,564214243.0,0.122986261,0.1686320631,0.02210595003690018,0.46908445315719105,0.0306492733,1.6227336192,132.90338846361405,1042.3588027027,2.7691989656,1178.031390131914,0.3501673311,-0.5496389134370506,0.040987335189412354,0.00949133668052036,-0.0184946625,27.138293421,-0.0158718205,-6060889390.0,-2607327626,0.0,4.0249065807,0.2286864685,3.4258975887,1.2113085985307406,1.1686320631263916,288751442000,82500412,-18.7200195748,0.3494632967,9.694219727,18.4730753568,0.5457445351909272,10015.3579285883,-64.3151858867
3,PXL,2013,4,563279094427,723638343,33900000000,329494619323,188341417438,10819419323,409170176276,18213115852,0,326027391454,16104668970,972449270703,132000235180,132000235180,0,840449035523,840449035523,979285810,972449270703,1162148933,188341417438,167770713,3938524280,827222120000,827222120000,12500000,101620000000,16104668970,147882391454,48825000000,48825000000,0.0,2800224022,6820281991,0.0,5218984853,-1519218999,2800224022,0,2800224022,-2564621728,235602294,4346418999,-115130159,-2851476436,6834399551,0,-14117560,-14117560,6820281991,0,6820281991,6820281991,0.0,0.0,2413826926.0,0.0,0.0,-2601870698.0,0.0,0.0,0.0,347467872.0,-2254402826.0,0.0,0.0,0.0,0.0,0.0,159424100.0,564214243.0,723638343.0,0.1209645294,0.1571279899,0.021670696356580654,0.47713341273152027,0.0252306369,1.3404565118,89.04707421504136,2080.160481649,35.0251253561,2204.2326812201413,0.1754672311,-0.975280648813747,0.08413694481191047,2.435620128038456,-0.0068992658,0.0,-0.0059717379,-3854953198.0,-2731004301,0.0,4.2644699405,0.2622998231,2.8376435626,1.7976370113839,1.1570591786066575,379501895200,82500412,-65.2511738822,0.4517444222,15.4440378898,-25.8162268135,82.6696718920628,10182.748859036,-124.6184407909
4,PXL,2014,1,561296382972,850827864,45100000000,321235948377,192763780796,1345825935,408664446975,18164013253,0,326027391454,15648042268,969960829947,129837822533,129837822533,0,840123007414,840123007414,653432185,969960829947,1190421154,192763780796,214427601,3938524280,827222120000,827222120000,261550000,101620000000,15648042268,147882391454,48825000000,48825000000,38.99531218965517,2319728107,42205735,-0.25722211540619105,2686675628,-310401667,2319728107,0,2319728107,-2011386165,308341942,-310401667,-91805583,-2406159625,186650695,0,-144444960,-144444960,42205735,0,42205735,42205735,0.0,0.0,1741939244.0,0.0,0.0,-66410742.0,0.0,0.0,0.0,351661019.0,285250277.0,0.0,0.0,-1900000000.0,0.0,-1900000000.0,127189521.0,723638343.0,850827864.0,0.1209584776,0.154546205,0.021620659228118302,0.47694832250270375,0.0277147198,1.4711005505,133.01687690237034,1955.4359041978,21.6052449062,2110.0580260063703,0.186659148,-0.9439137541130806,0.13292158726255413,0.018194259436112442,-0.01039867,13.1556291282,-0.0089491163,-2287176487.0,-2189623266,0.0666666666,4.3230575807,0.3539094153,2.8384071373,7.054160781939357,1.1545462050047368,371251854000,82500412,-42.8456197997,0.4419017819,13.8349021818,213.1256042819,0.5115821118566051,10183.2583262008,-206.3771767587
5,PXL,2014,2,780597270008,659762528,53090000000,323574412064,401629010347,1644085069,400139541593,15565453594,0,322892391454,12856696545,1180736811601,340545126030,340545126030,0,840191685571,840191685571,722382418,1180736811601,2103847285,401629010347,214526007,3938524280,827222120000,827222120000,50000,101620000000,12856696545,147882391454,48825000000,48825000000,-0.7633120279556778,4016779017,68950233,1.0044277246915727,5324146949,-282277778,4016779017,0,4016779017,-3156312539,860466478,-3417277778,-126161673,-2673474823,-32300847,101251080,0,101251080,68950233,0,68950233,68950233,0.0,0.0,18678305514.0,0.0,0.0,-94815554221.0,75500000000.0,0.0,0.0,411283886.0,-18904270335.0,0.0,0.0,0.0,0.0,0.0,-225964821.0,850827864.0,624863043.0,0.1209485903,0.4053183718,0.018526074301034784,0.476987311950064,0.0135791408,0.7908171757,145.854128759634,6435.6877086557,51.5436016483,6633.085439063633,0.0567149955,-0.4827674138390372,0.21421802751863958,0.01716555297370993,0.0083374835,13.7403237562,0.0068250252,11447015523.0,-1939170018,0.0638297872,2.2921992133,0.1578344789,1.1128283175,6.869722553930547,1.40531837184102,387751936400,82500412,55.580024717,0.4615041341,27.9351305561,0.0,0.8357562262840579,10184.0907845527,42.6934140947
6,PXL,2014,3,785929118779,806211405,53819000000,315365781432,413796725148,2141400794,397561669827,15516893934,0,320897391454,12322384439,1183490788606,343164936264,343164936264,0,840325852342,840325852342,856821265,1183490788606,2207158183,413796725148,248502263,3938524280,827222120000,827222120000,0,101620000000,12322384439,147882391454,48825000000,48825000000,0.4568762436469744,6910998448,134438847,1.985927551901092,3758415721,-259695556,6910998448,0,6910998448,-5942072698,968925750,-2254695556,-48040935,-2185405633,239199347,280274,-105040774,-104760500,134438847,0,134438847,134438847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1209292796,0.4083712708,0.01846532971793525,0.47706348010139343,0.0149051122,0.9515478266,58.33310986997705,7984.5187033006,51.1760568985,8094.027870069077,0.0457134629,-0.18297223295802426,0.14020054515862337,0.019452883401949797,0.0084090312,11.6962313253,0.006562778,9636085751.0,-1264520818,0.075,2.2902372466,0.1591806319,1.0844126374,4.869243191824199,1.408371270867836,330067648000,82516912,46.7038260634,0.3927853071,20.5678719887,0.0,1.6292277999932911,10183.6803144306,44.7154008099
7,PXL,2014,4,788123037701,587979562,48444000000,318688074723,418139494967,2263488449,394175427637,15470004729,0,318117913303,11762509605,1182298465338,343250878550,343250878550,0,839047586788,839047586788,-486427146,1182298465338,4008660949,418139494967,325167971,3938524280,827222120000,827222120000,52700000,101620000000,11762509605,147882391454,48825000000,48825000000,0.31101951135250994,3671148329,-1343248411,-1.196949101631361,3646263984,-259695556,3671148329,0,3671148329,-2662077969,1009070360,-3039173707,-44978410,-2875080888,-1303898661,44450250,-83800000,-39349750,-1343248411,0,-1343248411,-1343248411,0.0,0.0,-5593648100.0,0.0,0.0,-3033230171.0,8300000000.0,0.0,0.0,108646428.0,5375416257.0,0.0,0.0,0.0,0.0,0.0,-218231843.0,806211405.0,587979562.0,0.1213682373,0.4081522557,0.018437577287149468,0.47633779278380656,0.0143613609,1.0045775812,34.76994835566035,10733.3077459194,68.8111981327,10836.88889240776,0.0340062922,-0.5205425569172092,0.27486504754627145,-0.36589325481324075,-0.0052155354,0.0,-0.0037096709,-3065061439.0,-1910988938,0.09375,2.2917632663,0.099611775,1.0509819527,7.358573891037242,1.4090958414695116,264074918400,82523412,-60.4132163029,0.3161534834,15.6085064417,28.7972833646,-16.277179753546786,10121.666113498,-119.1117138014
8,PXL,2015,1,783188138043,610197494,33431172222,321801294436,424025125538,3320348353,395838890614,15423115524,0,310869765832,20721009258,1179027028657,341740418623,341740418623,0,837286610034,837286610034,-2268543179,1179027028657,4451258269,424025125538,199699386,12264138227,827222120000,827222120000,33500000,101620000000,20721009258,143882391454,48825000000,48825000000,0.009065471913083992,2340757537,1490473490,34.31447775995371,3350316293,-254050000,2340757537,0,2340757537,-1181509090,1159248447,-254050000,-56477273,-2702516375,1496521092,121352398,-127400000,-6047602,1490473490,0,1490473490,1490473490,46889205.0,0.0,-14923069777.0,0.0,0.0,-38179683534.0,52744000000.0,0.0,0.0,380971243.0,14945287709.0,0.0,0.0,0.0,0.0,0.0,22217932.0,587979562.0,610197494.0,0.0,0.0,0.018420353722572617,0.47533806429003295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6834305457584008,0.4952449917071441,0.636748345969333,0.0,0.0,0.0,0.0,-1599745201,0.0,0.0,0.0,0.0,6.296969891753592,1.4081522557838622,280579600800,82523412,800.0742949967,0.3359130762,16.563450173,-152.5867545952,18.061219887515072,10121.666113498,262.5815853395
9,PXL,2015,2,677286770279,486111080,39096844444,215827486711,419420766607,2455561437,500609543323,15382059633,0,311048624039,20433859651,1177896313602,348545025288,348545025288,0,829351288314,829351288314,-10203562715,1177896313602,2852726081,419420766607,285608880,3938524280,827222120000,827222120000,4444000000,101620000000,20433859651,147882391454,160493396111,153745000000,2.2088787803483987,12889356953,-7935019536,-116.08328820295647,2635497370,-256872778,12889356953,0,12889356953,-11470860991,1418495962,-4078014571,-144488635,-7778071539,-7946581413,88536877,-76975000,11561877,-7935019536,0,-7935019536,-7935019536,41055891.0,0.0,5247047675.0,0.0,0.0,-2867160910.0,-2350000000.0,0.0,0.0,-111380279.0,-5328541189.0,0.0,0.0,0.0,-42592900.0,-42592900.0,-124086414.0,610197494.0,486111080.0,0.1225295016,0.4202622341,0.01854709801472716,0.47083308305576926,0.0218622334,1.6709108254,15.289760656735284,7192.080941003,16.9057370245,7224.276438684235,0.0507502631,-0.5046073466439439,0.11005172462617267,-0.6156257108042247,-0.0091492285,0.0,-0.0064821693,-6535096624.0,-6504064212,0.0,1.9431830069,0.1135662616,0.7398355591,25.320177025531294,1.420262234108977,214612871200,82543412,-28.0321619212,0.2593325099,8.3143769924,-14.9898989063,-96.13147001967886,10025.7387739341,-48.315545781
