Date,Open,High,Low,Close,Volume
2015-08-19,9.97,10.3,9.97,10.3,962690
2015-08-20,10.15,10.3,10.08,10.08,565240
2015-08-21,9.97,10.01,9.67,9.97,1561880
2015-08-24,9.67,9.78,9.3,9.3,2150680
2015-08-25,8.93,9.34,8.93,9.23,1336850
2015-08-26,9.16,9.6,9.16,9.41,906270
2015-08-27,9.56,9.67,9.49,9.53,1198110
2015-08-28,9.56,9.67,9.53,9.67,777300
2015-08-31,9.67,9.67,9.45,9.45,642750
2015-09-01,9.53,9.53,9.34,9.41,304270
2015-09-03,9.3,9.41,9.27,9.3,409380
2015-09-04,9.27,9.38,9.27,9.27,219240
2015-09-07,9.34,9.38,9.23,9.23,177410
2015-09-08,9.23,9.38,9.23,9.34,211580
2015-09-09,9.41,9.49,9.38,9.41,294330
2015-09-10,9.38,9.41,9.3,9.38,254450
2015-09-11,9.34,9.41,9.34,9.34,183140
2015-09-14,9.38,9.38,9.19,9.19,255330
2015-09-15,9.16,9.19,9.08,9.12,315350
2015-09-16,9.16,9.23,9.12,9.23,144270
2015-09-17,9.19,9.27,9.16,9.23,119120
2015-09-18,9.41,9.41,9.27,9.34,269530
2015-09-21,9.34,9.38,8.97,9.38,197750
2015-09-22,9.38,9.64,9.38,9.53,597000
2015-09-23,9.49,9.56,9.45,9.45,316230
2015-09-24,9.49,9.6,9.49,9.49,257370
2015-09-25,9.53,9.53,9.41,9.45,280790
2015-09-28,9.41,9.45,9.34,9.38,132770
2015-09-29,9.3,9.34,9.23,9.3,328830
2015-09-30,9.3,9.38,9.27,9.27,257050
2015-10-01,9.3,9.3,9.23,9.27,190560
2015-10-02,9.3,9.3,9.23,9.23,188810
2015-10-05,9.23,9.41,9.23,9.38,234420
2015-10-06,9.53,9.6,9.45,9.53,763910
2015-10-07,9.6,9.6,9.41,9.41,258810
2015-10-08,9.41,9.6,9.41,9.6,512820
2015-10-09,9.6,9.6,9.49,9.56,512360
2015-10-12,9.56,9.56,9.49,9.53,321510
2015-10-13,9.49,9.49,9.45,9.45,228620
2015-10-14,9.41,9.49,9.38,9.38,432110
2015-10-15,9.38,9.53,9.38,9.49,660270
2015-10-16,9.49,9.67,9.49,9.64,1242650
2015-10-19,9.67,9.89,9.6,9.82,1139580
2015-10-20,9.82,9.86,9.67,9.71,792650
2015-10-21,9.71,9.78,9.6,9.6,824350
2015-10-22,9.6,9.75,9.6,9.67,390240
2015-10-23,9.67,9.75,9.67,9.71,346550
2015-10-26,9.71,9.75,9.64,9.64,391700
2015-10-27,9.64,9.86,9.6,9.86,571070
2015-10-28,9.86,10.12,9.82,9.97,1554890
2015-10-29,9.97,10.08,9.93,9.97,447940
2015-10-30,9.97,10.01,9.89,9.89,336450
2015-11-02,9.89,9.93,9.67,9.67,750650
2015-11-03,9.67,9.82,9.67,9.82,368240
2015-11-04,9.82,9.89,9.75,9.75,362220
2015-11-05,9.71,9.78,9.71,9.75,193430
2015-11-06,9.75,9.75,9.6,9.64,560250
2015-11-09,9.67,9.67,9.56,9.56,366010
2015-11-10,9.56,9.56,9.49,9.53,329170
2015-11-11,9.53,9.53,9.41,9.45,321550
2015-11-12,9.38,9.41,9.27,9.38,662480
2015-11-13,9.38,9.38,9.3,9.34,668960
2015-11-16,9.34,9.38,9.23,9.27,444210
2015-11-17,9.3,9.38,9.23,9.34,918000
2015-11-18,9.34,9.38,9.3,9.34,602630
2015-11-19,9.34,9.38,9.3,9.38,488010
2015-11-20,9.34,9.41,9.34,9.34,262680
2015-11-23,9.3,9.41,9.3,9.34,307770
2015-11-24,9.34,9.41,9.34,9.38,523860
2015-11-25,9.34,9.41,9.34,9.41,272460
2015-11-26,9.41,9.56,9.38,9.49,422250
2015-11-27,9.45,9.53,9.38,9.38,217410
2015-11-30,9.41,9.41,9.34,9.38,653340
2015-12-01,9.38,9.41,9.34,9.38,278310
2015-12-02,9.38,9.49,9.38,9.41,253300
2015-12-03,9.41,9.45,9.38,9.41,81280
2015-12-04,9.41,9.41,9.3,9.38,306260
2015-12-07,9.38,9.38,9.27,9.27,73920
2015-12-08,9.23,9.34,9.19,9.3,129630
2015-12-09,9.27,9.34,9.23,9.23,111970
2015-12-10,9.23,9.27,9.23,9.23,460540
2015-12-11,9.23,9.3,9.23,9.23,79180
2015-12-14,9.27,9.27,9.19,9.23,104240
2015-12-15,9.23,9.34,9.23,9.34,233680
2015-12-16,9.34,9.53,9.3,9.49,236410
2015-12-17,9.53,9.64,9.53,9.53,288440
2015-12-18,9.53,9.78,9.49,9.64,756580
2015-12-21,9.67,9.71,9.56,9.56,532660
2015-12-22,9.53,9.53,9.34,9.38,376770
2015-12-23,9.34,9.38,9.3,9.34,236730
2015-12-24,9.34,9.38,9.34,9.34,147140
2015-12-25,9.34,9.41,9.34,9.38,112090
2015-12-28,9.38,9.38,9.3,9.34,248050
2015-12-29,9.34,9.41,9.3,9.34,234920
2015-12-30,9.34,9.38,9.27,9.27,259380
2015-12-31,9.27,9.38,9.27,9.3,150510
2016-01-04,9.3,9.34,9.23,9.27,195650
2016-01-05,9.23,9.27,9.08,9.12,247280
2016-01-06,9.12,9.19,9.08,9.16,256010
2016-01-07,9.16,9.16,9.01,9.08,430010
2016-01-08,9.05,9.05,8.93,8.93,388170
2016-01-11,8.93,9.08,8.93,8.93,206890
2016-01-12,9.01,9.19,8.97,9.19,252660
2016-01-13,9.27,9.41,9.23,9.3,662530
2016-01-14,9.19,9.3,9.16,9.27,283560
2016-01-15,9.3,9.3,9.12,9.12,74090
2016-01-18,8.93,8.93,8.68,8.71,830590
2016-01-19,8.71,8.86,8.71,8.86,273900
2016-01-20,8.79,8.93,8.79,8.79,157410
2016-01-21,8.79,8.82,8.64,8.64,307370
2016-01-22,8.68,8.75,8.53,8.75,275220
2016-01-25,8.75,9.12,8.75,9.05,302020
2016-01-26,9.05,9.19,8.86,9.12,254160
2016-01-27,9.19,9.23,9.16,9.16,176280
2016-01-28,9.19,9.19,9.08,9.08,114830
2016-01-29,9.08,9.38,9.08,9.34,426980
2016-02-01,9.38,9.38,9.23,9.3,200910
2016-02-02,9.3,9.41,9.3,9.38,298450
2016-02-03,9.34,9.34,9.27,9.34,203110
2016-02-04,9.3,9.41,9.3,9.34,116290
2016-02-05,9.41,9.49,9.34,9.41,410290
2016-02-15,9.53,9.53,9.41,9.53,337840
2016-02-16,9.53,9.6,9.45,9.45,336090
2016-02-17,9.53,9.6,9.49,9.56,424410
2016-02-18,9.56,9.56,9.49,9.56,365810
2016-02-19,9.56,9.56,9.45,9.45,302490
2016-02-22,9.45,9.56,9.45,9.49,200250
2016-02-23,9.56,9.56,9.45,9.49,397400
2016-02-24,9.49,9.56,9.45,9.56,362930
2016-02-25,9.53,9.56,9.45,9.49,402420
2016-02-26,9.68,9.68,9.49,9.49,360860
2016-02-29,9.49,9.49,9.37,9.41,108760
2016-03-01,9.37,10.06,9.33,9.99,2559430
2016-03-02,10.06,10.14,9.8,9.83,1187640
2016-03-03,9.91,9.91,9.6,9.6,536880
2016-03-04,9.6,9.8,9.53,9.72,1266960
2016-03-07,9.72,9.76,9.64,9.64,633480
2016-03-08,9.64,9.68,9.57,9.57,609400
2016-03-09,9.57,9.57,9.45,9.49,588470
2016-03-10,9.57,9.57,9.45,9.49,351840
2016-03-11,9.49,9.64,9.49,9.53,822890
2016-03-14,9.57,9.57,9.49,9.57,326330
2016-03-15,9.57,9.57,9.45,9.45,309580
2016-03-16,9.45,9.53,9.41,9.49,303630
2016-03-17,9.6,9.68,9.57,9.6,679050
2016-03-18,9.6,9.6,9.57,9.57,197020
2016-03-21,9.57,9.6,9.49,9.49,201410
2016-03-22,9.49,9.49,9.41,9.45,109230
2016-03-23,9.53,9.53,9.45,9.49,308270
2016-03-24,9.49,9.57,9.49,9.49,368810
2016-03-25,9.49,9.53,9.41,9.41,314270
2016-03-28,9.41,9.41,9.37,9.37,203570
2016-03-29,9.37,9.53,9.33,9.37,269020
2016-03-30,9.37,9.49,9.37,9.45,132490
2016-03-31,9.53,9.53,9.37,9.37,264010
2016-04-01,9.37,9.37,9.22,9.26,232340
2016-04-04,9.22,9.3,9.14,9.18,160070
2016-04-05,9.18,9.22,9.1,9.14,170040
2016-04-06,9.14,9.18,9.1,9.18,77480
2016-04-07,9.26,9.26,9.14,9.18,91700
2016-04-08,9.22,9.22,9.1,9.1,153610
2016-04-11,9.1,9.18,9.1,9.14,234460
