Open,High,Low,Close,Volume
9.75,11.41,9.51,11.41,2566650
11.53,12.21,11.45,12.21,1260740
12.37,12.76,12.29,12.52,643090
11.89,11.89,11.65,11.65,646450
10.86,10.86,10.86,10.86,522310
10.11,10.11,10.11,10.11,443330
9.43,10.07,9.43,9.99,1432860
10.07,10.31,9.95,9.99,507270
9.95,10.07,9.79,9.83,246780
9.75,9.91,9.59,9.63,408080
9.59,9.75,9.55,9.59,210900
9.55,9.67,9.51,9.59,274450
9.67,9.71,9.51,9.59,192340
9.51,9.67,9.47,9.47,482240
9.47,9.51,9.39,9.47,185500
9.59,9.67,9.47,9.59,206790
9.63,9.63,9.47,9.55,276930
9.47,9.63,9.43,9.47,176650
9.59,9.99,9.47,9.99,826360
10.03,10.38,9.91,10.38,617570
10.31,10.62,10.31,10.5,520330
10.46,10.7,10.46,10.66,1334250
10.58,10.7,10.54,10.58,320920
10.62,10.7,10.5,10.54,203270
10.5,10.54,10.42,10.5,265600
10.31,10.58,10.31,10.54,462910
10.54,10.7,10.46,10.58,170320
10.58,10.7,10.54,10.58,211640
10.62,11.1,10.58,11.06,839670
11.1,11.34,11.02,11.34,593910
11.41,11.45,11.26,11.26,287470
11.18,11.26,11.1,11.18,169370
11.18,11.18,11.18,11.18,0
11.18,11.18,11.18,11.18,0
11.18,11.3,11.14,11.18,169940
11.22,11.3,11.18,11.26,284450
11.26,11.3,11.22,11.26,235090
11.3,11.38,11.3,11.34,140490
11.38,12.13,11.34,12.13,2194850
12.17,12.48,12.13,12.41,760650
12.45,12.6,12.45,12.45,464150
11.89,12.45,11.73,11.85,233270
11.61,11.81,11.38,11.57,197700
11.57,11.77,11.57,11.73,319310
11.77,12.01,11.77,12.01,1084100
12.05,12.09,11.89,11.93,168500
11.97,11.97,11.81,11.85,403360
11.77,11.81,11.69,11.69,290890
11.61,11.77,11.57,11.69,192270
11.77,11.89,11.69,11.89,312170
11.89,12.13,11.89,12.09,236920
12.17,12.41,12.13,12.29,620650
12.33,12.33,12.13,12.17,182160
12.05,12.17,11.97,12.13,202590
12.09,12.17,12.05,12.09,108210
11.97,12.05,11.89,11.97,154960
11.97,12.8,11.97,12.8,1374000
12.84,13.59,12.72,13.4,980110
13.44,14.31,13.36,14.31,1265920
14.31,15.3,13.32,15.3,1473520
15.34,16.37,15.34,16.33,1512470
16.45,17.44,16.37,17.44,1249580
17.56,18.63,17.48,18.63,2007600
18.75,19.9,17.36,19.9,1860630
20.09,21.28,18.51,18.51,1639990
18.51,18.51,17.24,17.24,452380
16.05,16.05,16.05,16.05,499250
14.94,14.94,14.94,14.94,940
14.94,14.94,13.91,13.91,14970
12.96,12.96,12.96,12.96,512700
12.09,12.8,12.09,12.76,1682890
12.8,13.56,11.89,13.52,1503250
13.52,13.67,12.6,13.16,834600
13.16,13.16,12.25,12.25,890440
11.41,13.08,11.41,13.08,1875500
13.08,13.48,12.17,12.92,1279240
12.76,12.76,12.05,12.05,517340
11.22,11.73,11.22,11.22,826130
10.46,10.58,10.46,10.46,368930
9.75,11.1,9.75,11.02,1629530
11.06,11.18,10.27,10.42,848960
9.71,10.42,9.71,9.71,350110
