ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
TLD,2017,3,152549094237,5297627176,0,94367254541,52275102745,609109775,123492289558,106865549440,9003027914,7623712204,276041383795,82619949912,67913727306,14706222606,193421433883,193421433883,9309045393,4103388490,276041383795,23276777853,20030000000,52275102745,9000000,180000000000,180000000000,14706222606,6460995000,19005004365,340546680,7283165524,0.0,52000853956,4172211415,0.0,902896924,-379999283,52000853956,0,52000853956,-45653630538,6347223418,-553342948,3027914,0,-1428231143,5271574165,11197835,-44860894,-33663059,5237911106,-1054575884,0,4183335222,11123807,4172211415,5225212698,3972223110,0,0,-893226430,553342948,8857552326,-30780185312,-10844318029,43994805970,-7614448636,-553342948,-1112298537,-46895072,1900869762,0,0,0,0,0,0,902896924,902896924,0,3254043686,-6873978731,0,-3619935045,-816168359,6113795535,0,5297627176,0.0,0.0,0.5525010713375366,0.24880120933702263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09459445183654398,0.12205998431046228,0.08023351729050979,0.0,0.0,0.0,0.0,4918992275,0.0,0.0,0.0,0.0,-12.944740937840137,1.4271499194963913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLD,2017,4,174100968917,30106834422,0,85586303668,57055905995,1351924832,123164181399,106636885933,9040221531,7487073935,297265150316,95578871853,81891856118,13687015735,201686278463,201686278463,17538981710,4138296753,297265150316,26385633152,0,57055905995,9000000,180000000000,180000000000,13687015735,21797557000,18806172295,331342715,7155731220,0.0,52140429356,8329675126,0.0,60912443,-35158869,52140429356,0,52140429356,-41779370298,10361059058,-35158869,37193617,0,-1049197281,9374808968,235177428,-135627272,99550156,9474359124,-1144680127,0,8329678997,3871,8329675126,8990153602,-2627839679,0,0,399087557,35158869,6796560349,-17353953602,-4780803250,40454048484,137428552,-35158869,-9826861,0,25208294803,0,0,0,0,0,0,-399087557,-399087557,0,0,0,0,0,24809207246,5297627176,0,30106834422,0.2110946536,0.4660358208,0.5287265288727259,0.2594324164644105,0.7400906421,2.7971734713,91.40852969421759,98.889084673,74.8415309183,265.1391452855176,3.6910039284,0.1785919658125801,0.1987144944138768,0.15975463242021562,0.1108221834,0.0868402549,0.0736147752,28574114870.0,9311861777,0.0,1.9776079772,0.2811359771,1.2953433516,-264.85100464977984,1.4738987331284128,137700000000.0,18000000.0,8.4027804757,0.7007384287,0.8358014012,-6.1463681974,462.75972922222223,10917.0550469444,5.6618643994
TLD,2018,1,146448060970,7195686138,0,79329853888,59612676611,309844333,126463582995,103789986099,9054947748,7025719148,272911643965,64094439547,54237128701,9857310846,208817204418,208817204418,24614474364,4193730054,272911643965,20563184239,0,59612676611,9000000,180000000000,180000000000,9857310846,6482214526,21421139019,0,7025719148,0.0,50302716122,8116483519,0.0,93249433,-461752071,50302716122,0,50302716122,-40009680459,10293035663,-461752071,7222337,0,-971725897,8960029465,0,-64794171,-64794171,8895235294,-701297034,0,8193938260,77454741,8116483519,8895235294,2217389530,0,0,-93249433,461752071,11481127462,5168307491,-2547846584,-27325603044,140006320,-461752071,-1571367139,0,-15117127565,-80000000,0,0,0,0,0,93249433,13249433,0,13070055000,-14284793165,0,-1214738165,-16318616297,23514302435,0,7195686138,0.0,0.0,0.4970375232647896,0.26860504519370615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18530430331819212,0.2046218665019227,0.16135278857139562,0.0,0.0,0.0,0.0,9321309766,0.0,0.0,0.0,0.0,-20.186828281707914,1.3069404157844144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLD,2018,2,166335088567,8611960813,0,87637207738,69913210996,172709020,126835445157,101848239607,9030975091,6957431459,293170533724,79280051902,71456205490,7823846412,213890481822,213890481822,29624398549,4257083273,293170533724,14695951468,3800000000,69913210996,9000000,180000000000,180000000000,7823846412,1452675000,23223704889,0,6957431459,0.0,60226069284,5009924185,0.0,126785581,-1206416795,60226069284,0,60226069284,-52522063747,7704005537,-1206416795,-23972657,0,-1219615312,5380786354,3308775,-69046488,-65737713,5315048641,-241771237,0,5073277404,63353219,5009924185,5315048641,2192246492,0,0,-110035261,1206416795,8603676667,-4346075559,-10300534385,16671436993,44146613,-1206416795,-1489476876,0,7976756658,-2656369000,0,-3800000000,0,0,0,126785581,-6329583419,0,6909000000,-7139898564,0,-230898564,1416274675,7195686138,0,8611960813,0.0,0.0,0.47617004150637365,0.27513088634831634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10766749851168986,0.12791811965465077,0.08318530902914105,0.0,0.0,0.0,0.0,6484390225,0.0,0.0,0.0,0.0,-5.37491707001642,1.370657222456383,135718463000.0,18719788.0,5.2956494764,0.6474085901,0.6322188455,7.5115693303,267.6271860023201,11198.4921276352,4.9705296337
TLD,2018,3,195230008486,2273598821,0,120371414444,72205204504,379790717,126173952495,101160591073,9013188920,6837916019,321403960981,109056010245,98008197088,11047813157,212347950736,212347950736,20853215747,4287854989,321403960981,32290347507,0,72205204504,9000000,187197880000,187197880000,11047813157,14514964351,21438945000,0,6837916019,-0.15731796044968782,43820185670,5609946879,0.34459794123352205,934282459,-1175800566,43820185670,0,43820185670,-36377886660,7442299010,-1578769791,13188920,0,-971967085,5839033513,132946500,-54918905,78027595,5917061108,-234569230,0,5682491878,72544999,5609946879,5920622508,2269921261,0,0,-951032779,1578769791,8818280781,-36679889101,-2291993508,18517301049,19958463,-1578769791,17760800,0,-13177351307,1505500000,0,3800000000,0,0,0,934282459,6239782459,0,22100000000,-14660793144,-6840000000,599206856,-6338361992,8611960813,0,2273598821,0.2050152646,0.5135722283,0.4763907102582174,0.273146702941482,0.6971569556,1.997789732,104.58374624674944,138.3470136689,74.5427253515,317.47348526714944,2.6382933055,0.14765642422710437,0.16983723131723555,0.12802197875762675,0.1293877083,0.1290172208,0.091381305,35639611297.0,6470331925,0.0,1.9919763274,0.0231980476,1.2552501488,-5.502916151003111,1.513572228349795,131038516000.0,18719788.0,4.8414384159,0.6298108992,0.6346016586,26.7941051105,299.68004333168733,11114.4472227463,4.6448186246
TLD,2018,4,169763903421,6627801417,0,75806559006,81042884968,6286658030,177566754638,98919874623,9013188920,6728873878,347330658059,132827375942,96286928096,36540447846,214503282117,214503282117,23243660039,4052742078,347330658059,26186422861,0,81042884968,9000000,187197880000,187197880000,36540447846,1653301350,22553945000,0,6728873878,1.8692288790058578,149602825672,2279165751,-0.726379994834867,2088363897,-3278137490,149602825672,0,149602825672,-143351856494,6250969178,-3278137490,16750320,0,-1947194388,3130751517,39630,-445499446,-445459816,2685291701,-398780925,0,2286510776,7345025,2279165751,2681730301,2240716450,0,0,-2088363897,3278137490,6112220344,41227240982,-8837680464,-68803579658,43829194,-3278137490,-805688898,0,-34341795990,0,0,0,0,0,0,2088363897,2088363897,0,45459980000,-8852345311,0,36607634689,4354202596,2273598821,0,6627801417,0.4063368837,0.6304501789,0.46115786036805034,0.27591914156604114,0.9593342179,3.0076406385,53.925402893498664,92.1923298265,60.6326868484,206.75041956839866,3.9591146106,0.028768004686194268,0.04178376410954346,0.015234777423235354,0.0973865664,0.0947510702,0.0627950061,34693500917.0,4303774790,0.1034482759,1.590397338,0.0630921588,0.8216567096,-1.3128719594979525,1.619232370857383,108574770400.0,18719788.0,5.379872138,0.5182847282,0.3521495404,5.7918070058,121.75168602336736,11190.7599901772,4.1239938589
TLD,2019,1,190035636945,4526869615,0,88139778306,90521960509,6847028515,181873855800,112891717447,9005266991,6709790115,371909492745,156286477189,122604001235,33682475954,215623015556,215623015556,23666811944,4340953396,371909492745,36115436524,0,90521960509,417370216,187197880000,187197880000,33682475954,3869004850,24086001750,0,6709790115,0.262308058793454,63497523940,2722885859,-0.6645239465310371,1100297893,-1773261576,63497523940,0,63497523940,-58826603214,4670920726,-1773261576,5266991,0,-1163025768,2840198266,0,-53419057,-53419057,2786779209,-29309173,0,2757470036,34584177,2722885859,2786779209,2568043704,0,0,-1100297893,1773261576,6027786596,-13128175675,-7525652320,17154626222,-3661244,-1773261576,-400000000,0,351662003,-3466041229,0,0,0,0,0,1100297893,-2365743336,0,17292676802,-17563407271,0,-270730469,-2284811802,6811681417,0,4526869615,0.4241242681,0.7248135213,0.5235606095012645,0.2773594733233107,0.951096483,3.0581580575,66.56525040191039,98.3363814336,61.3539038499,226.2555356854104,3.7117493513,0.05524459443985053,0.07356067506527719,0.04288176435939307,0.0729685477,0.0759584421,0.0468488563,30037319805.0,3507894958,0.1142857143,1.5499953919,0.0369226907,0.8116674451,-1.978216302364632,1.7248135213488398,98278887000.0,18719788.0,6.2910877906,0.4651549024,0.3098847208,-2.5077075732,145.45495168000835,11286.5627623561,5.1889266252
TLD,2019,2,222038715020,24387855544,0,87476003212,101868371869,8306484395,189933507913,114709336088,8941237477,6598493648,411972222933,194856545361,163711971380,31144573981,217115677572,217115677572,25074889949,4425537407,411972222933,28051752304,0,101868371869,417370216,187197880000,187197880000,31144573981,24849478850,59633101899,0,6598493648,0.5534659391569401,93559147282,1295340163,-0.7414451566196705,-1068098026,37560373,93559147282,0,93559147282,-89314378864,4244768418,37560373,-46158074,0,-1456598895,1711473796,1685612,-173343017,-171657405,1539816391,-206645399,0,1333170992,37830829,1295340163,1539816391,2520818559,0,0,1108989109,-37560373,5132063686,-830041070,-11346411360,11731919005,197267786,37560373,-230175988,0,4692182432,-14772296653,0,0,0,0,0,-1068098026,-15840394679,0,45162266795,-14153068619,0,31009198176,19860985929,4526869615,0,24387855544,0.5615543346,0.8974780059,0.5283328102824819,0.2792795093154794,0.9650991089,3.2779502205,58.09564574064385,96.1949438197,55.3591456182,209.64973517854384,3.7943782231,0.029801142956081866,0.04536989210906006,0.013845147167659283,0.0554093913,0.0554418308,0.0327886679,26669671170.0,2788169523,0.1318681319,1.3562765945,0.1489680647,0.7340351603,74.23167823706117,1.8974780059186724,85175035400.0,18719788.0,7.1531546964,0.4004653687,0.2430241741,-2.0052837687,69.19630516114819,11361.7814563391,5.8489807448
TLD,2019,3,268024233566,4558166770,0,146213258589,108896511007,8356297200,151764785457,76318289784,9005266991,3300516038,419789019023,200348079186,170007309186,30340770000,219440939837,219440939837,27431792095,4393897526,419789019023,55418803657,0,108896511007,417370216,187197880000,187197880000,30340770000,2376390350,45057787316,0,3300516038,0.9240912926282451,84314037689,2803579721,-0.500248437022678,217572319,-1285227482,84314037689,0,84314037689,-78527124285,5786913404,-1285227482,5266991,0,-1982632014,2741893218,239688096,-56423244,183264852,2925158070,-95002783,0,2830155287,26575566,2803579721,2925158070,1777680624,0,0,-258463402,1285227482,5729602774,-58607472201,-7028139138,61200545870,3324718175,-1285227482,-112870527,0,3221157471,-1889300000,0,0,0,0,0,217572319,-1671727681,0,20300372790,-41679491354,0,-21379118564,-19829688774,24387855544,0,4558166770,0.4818577946,0.9129931695,0.34778510263713314,0.2822705328641296,1.00831253,3.8821794619,54.173826580944976,94.2856905418,57.1878415675,205.64735869024497,3.8712130961,0.045120379645824084,0.06863523041495838,0.033251636356703244,0.0420036963,0.0488541081,0.0234712142,23511379998.0,3804281390,0.1372997712,1.5765453547,0.0268115929,0.9360051831,-2.9600062582539763,1.9129931695280649,81805473560.0,18719788.0,8.9886528723,0.380407341,0.2092353224,-3.1370985749,149.76557004812233,11487.6857745932,6.679308558
TLD,2019,4,319599738652,33381963634,11384000000,129683016922,132056879085,13093879011,182613860182,82254068323,8984005623,3259907123,502213598834,275102984720,250312389044,24790595676,227110614114,227110614114,35448352103,4455382011,502213598834,45192092646,0,132056879085,9000000,187197880000,187197880000,24790595676,71706779200,65275524544,0,3259907123,-0.3554020299561177,96433677741,6344771784,1.7838132357052956,-202351843,-1707688400,96433677741,0,96433677741,-87709681333,8723996408,-1707688400,37501155,0,-1466061206,5385396114,1187696862,-137780616,1049916246,6435312360,-87271537,0,6348040823,3269039,6344771784,6435312360,2924478335,0,0,-1225010810,1707688400,9842468285,6444308350,-23160368078,20550497232,-197130482,-1707688400,-43282691,0,11728804216,-39114218413,47128000000,-11384000000,0,0,0,-202351843,-3572570256,0,38228382380,-17560819476,0,20667562904,28823796864,4558166770,0,33381963634,0.5047039989000001,1.0727228276,0.3621762401721652,0.2921361625259019,0.8239419489,3.7254704535,64.95869815639313,124.5858670013,78.6161228297,268.1606879873931,2.9297063045,0.07526349063957971,0.09046628327741235,0.06579414922907623,0.0609470888,0.0555715818,0.032795841,27432788295.0,7257935202,0.0,1.3336315673,0.1525611413,0.7257346737,-4.250151960978362,2.2113171627544888,96219710320.0,18719788.0,7.1559986324,0.431604953,0.2848343789,4.9086711431,338.9339550212855,11909.0384952543,6.2499661554
