Symbol,Year,Quarter,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term trade receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Good will (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Goodwill,MINORITY INTERESTS,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Net Sales,Cost of Sales,Gross Profit,Financial Income,Financial Expenses,Interest Expenses,General & Admin Expenses,Operating Profit/Loss,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Sales,Other income,Other Income/Expenses,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,_Increase/Decrease in receivables,_Increase/Decrease in payables,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
TVS,2020,3,4721620196156,59841387073,4539330302069,118475654066,3972852948,18426560365,0,2521685055,0,0.0,10621117710,4740046756521,3567333461441,3535720335317,31613126124,1172713295080,1172713295080,0,211593196229,4740046756521,4248480000,98762200,901247000000.0,901247000000,21000000000,161973476000,3330914459000,1843006839,0,0,549723869.0,150707235485,0.4617575596436832,69503434500,4.403818637083428,150707235485,-31264125026,119443110459,174320867.0,-28388519240.0,-28388519240.0,-4664314403,86564597683,-328603,86564269080,-10644608291,-6417271328,69502389461,-1045039,69503434500,150707235485,1,-328604,86564269080,776856479,0,0,0,28388519239,-55524555608.0,-1413201871165,-350000000.0,4298508053.0,-2185432012,-22834775567,-8100000000,0,-3014450,-1379475809709,-651466000,0,0,0,-15000000000,0,0,-15651466000,280000000,4649613245000,-3240138786000,0,38419553,1409792878553,14665602844,45175784229,0,59841387073,85655691,1638748321,2.8761628891999997,3.0419485107,0.0021502997071658303,0.7022434030558254,0.1495681301,153.600897505,0.0,14.4090828919,0.0,0.7616010982261301,0.7925506036562409,0.46118180242857504,0.1424906769,0.062604808,0.0425417493,287285711943.0,114778796056.0,0.0549450549,1.3354054474,0.2154963186,1.3354054474,-4.0431413518136,4.041948510695144,1.5252821455,1787880166800,98235174,11.4668749047,3.4343921589,-0.9885516773,707.5208570404731,11932.2186084895,17.6844957873
TVS,2020,4,3902072615953,130048049208,3632035207447,126455674733,13533684565,18063887064,0,1934698689,0,0.0,10845430775,3920136503017,2611959018430,2564900440671,47058577759,1308177484587,1308177484587,0,252353760827,3920136503017,5276302925,10000000000,982351740000.0,982351740000,20000000000,12000000,2477820902000,1618253063,0,0,346043002.0,244727309479,0.8810327726000816,131966488791,1.7993612107038583,244727309479,-39313483966,205413825513,454348690.0,-30880497708.0,-30870127434.0,-11499044630,163488631865,10454,163488642319,-15040989337,-16445451635,132002201347,35712556,131966488791,244727309479,11439,-985,163283316290,662746365,0,0,0,31001446432,14180721884.0,814853280053,-17463000729.0,-147493020215.0,465038567,-49794513700,53305239757,0,-1119450,909712072203,-75760000,0,0,0,15000000000,0,0,14924240000,-280000000,3932230902000,-4786324459000,0,-56093068,-854429650068,70206662135,59841387073,0,130048049208,-894926172,-1177913036,1.9246783648999999,1.9966396374,0.0014789267601641965,0.7833619798048895,0.1839826317,219.2348922324,0.0,15.869495929,0.0,0.7923708281508313,0.8393580019749554,0.5392389148229655,0.2033109545,0.1039057045,0.0673630225,398886837119.0,193914780883.0,0.0516795866,1.5213349236,0.3410178345,1.5213349236,-6.2816320178006295,2.996639637361296,1.4534370076,1900850616900,98235174,8.1709911685,2.9917099078,-3.5861325939,1343.373085398108,13313.2704746367,13.0199167518
TVS,2021,1,4045747396033,118665100675,3801389672310,120708874311,4983748737,18395165884,0,1779982543,0,0.0,11331425741,4064142561917,2605107794982,2556582103886,48525691096,1459034766935,1459034766935,0,403181138703,4064142561917,7107188720,0,982351740000.0,982351740000,18900000000,12000000,2468077088680,1742671617,0,0,375947476.0,256268034766,2.618983131965109,150826192578,2.8947699137228633,256268034766,-41808088547,214459946219,71759921.0,-21228956935.0,-20961374405.0,-6245179753,187057569452,-60184771,186997384681,-33715676298,-2424426035,150857282348,31089770,150826192578,256268034766,0,-60184771,186997384681,605267146,0,0,0,20961374405,-101655967010.0,-96549820008,6782159100.0,1539277259.0,-1763141344,-134307793958,-20335350967,0,0,-88584213,-450551000,0,0,0,0,0,0,-450551000,0,2010635088680,-2021478902000,0,0,-10843813320,-11382948533,130048049208,0,118665100675,-3274112174,16240249614,1.7174896113574505,1.7855008840560913,0.0012199726718913053,0.873698238271701,0.20562078058719635,346.4020690917969,0.0,21.945152282714844,0.0,0.8124882475339629,0.8368579655860114,0.5885485980166054,0.3675072491168976,0.16774137318134308,0.11608746647834778,664127930368.0,208214766466.0,0.04048583,1.5824828147888184,0.42007723450660706,1.5824828147888184,-9.933259262633738,2.7855008352231114,1.663451909,2426408797800,98235174,5.2429097125,2.9566488876,-3.5364444158,1535.3583287591061,14848.640869298,7.2201404297
TVS,2021,2,4847011493902,325721129473,4408905721703,109608947051,2775695675,37060428451,0,8463161792,0,0.0,23313509059,4884071922353,3347262828218,3310663929469,36598898749,1536809094135,1536809094135,0,480937739218,4884071922353,14650045277,0,982351740000.0,982351740000,17250000000,12000000,2914038898000,3340529020,0,0,393674161.0,299597414492,0.7731936390040934,148103682805,0.3339613233465406,299597414492,-85714320423,213883094069,86003559.0,-23388862672.0,-22581564007.0,-6825720396,183754514560,0,183754514560,-45899492125,10276792347,148131814782,28131977,148103682805,299597414492,0,0,183754514557,816820751,0,0,0,23649310245,22751971588.0,-511222801893,-5874670000.0,-3949881824.0,1075715801,93377718244,-10906522000,0,9536418276,-227585707212,-7500000000,0,0,0,0,0,0,-7500000000,0,1546095387000,-1101783577680,0,-2170073310,442141736010,207056028798,118665100675,0,325721129473,-11156694237,111422718026,1.9186110424,2.1780602685,0.0055069701398165714,0.9202710096664173,0.2161014325,258.865451764,0.0,16.5996864857,0.0,0.6911186934776733,0.713901668449516,0.49434232620507057,0.3654731014,0.1620299551,0.1136729885,726827407819.0,207057373673.0,0.0305343511,1.4640602602,0.4127018312,1.4640602602,-9.169310576044017,3.1780602685085113,2.2824231368,3506750102250,107076339,7.0078967089,3.6862715479,-5.0280454417,1383.1597548829159,14348.7854956827,8.4101280155
TVS,2021,3,5787593025084,178168703544,5442180771371,163271860626,3971689543,41826826229,0,14012617558,0,0.0,22530451071,5829419851313,4223247262010,4211283960571,11963301439,1606172589303,1606172589303,0,550257442155,5829419851313,43871041665,0,982351740000.0,982351740000,0,9962000000,2838710000000,2552900499,0,0,437466392.0,185523972705,0.23102233351938392,69297697135,-0.0029601035758887568,185523972705,-56539915854,128984056851,402047723.0,-36080962726.0,-23882245603.0,-7215416772,86089725076,-241384628,85848340448,-23875152715,7385597311,69358785044,61087909,69297697135,185523972705,0,-241384628,85853050573,681341234,0,0,0,22814499365,-6563195575.0,-123880336264,1995140000.0,-834508934.0,-1052030877,36697891971,-23786000000,0,-9536418276,8028300161,-6230797000,0,0,0,0,0,0,-6230797000,0,3312083500000,-3404662398000,0,-56771031090,-149349929090,-147552425929,325721129473,0,178168703544,-36339495837,1093657147719,1.7673754483,2.6293857149,0.00872422904694245,0.9618072121627825,0.2109592079,150.6070087396,0.0,15.6066870616,0.0,0.6563498953993575,0.6952419947156715,0.37352421967154426,0.3385297111,0.1644487895,0.1070061379,733721736597.0,121768640079.0,0.0250941029,1.37430605,0.3532976094,1.37430605,-5.098709815784821,3.6293857149203883,2.6573147158,4266943571850,107075121,8.5305762341,4.3270167068,6.5306876642,647.1876612215082,14996.3418945004,9.4421658636
TVS,2021,4,7143916737906,350066827995,6565864704194,219761409237,8223796480,41965196041,0,19448095767,0,0.0,22517100274,7185881933947,5431948482410,5404529592189,27418890221,1753933451537,1753933451537,0,609442940964,7185881933947,31612457618,0,1070751840000.0,1070751840000,0,12000000,3310363520305,2643031738,0,0,612729817.0,311036882894,0.270952896741138,147722046545,0.11939059603951906,311036882894,-37654666145,273382216749,810073884.0,-53360202081.0,-22421969441.0,-21627735754,199204352798,-12905280609,186299072189,-22925765320,-15455588782,147917718087,195671542,147722046545,311036882894,0,-12905280609,186142216336,959673391,0,0,0,22337344783,-40891485290.0,-399803168696,5322530000.0,73314820121.0,-3134675276,-100776121031,-23726001457,0,0,-298644001854,-1111394000,0,0,0,0,0,0,-1111394000,0,2103503520305,-1631850000000,0,0,471653520305,171898124451,178168703544,0,350066827995,10553968445,702226074944,1.8863414211,3.0954284582,0.01108827461495607,1.050289274376112,0.1877864899,97.4658190854,0.0,26.8417585273,0.0,0.8094039480224499,0.8789382603289767,0.4749341787717922,0.3375212327,0.1557248979,0.0931554683,791852642531.0,251754480995.0,0.0284090909,1.3220686013,0.3683713342,1.3220686013,-11.228027121232753,4.097009454748638,2.1483203551,3769044259200,107075121,7.2912270831,3.6169660706,-7.1999654386,1379.611296866991,16384.8933963287,8.1202267653
TVS,2022,1,9351098386362,547914160915,8495398326086,301155417962,6630481399,42393130038,0,18376971246,0,0.0,24016158792,9393491516400,7582886266664,7565337160059,17549106605,1810605249736,1810605249736,0,681751538400,9393491516400,77398882049,31678303,1070751840000.0,1070751840000,0,62000000,4522744428765,2699878532,0,0,688420580.0,237225942560,-0.07430537415010599,55502386172,-0.632010957623976,237225942560,-79935986358,157289956202,477544908.0,-83616983710.0,-38781306291.0,-7360136693,66790380707,-269199710,66521180997,-20959644591,10131541412,55693077818,190691646,55502386172,237225942560,0,-269199710,66521180997,1158204521,0,0,0,38781306291,-181173216404.0,-999230181107,0.0,-13132062274.0,1390758205,-39702459060,-69485032107,0,0,-1014446495540,-87080000,0,0,0,0,0,0,-87080000,0,3347030908460,-2134650000000,0,0,1212380908460,197847332920,350066827995,0,547914160915,-66210544502,1039542119459,2.4979185438,4.1880394789,0.010149628831949704,1.0842254432517653,0.1514511876,68.5485710386,0.0,15.2498673425,0.0,0.6320127465446964,0.6630385973162176,0.23396423499492322,0.2508383358,0.1153434361,0.0616462668,734126354153.0,149929819509.0,0.0316455696,1.2360451608,0.2541530477,1.2360451608,-3.866033247667944,5.188039478936473,1.8694637063,3383573823600,107075121,8.0441446352,3.2742650625,-2.1560416334,518.3499738655444,16903.2433701943,10.0242859698
TVS,2022,2,9171231330593,381404028881,8343601460799,428035004361,18190836552,50997065256,0,18875672613,0,0.0,32121392643,9222228395849,7464854038045,7455468966701,9385071344,1757374357804,1757374357804,0,627994326599,9222228395849,78876075885,0,1070751840000.0,1070751840000,0,870280000,3401820687505,2221958539,0,0,1214740449.0,206495125672,-0.310757984937437,-27897391746,-1.188363930036304,206495125672,-149250729342,57244396330,990475908.0,-105542452205.0,-38598519972.0,-7604844992,-54912424959,-54076365,-54966501324,10533214658,16768839652,-27664447014,232944732,-27897391746,206495125672,0,-54076365,-54966501324,1159405233,0,0,0,38598519972,-39850620774.0,921148403225,-18066660000.0,22189050655.0,187896156,-11957492274,-16940628463,72941870,0,955795243556,-1658106600,0,0,0,0,0,0,-1658106600,280000000,2053167600000,-3174091341260,0,-3527730,-1120647268990,-166510132034,547914160915,0,381404028881,-58600312758,963895058706,1.9357404826,4.2477312844,0.010740837619018681,1.052349755600868,0.1189062981,53.1883627804,0.0,19.3224408898,0.0,0.240390910809431,0.2772191166435951,-0.1350995170235284,0.1412365554,0.1110817651,0.0309347881,577051116300.0,49639551338.0,0.0350262697,1.2301347335,0.2091550257,1.2301347335,-1.286048049873657,5.2477312843991974,1.740727138,3056994704550,107075121,12.4966723433,3.2511469455,-7.9203980198,-260.5403709606828,16401.191994497,10.5339473955
TVS,2022,3,9527298910540,248996339062,8932361390765,333796786064,12144394649,42031466358,0,18289392519,0,0.0,23742073839,9569330376898,7807417389302,7496078215417,311339173885,1761912987596,1761912987596,0,632446206705,9569330376898,53501197578,0,1070751840000.0,1070751840000,300000000000,870280000,2617736310000,2291031009,0,0,1301490135.0,252476206324,0.3608818453098789,18062144905,-0.7393543270303364,252476206324,-105513314223,146962892101,1413736788.0,-117083412154.0,-41207719300.0,-8827875722,22465341013,-100258906,22365082107,-5813627580,1617072911,18168527438,106382533,18062144905,252476206324,0,-100258906,33229472506,1249929094,0,0,0,40333985960,-16043426495.0,293250788502,16952360000.0,58186190406.0,-1394250398,-47355365463,-1388291139,-72941870,0,352340336686,-663649000,0,0,0,0,0,0,-663649000,0,2796482989695,-3280567367200,0,0,-484084377505,-132407689819,381404028881,0,248996339062,88081021773,760984093841,1.8262742443,4.4312162089,0.010380417561910662,1.055067574903946,0.1139052995,53.7262238985,0.0,37.5942319202,0.0,0.5471209283053502,0.5820861072049067,0.07153998853191355,0.1092004149,0.1259621888,0.0218698433,593986080460.0,138135016379.0,0.0417536534,1.2709711181,0.2127745134,1.2709711181,-3.352163592781025,5.431216208897265,1.4561867422,2614745656800,109175184,13.2670633789,2.5959660298,-517.8101887704,165.4418544877378,16447.0663723452,8.897156502
TVS,2022,4,9415358289099,296711202252,8745614367473,361654019382,11378699992,44217088857,0,19729829269,0,0.0,24487259588,9459575377956,7691092986859,7494936961231,196156025628,1768482391097,1768482391097,0,639006092008,9459575377956,52161916311,0,1070751840000.0,1070751840000,185500000000,870280000,2907884479000,2876271102,0,0,1311008333.0,350510302475,0.126909127990626,11904486941,-0.919412929759448,350510302475,-172007657325,178502645150,2287225100.0,-135820076841.0,-58130413857.0,-12818074663,32151718746,64493,32151783239,-17654926202,-2888027195,11608829842,-295657099,11904486941,350510302475,66050,-1557,7660841743,1152848450,0,0,0,61963051307,-17450988733.0,-178719533831,-16497500000.0,-50533035477.0,-1515355656,-48208318874,-6760132320,0,0,-125340020610,-2593285200,0,0,0,0,0,0,-2593285200,0,3151652082300,-2976003913300,0,0,175648169000,47714863190,248996339062,0,296711202252,6034514446,-252222330766,1.8540667950999998,4.3489791165,0.011156361730444752,1.059001460782058,0.1228028093,52.1788894855,0.0,23.0448701682,0.0,0.4726952940243957,0.5092650455338089,0.03396330109825825,0.0247780733,0.1013440565,0.0052444609,497441698024.0,165684570487.0,0.0440528634,1.2562291501,0.2573243282,1.2562291501,-2.8502217598963204,5.348979116545328,1.375161486,2478276676800,109175184,55.9854599727,2.4246191035,14.5165482198,109.04022786899998,16507.1522367574,10.3495910341
