Date,Open,High,Low,Close,Volume
2015-08-25,10.89,11.14,10.52,11.14,39840
2015-08-26,11.2,11.42,11.2,11.42,18110
2015-08-27,11.54,11.54,11.29,11.42,18880
2015-08-28,11.32,11.73,11.32,11.73,108650
2015-08-31,11.76,11.76,11.48,11.48,42040
2015-09-01,11.51,11.6,11.45,11.48,3480
2015-09-03,11.45,11.51,11.45,11.51,6750
2015-09-04,11.39,11.51,11.39,11.45,8540
2015-09-07,11.45,11.45,11.36,11.39,2580
2015-09-08,11.45,11.54,11.42,11.42,8910
2015-09-09,11.6,11.66,11.45,11.57,43200
2015-09-10,11.29,11.57,11.29,11.54,24510
2015-09-11,11.63,11.63,11.42,11.42,117190
2015-09-14,11.32,11.32,10.67,10.89,154320
2015-09-15,10.86,11.11,10.86,10.98,14370
2015-09-16,11.14,11.29,11.14,11.2,41380
2015-09-17,11.26,11.32,11.11,11.14,6900
2015-09-18,11.14,11.26,10.92,11.05,48450
2015-09-21,11.05,11.32,11.05,11.2,39090
2015-09-22,11.39,11.39,11.23,11.23,34130
2015-09-23,11.23,11.26,11.17,11.26,12750
2015-09-24,11.23,11.26,11.17,11.17,16940
2015-09-25,11.26,11.39,11.17,11.39,50660
2015-09-28,11.45,11.6,11.42,11.45,47870
2015-09-29,11.45,11.45,11.29,11.36,36020
2015-09-30,11.39,11.39,11.29,11.29,61110
2015-10-01,11.23,11.29,11.2,11.2,49220
2015-10-02,11.23,11.29,11.11,11.14,84730
2015-10-05,11.39,11.54,11.29,11.51,198570
2015-10-06,12.19,12.19,11.76,12.0,393110
2015-10-07,12.04,12.04,11.6,11.66,195010
2015-10-08,11.57,11.76,11.54,11.66,121560
2015-10-09,11.7,11.7,11.45,11.45,107010
2015-10-12,11.45,11.51,11.39,11.48,88690
2015-10-13,11.48,11.57,11.45,11.48,70510
2015-10-14,11.48,11.48,11.32,11.39,43550
2015-10-15,11.39,11.57,11.39,11.48,104360
2015-10-16,11.57,11.57,11.39,11.39,159130
2015-10-19,11.45,11.45,11.39,11.42,28560
2015-10-20,11.42,11.42,11.29,11.36,49450
2015-10-21,11.36,11.45,11.32,11.36,86250
2015-10-22,11.36,11.39,11.26,11.36,36610
2015-10-23,11.36,11.36,11.23,11.36,24150
2015-10-26,11.23,11.36,11.14,11.14,89590
2015-10-27,11.23,11.23,11.11,11.14,56980
2015-10-28,11.14,11.2,11.11,11.17,94100
2015-10-29,11.17,11.29,11.17,11.26,167730
2015-10-30,11.29,11.29,11.14,11.14,47590
2015-11-02,11.14,11.14,10.98,11.01,60550
2015-11-03,11.14,11.14,10.92,11.08,46370
2015-11-04,11.17,11.29,11.05,11.17,73470
2015-11-05,11.14,11.26,11.11,11.26,32280
2015-11-06,11.14,11.2,11.08,11.17,44330
2015-11-09,11.26,11.26,11.05,11.17,15820
2015-11-10,11.17,11.17,10.83,11.11,11890
2015-11-11,11.05,11.05,10.89,10.89,17950
2015-11-12,10.86,10.89,10.77,10.83,35100
