Symbol,Year,Quarter,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Convertible bonds (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
VHC,2020,3,4695523292727,199865328441,1456816113537,1478653914573,1440164186199,120023749977,2312044773731,0,1734465598933,0,12338605429,0,184115055265,7007568066458,1637638615868,1619356168830,18282447038,5369929450590,5369929450590,3424600980912,2000000000,7007568066458,46345653313,0,1648644294023,0,0,1833769560000,1833769560000,0,0,36105547945,863646366625,35617604812,146643957934,1414429978,1384206875,1384206875,-0.036574568208781064,1816135494691,175416915861,-0.30890190234295806,68898153255,-8401299951,1816135494691,-16344370768,1799791123923,-1570390085735,229401038188,-20379120971,-75824549,-35967312012,-33868845253,208008088658,4626738722,-16229637019,-11602898297,196405190361,-21537000000,548725500,175416915861,0,175416915861,196405190361.0,55294033885.0,64194807790.0,-3328097354.0,-51790769880.0,8401299951.0,269176464753.0,-254071793835.0,-49146273737.0,74238300535.0,-23893869171.0,-8394054613.0,-22527326414.0,0.0,-994580441.0,60276221037.0,-124567357696.0,80000000.0,-218600000000.0,271275000000.0,0.0,0.0,53417341594.0,-18395016102.0,0.0,0.0,1072699252954.0,-1058189265641.0,0.0,14509987313.0,56391192248.0,143510329619.0,-36193426.0,199865328441.0,0.1608301142,0.3049646426,0.3229959750667548,2.3924499323219592,1.0835510929,4.4394143554,63.93994339640729,91.8482699467,15.9460415936,171.7342549367073,3.9739452927,0.08865744407895336,0.12745981194082964,0.09746515222202241,0.1467128624,0.1196586739,0.112001408,939549570584.0,159564880923,0.0481927711,2.899623556,0.1960974027,2.0102798687,-18.992879894022487,1.304964642633819,7550760079000,181946026,10.058357628,1.4066429428,1.0394110377,7.7131961196,964.1151264331544,29502.8672436627,8.7451917115
VHC,2020,4,4726493731103,40754357119,1364500116682,1698965042269,1498486540527,123787674506,2465487607410,0,1807979144499,0,62433391211,0,209823631306,7191981338513,2030724517886,1944644951105,86079566781,5161256820627,5161256820627,3213928350949,4000000000,7191981338513,396474888730,0,1615321568960,0,0,1833769560000,1833769560000,0,69207840274,36165069043,1105500470997,34192900620,174425335482,1414429978,1409400875,1409400875,-0.08301790862845816,2013743504175,153219422037,-0.2311611688605595,73168845554,-7911389023,2013743504175,-70050588875,1943692915300,-1717513239026,226179676274,-32061896067,94785782,-60402090658,-37091163718,169888157167,4390039034,-3415566469,974472565,170862629732,-13066395823,-4576811872,153219422037,0,153219422037,170862629732.0,50475390184.0,-91795408391.0,3887060252.0,-50429578191.0,7911389023.0,90911482609.0,-239082056008.0,33322725063.0,164994720153.0,-27283158222.0,-7990657568.0,-25000000000.0,0.0,-6232979421.0,101325724150.0,-143654940506.0,123636364.0,-857898150689.0,782574500000.0,50000000000.0,0.0,61164802332.0,-107690152499.0,0.0,0.0,1250229250493.0,-939167305847.0,-363859098400.0,-52797153754.0,-59161582103.0,199865328441.0,50610781.0,140754357119.0,0.2403363204,0.3914676532,0.35029823303374447,2.299480588119947,1.0188270954,4.248371323,69.8758564666976,94.1633095826,18.4491566676,182.48832271689758,3.8762443845,0.06620717752533345,0.11636595189168049,0.07882902737923048,0.1431030636,0.1095103211,0.1041398533,898117790224.0,128686421898,0.0,2.4397073213,0.0256382424,1.6626618146,-16.26597068149255,1.3934554292609882,6668321852900,181946026,9.3433716554,1.2893766969,0.9475844269,17.1560608588,842.1146941511105,28424.5869260151,8.166081299
VHC,2021,1,4352591940954,143561786870,1016289137838,1310934224183,1742352848447,139453943616,2881254398265,0,2016292419407,0,62248416820,0,505125895312,7233846339219,1862724581092,1769943149082,92781432010,5371121758127,5371121758127,3359451317981,68341970468,7233846339219,46212445698,1000000000,1842701966791,0,0,1833769560000,1833769560000,0,69659350774,27188313302,1051701316581,322043848250,180366355262,1414429978,1409400875,1409400875,0.09037524979866814,1790422962630,131039155779,-0.13867816789497567,37592149184,-6149664883,1790422962630,-2250898377,1788172064253,-1515566048783,272606015470,-18907184508,119108672,-89500820836,-49818988349,152090279633,3486465290,-3378615065,107850225,152198129858,-19580147244,-1053666326,131564316288,525160509,131039155779,152198129858.0,70259900436.0,-2025747233.0,2801913558.0,-20807229783.0,6149664883.0,208576631719.0,405144132146.0,-227650455360.0,-452360370475.0,-9867242324.0,5797483077.0,-55652285512.0,0.0,-13857666303.0,-139502998688.0,-106917192039.0,0.0,0.0,356800000000.0,0.0,0.0,-17989261318.0,231893546643.0,63826409389.0,0.0,961784904817.0,-1015194432410.0,0.0,10416881796.0,102807429751.0,40754357119.0,0.0,143561786870.0,0.22174511619999998,0.3468036408,0.37539503109497835,2.3929811378270687,1.0201216781,3.9536918261,62.90519338613988,99.8220198819,17.9508107144,180.6780239824399,3.656507857,0.07453768513080963,0.15244954382165668,0.07328106640215351,0.1296359209,0.1047967472,0.0970177177,904960741411.0,133286206285,0.0538358008,2.4591704786,0.0859940475,1.4747587197,-21.67373488162802,1.3468036408360184,6759294865900,181946026,9.8859638385,1.2746701045,0.9401953412,48.1659374797,720.2089469049464,29144.79587292,8.625165004
VHC,2021,2,5033078032389,102081916583,1160034153447,1518169965431,2109253840953,143538155975,2938507582334,0,2131846173893,0,62613341890,0,529699213647,7971585614723,2498858471796,2394285667211,104572804585,5472727142927,5472727142927,3494411654675,34987018574,7971585614723,194540323174,0,2187039652351,0,0,1833769560000,1833769560000,0,82359350774,26887136630,1628434409137,313264678334,213508787606,1414429978,1422400875,1422400875,0.3838491032858343,2343551168125,260108191613,0.16093324014362195,46602592981,-7547548156,2343551168125,-917343011,2342633825114,-1910337107730,432296717384,-27103658123,364925070,-100105517277,-50554528034,301500532001,4975885916,-5514629052,-538743136,300961788865,-40991704427,1168373550,261138457988,1030266375,260108191613,300961788865.0,67283759331.0,-27145520289.0,-5244809467.0,-20436598419.0,7547548156.0,322966168177.0,-171309518978.0,-298604628709.0,368432924457.0,-27083735692.0,-19473652593.0,-4577513660.0,0.0,-1982026494.0,119940030429.0,-90295383439.0,428112180.0,-460660000000.0,365300000000.0,-497140847390.0,0.0,47457251875.0,-634910866774.0,-63826409389.0,0.0,1732537203000.0,-1195609310404.0,0.0,473101483207.0,-41869353138.0,143561786870.0,389482851.0,102081916583.0,0.3276525696,0.4566020572,0.3895400077908537,2.4382491060983464,1.0711504738,4.0955488466,59.73724623894062,99.1316639227,16.5361778801,175.4050880417406,3.6819718903,0.12022223407420264,0.1845344811253048,0.1110323725477422,0.1346961405,0.0978871212,0.0979131633,946487265015.0,281636672073,0.0347222222,2.1021209379,0.066471889,1.2211676457,-37.314988424301745,1.4566020571709932,10480091097600,181946026,14.5600564611,1.9272879648,1.3309252253,73.7832060204,1429.5898477771643,29886.5561611827,12.8092478448
VHC,2021,3,5064347451759,140588249846,1228794774177,1748046845108,1795154717047,151762865581,3047471370125,0,2081799146770,0,166420449466,0,512238713307,8111818821884,2382881792458,2194681735529,188200056929,5728937029426,5728937029426,3749854111599,35754448149,8111818821884,245805198829,0,1951751727950,0,0,1833769560000,1833769560000,0,168111360797,20941802719,1368478886364,304485508417,203673512328,4813429978,1422400875,1422400875,0.22877695169858023,2231625437038,255442456924,0.4562019613114853,50258961787,-11928204548,2231625437038,-1103817432,2230521619606,-1821826143067,408695476539,-44644539589,-1053892424,-60649492113,-51467710883,301138803317,3932801269,-12321693314,-8388892045,292749911272,-39510718157,2970693384,256209886499,767429575,255442456924,292749911272.0,74375629200.0,88130498609.0,2096738493.0,-32870009674.0,11928204548.0,436410972448.0,-238252037386.0,235287924401.0,24567257751.0,12884276305.0,-12101289958.0,-71634393.0,0.0,-2728206566.0,371796655855.0,-85610588124.0,240657364.0,-626577000000.0,530920000000.0,-3399000000.0,0.0,24546072226.0,-159879858534.0,0.0,0.0,1395457271209.0,-1567841605302.0,0.0,-172384334093.0,39532463228.0,102081916583.0,-1026129965.0,140588249846.0,0.2975598439,0.4159378573,0.36338314351808854,2.5523975937562993,1.0888534189,4.1329217724,58.08926089258566,99.5240807836,15.6675173628,173.28085903898565,3.6674541189,0.13296363995583582,0.18322865510319156,0.11452139924522294,0.1471993472,0.1156402752,0.1048612726,1102582252950.0,296578273543,0.0330033003,2.3075543801,0.1284284762,1.4895976404,-24.86361399568112,1.4159378572706616,11025929175600,181946026,13.7856989046,1.936689895,1.3276221625,24.3097792484,1403.9463380420302,31290.5024992247,11.2986451466
VHC,2021,4,5541877409668,195219000716,1271745955341,2134438779725,1790039136261,150434537625,3192287461255,0,2069544874153,0,66219741730,0,499125976465,8734164870923,2852117255203,2667253043165,184864212038,5882047615720,5882047615720,3833450237070,105341658972,8734164870923,152185036868,0,1880055503417,0,0,1833769560000,1833769560000,0,168111360797,36454395810,1723277989771,295706338501,199894225904,5942429978,1422400875,1422400875,0.33816894784968626,2694729026221,454635757471,1.9672201567319112,66614481273,-9077067727,2694729026221,-1807617435,2692921408786,-2054354306931,638567101855,-16271378523,132292264,-93371182649,-60514060524,535157253696,9991934056,-3256110409,6735823647,541893077343,-83104214172,2434105123,461222968294,6587210823,454635757471,541893077343.0,73459129453.0,-76372446747.0,-456847896.0,-39486580694.0,9077067727.0,508113399186.0,-361238271533.0,71696224533.0,158707184232.0,3675617097.0,-8404783904.0,-144088437272.0,0.0,-2060982779.0,287774794353.0,-322874098502.0,0.0,-264902864970.0,271770000000.0,-1129000000.0,0.0,23772481598.0,-293363481874.0,63000000000.0,0.0,1700822492843.0,-1346023389436.0,-358566693400.0,59232410007.0,53643722486.0,140588249846.0,987028384.0,195219000716.0,0.3501332947,0.4848851015,0.3518408910227216,2.620612533112087,1.136324482,4.6695148649,64.52914563708417,87.3527426666,16.5757680429,168.45765634658414,4.178460674,0.1799836627614395,0.23712801263772246,0.1688262256698962,0.1991766334,0.1538808401,0.1382057835,1481561429003.0,484681858682,0.0191204589,2.0777471503,0.1031456456,1.406630047,-53.396302997751114,1.4848851015045519,19031554319600,181946026,17.2821581518,3.2945340237,2.101947328,29.7364095264,2498.7396947653037,31749.5582824546,13.8119894083
VHC,2022,1,6812390817788,138773564925,1264227124400,2788724202461,2428565928707,192099997295,3470562713527,0,2061155798161,0,117680517645,0,488080842626,10282953531315,3845731049271,3672397755441,173333293830,6437222482044,6437222482044,4386082210024,107887829083,10282953531315,180390004001,0,2658903948248,0,0,1833769560000,1833769560000,0,156425010023,40026164632,2620638192772,286927168584,197524003975,5942429978,2854856075,2854856075,0.8299518715221494,3276387851281,547750590503,3.180052803658104,70972799494,-19320760723,3276387851281,-8795816110,3267592035171,-2489109351566,778482683605,-42428953291,357775915,-83752760843,-58911262365,664720282515,3287818861,-5117511720,-1829692859,662890589656,-109303809457,-310292762,553276487437,5525896934,547750590503,662890589656.0,73749446066.0,148782347447.0,-6736890835.0,-21942885820.0,19320760723.0,876063367237.0,-683277882129.0,-778815112672.0,48920966865.0,-609423227.0,-20667143835.0,-31179555118.0,0.0,-25942653497.0,-680634335024.0,-296927942239.0,1236868688.0,-340471092925.0,356335938620.0,0.0,0.0,18798522019.0,-261027705837.0,0.0,0.0,2583274151230.0,-1697646139003.0,0.0,885628012227.0,-56034028634.0,195219000716.0,-411407157.0,138773564925.0,0.4557071347,0.597420869,0.3201933448642472,2.8679580678318723,1.2004002262,5.0494880713,62.66363635738857,95.6839611181,15.0105696128,173.35816708828855,3.8146414063,0.1945832446502846,0.23824353689987507,0.16763126626801655,0.2581422964,0.1843567177,0.1729816964,1987583428745.0,635818660397,0.0251256281,1.855025319,0.0772783938,1.1937227885,-32.908572778922874,1.5974208690158356,14596805697600,183376956,9.5472204341,2.3062148706,1.3857285483,146.5665197038,2987.019756740863,34515.4308972224,8.7256629904
VHC,2022,2,8023544200016,52997202084,1659334877890,3209772222518,2908403520509,193036377015,3512756092467,0,2137215439303,0,67130229454,0,492610565924,11536300292483,4132797314949,3963900387121,168896927828,7403502977534,7403502977534,5154420438664,151471142120,11536300292483,318724646391,470450967,3039350100543,0,0,1833769560000,1833769560000,0,150625010023,29610114736,2547494872750,278147998667,211785661928,6041429978,2854856075,2854856075,0.8448961894444917,4323608619842,788986755616,2.033302222137963,107009702331,-19752326048,4323608619842,-97312908946,4226295710896,-3129740500368,1096555210528,-109958386306,453711809,-141273892397,-70347848124,882438497841,10837667958,-14684791120,-3847123162,878591374679,-74143963427,-2525869575,801921541677,12934786061,788986755616,878591374679.0,79909363568.0,-42649782934.0,-18623177056.0,-8944698976.0,19752326048.0,908035405329.0,-356456061429.0,-311609909558.0,243491247091.0,-14860913157.0,-19752326048.0,-1755651532.0,0.0,-345982466.0,391802182360.0,-243139113336.0,3694145051.0,-946377000000.0,600200000000.0,-99000000.0,0.0,18360974294.0,-567359993991.0,184002380000.0,0.0,2777473459736.0,-2872731811937.0,0.0,88744027799.0,-86813783832.0,138773564925.0,1037420991.0,52997202084.0,0.38478337910000004,0.5582218752,0.2886762449867854,3.2984623653855545,1.2845989392,5.9486247807,64.07307390091282,91.5866578791,16.2539915418,171.9137233218128,3.9852966409,0.20938749452044111,0.2594601243119175,0.1866851752900012,0.3216782766,0.2278853898,0.2117473671,2603505830916.0,884933470007,0.0257400257,2.0241538425,0.0638170081,1.2904311864,-44.80148149926894,1.5582218751704446,14248389481200,183376956,6.9093415016,1.964744475,1.1474599284,38.1458016244,4302.5403672640305,39547.1273686864,6.546934945
VHC,2022,3,8190480268282,479581473622,1757485875403,2943123938948,2805808519206,204480461103,3716633606741,0,2453363770584,0,67319107428,0,482109035135,11907113875023,4043791282432,3847300642977,196490639455,7863322592591,7863322592591,5604386863782,161323403348,11907113875023,236041440307,0,3177124786457,0,0,1833769560000,1833769560000,0,177809254819,28465583144,2493457573967,269368828750,210123573365,6041429978,2854856075,2854856075,0.5128505743589584,3376115824177,450212060062,0.7624793680869912,163225097050,-25105410685,3376115824177,-114672942914,3261442881263,-2636788164572,624654716691,-106890761967,188877974,-64325920253,-80720689833,536131319662,14659520980,-5049712803,9609808177,545741127839,-85545452706,-376988787,459818686346,9606626284,450212060062,545741127839.0,82856717538.0,256343175164.0,101913306877.0,-27715976631.0,25105410685.0,984243761472.0,84231766641.0,-137774685914.0,-19023018762.0,150030384.0,-24926913595.0,-7030041455.0,0.0,-2291376575.0,886596565843.0,-329511211069.0,7727688132.0,-383786698630.0,260765473165.0,0.0,0.0,10097534659.0,-434707213743.0,0.0,0.0,2633800380111.0,-2656570761785.0,0.0,-22770381674.0,429118970426.0,52997202084.0,-2534698888.0,479581473622.0,0.36232471070000005,0.5142598736,0.3120009056852907,3.503324536675824,1.2668943343,6.1680176386,66.55860848254127,95.1924456017,15.811734643,177.56278872724127,3.8343378794,0.14705396478360855,0.19152710607922752,0.13804076185067343,0.3250311593,0.2358935879,0.2111688222,2795016752316.0,479608106605,0.0289855072,2.1288901046,0.1742862212,1.3995973408,-19.10377458559388,1.5142598735860273,12653009964000,183376956,5.6138380326,1.6428215134,0.9408665104,14.2104335279,2455.1179705589616,42000.9108954944,5.3688475069
VHC,2022,4,7638404644801,553858564359,1767174638828,2432417095338,2712850643054,172103703222,3941972402487,0,2822980686570,0,66442257667,0,483913976047,11580377047288,3884362656406,3693595174275,190767482131,7696014390882,7696014390882,5427525443280,170990268343,11580377047288,177930883338,0,3112968562188,0,0,1833769560000,1833769560000,0,174909254819,22850056385,2213546608238,260589658834,220852571941,5942429978,2854856075,2854856075,-0.07358876501883084,2496427245121,189892491498,-0.582319497801242,117946880441,-33197599587,2496427245121,-12334259234,2484092985887,-2010058577184,474034408703,-136598634512,-777849761,-133244993598,-88088006736,233271804537,5625518988,-5807149719,-181630731,233090173806,-30337350878,-3193466435,199559356493,9666864995,189892491498,233090173806.0,90942512901.0,29035673736.0,-43683961722.0,-14221787711.0,33197599587.0,328360210597.0,633967867140.0,-4680018468.0,-285090604554.0,-10761116743.0,-30197522073.0,-23015030416.0,0.0,-18834773133.0,601379570346.0,-244809942453.0,793424244.0,-542516867200.0,523245967200.0,99000000.0,0.0,19545739382.0,-243642678827.0,0.0,0.0,2158259023599.0,-2440867095955.0,0.0,-282608072356.0,75128819163.0,479581473622.0,-851728426.0,553858564359.0,0.33314736040000004,0.5054204965,0.3668107338669455,3.428784172684333,1.3021853656,5.4111541711,55.89534728693947,90.6543038005,14.0132687492,160.56291983663948,4.0262842987,0.10172783780828051,0.19082796473246175,0.07644339103924272,0.2909387612,0.2235924296,0.1944038616,2581379923065.0,252701408369,0.034904014,2.0660046807,0.1980698658,1.3041227261,-7.612038566425643,1.504723933599718,10507499578800,183376956,5.3011781667,1.3966420464,0.7941696217,6.5276686978,1035.5308302641909,41026.9762029914,4.9820284966
