Open,High,Low,Close,Volume
7.0,7.0,6.74,6.74,280730
6.49,6.87,6.43,6.62,185140
6.62,6.87,6.56,6.81,110400
6.87,6.87,6.68,6.81,118950
6.81,7.0,6.74,6.87,52470
6.81,6.87,6.74,6.74,43790
6.81,6.81,6.68,6.68,94770
6.81,6.81,6.62,6.68,104430
6.74,6.87,6.68,6.87,51040
6.87,6.87,6.74,6.81,23180
6.68,6.87,6.68,6.87,13870
6.87,7.0,6.87,6.93,138940
7.0,7.13,6.93,7.13,32340
7.13,7.19,7.0,7.06,24640
7.06,7.13,6.87,7.06,43030
7.0,7.06,7.0,7.06,25480
6.93,7.0,6.93,7.0,20840
7.0,7.0,7.0,7.0,37990
7.06,7.13,7.0,7.13,115000
7.13,7.25,7.13,7.25,31710
7.25,7.25,7.19,7.25,22060
7.25,7.51,7.25,7.45,161900
7.45,7.45,7.32,7.38,54840
7.38,7.7,7.32,7.7,183660
7.58,7.7,7.51,7.51,50220
7.45,7.58,7.38,7.58,61240
7.58,7.9,7.58,7.77,174700
7.83,7.9,7.7,7.83,109820
7.83,7.9,7.77,7.83,33120
7.96,8.09,7.83,7.96,169590
8.15,8.22,7.9,7.96,298180
7.96,7.96,7.7,7.7,155780
7.77,7.9,7.77,7.9,153910
7.9,8.02,7.9,7.9,58880
7.83,7.96,7.77,7.77,64610
7.83,8.02,7.77,7.96,112850
8.09,8.35,8.09,8.22,232110
8.28,8.73,8.28,8.67,396770
8.67,8.99,8.67,8.86,265930
8.86,9.12,8.73,8.86,138040
8.86,9.05,8.73,8.92,267030
8.92,8.99,8.73,8.73,198300
8.73,8.8,8.73,8.8,133170
8.86,9.12,8.8,9.12,255860
9.24,9.44,9.24,9.24,366000
9.24,9.37,9.18,9.37,136640
9.37,9.57,9.31,9.37,267950
9.5,9.57,9.24,9.24,219960
9.24,9.31,9.12,9.12,116800
9.05,9.12,8.8,8.86,311300
8.86,9.05,8.8,9.05,142590
9.12,9.12,8.92,8.92,122860
8.92,9.05,8.86,8.99,85840
8.99,8.99,8.86,8.99,175400
9.12,9.12,8.99,8.99,105790
8.99,8.99,8.8,8.8,135930
8.86,8.92,8.8,8.86,74810
8.86,9.18,8.86,9.18,234710
9.24,9.63,9.24,9.57,634620
9.57,9.95,9.57,9.89,251130
9.89,10.08,9.76,9.82,287990
9.76,9.89,9.63,9.63,258540
9.76,9.82,9.57,9.76,230440
9.76,9.89,9.69,9.82,135940
9.82,9.89,9.63,9.63,242030
9.63,9.63,9.05,9.18,376590
9.24,9.31,8.86,9.24,211530
9.24,9.31,9.12,9.12,74580
9.12,9.24,9.05,9.18,47560
9.12,9.18,8.73,8.92,159110
9.05,9.12,8.86,8.92,138020
8.92,9.12,8.92,9.05,83290
9.05,9.18,8.99,9.05,59070
9.05,9.12,8.99,9.12,63040
9.12,9.44,9.05,9.24,248530
9.24,9.69,9.18,9.69,292320
9.69,9.82,9.57,9.63,173050
9.63,9.63,9.44,9.44,171170
9.37,9.69,9.37,9.57,161870
9.57,9.57,9.5,9.57,71670
9.57,9.76,9.57,9.69,130980
9.69,9.82,9.69,9.69,97880
9.69,10.27,9.69,10.27,463340
10.21,10.27,10.02,10.02,259060
10.02,10.02,9.82,10.02,121320
10.02,10.08,9.82,9.82,145730
9.76,9.89,9.57,9.69,279450
9.76,9.89,9.76,9.82,87130
9.82,9.89,9.76,9.76,71710
9.69,9.89,9.69,9.82,213160
9.82,9.95,9.76,9.82,98500
9.82,9.95,9.76,9.89,144540
9.82,10.21,9.82,9.89,284460
9.95,10.14,9.69,9.82,380930
9.82,9.95,9.82,9.82,236190
9.82,9.95,9.82,9.89,129940
9.89,9.89,9.63,9.69,319550
9.69,9.82,9.57,9.76,203120
9.76,9.82,9.5,9.5,217450
9.44,9.63,9.44,9.63,79020
9.63,9.95,9.63,9.76,153130
9.63,9.76,9.5,9.63,82780
9.63,9.69,9.5,9.5,109440
9.37,9.37,8.86,9.05,471690
9.05,9.31,9.05,9.24,104580
9.24,9.37,9.12,9.12,86390
9.12,9.24,9.05,9.12,184260
9.24,9.24,9.05,9.12,108020
9.31,9.57,9.24,9.5,95150
9.37,9.5,9.24,9.31,82580
9.44,9.5,9.37,9.37,98090
9.37,9.44,9.24,9.24,80780
9.31,9.44,9.24,9.44,107040
9.31,9.31,8.8,8.8,702150
8.6,8.86,8.35,8.47,251650
8.41,8.6,8.28,8.35,121570
8.47,8.8,8.41,8.73,202610
8.8,8.8,8.6,8.73,76630
8.73,8.73,8.54,8.67,113770
8.73,8.86,8.67,8.8,147560
8.86,8.92,8.8,8.86,137370
8.86,8.92,8.8,8.86,75560
8.86,8.92,8.8,8.8,75340
8.8,8.92,8.8,8.86,109910
8.86,9.05,8.86,8.99,69740
8.92,8.99,8.86,8.86,28130
8.92,8.92,8.67,8.73,79480
8.73,8.8,8.6,8.73,123850
8.73,8.73,8.67,8.73,80460
8.73,9.12,8.67,8.99,141560
9.05,9.12,8.99,9.12,180250
9.12,9.12,8.92,8.99,70300
8.99,8.99,8.8,8.86,147200
8.86,8.92,8.73,8.8,155850
8.73,8.8,8.73,8.8,110700
8.8,9.37,8.67,9.18,526860
9.24,9.24,9.05,9.12,135760
9.12,9.18,9.05,9.12,176750
9.12,9.12,8.99,9.05,109710
8.99,9.05,8.86,8.99,74190
8.92,8.99,8.86,8.92,42150
8.92,8.99,8.92,8.92,66160
8.92,8.92,8.86,8.92,47330
8.92,8.92,8.86,8.86,24130
8.86,8.86,8.67,8.73,152010
8.73,8.86,8.67,8.8,39930
8.8,8.99,8.73,8.8,98820
8.8,8.86,8.47,8.6,187870
8.47,8.54,8.02,8.15,332610
8.02,8.22,7.7,7.77,338220
7.7,7.96,7.7,7.96,183550
7.96,7.96,7.64,7.7,193130
7.64,7.7,7.25,7.32,344700
7.32,7.58,7.32,7.45,104370
7.45,7.51,7.38,7.51,76060
7.51,7.51,7.38,7.45,60060
7.45,7.64,7.45,7.64,108380
7.64,7.9,7.64,7.7,181160
7.77,7.9,7.77,7.77,49990
7.77,7.77,7.64,7.7,101510
7.7,7.7,7.58,7.58,49030
7.58,7.7,7.58,7.64,115610
7.7,7.7,7.58,7.64,118530
7.58,7.64,7.51,7.51,76510
7.45,7.45,7.32,7.38,156340
7.32,7.45,7.32,7.38,26330
7.38,7.38,7.32,7.38,67380
7.45,7.58,7.45,7.51,75940
7.51,7.58,7.45,7.58,36720
7.58,7.58,7.32,7.38,50920
7.32,7.32,7.13,7.19,186660
7.19,7.32,7.19,7.25,90020
7.25,7.38,7.25,7.38,63870
7.38,7.38,7.25,7.25,74510
7.25,7.32,7.19,7.25,46860
7.25,7.25,7.13,7.13,36640
7.19,7.19,7.06,7.13,62610
7.19,7.32,7.19,7.25,72780
